ee_name,freq
"BANK OF AMERICA, N. A.",5602
"JEFFERIES FINANCE LLC, AS COLLATERAL AGENT",5426
"CITICORP USA, INC., AS ADMINISTRATIVE AGENT",5340
"CITIBANK, N.A., AS AGENT",5202
MANUFACTURERS AND TRADERS TRUST COMPANY,5163
ROYAL BANK OF CANADA,5154
"THE BANK OF NOVA SCOTIA, AS ADMINISTRATIVE AGENT",5004
BANKERS TRUST COMPANY,4988
"BANK OF AMERICA, N.A, AS COLLATERAL AGENT",4800
"JPMORGAN CHASE BANK, N.A., AS ADMINISTRATIVE AGENT AND FIRST PRIORITY REPRESENTATIVE",4773
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS COLLATERAL AGENT AND SECOND PRIORITY REPRESENTATIVE",4773
"TRUIST BANK, AS NOTES COLLATERAL AGENT",4470
"WILMINGTON SAVINGS FUND SOCIETY, FSB [COLLATERAL AGENT]",4280
"JPMORGAN CHASE BANK, N.A., AS THE ADMINISTRATIVE AGENT",4259
"U.S. BANK, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",4224
"THE BANK OF NEW YORK MELLON, AS NOTES COLLATERAL AGENT",4200
JPMORGAN CHASE BANK,4188
CREDIT SUISSE AG,4185
"GACP FINANCE CO., LLC",4049
"CREDIT SUISSE, CAYMAN ISLANDS BRANCH, AS COLLATERAL AGENT",3988
BANK OF AMERICA NATIONAL TRUST AND SAVINGS ASSOCIATION,3948
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A.,",3927
"UBS AG, STAMFORD BRANCH, AS COLLATERAL AGENT",3907
"GLAS AMERICAS LLC, AS THE SUCCESSOR AGENT",3840
"MORGAN GUARANTY TRUST COMPANY OF NEW YORK, AND MORGAN BANK ( DELAWARE ) AS COLLATERAL ( AGENTS ) SEE RECORD FOR THE REMAINING ASSIGNEES.",3820
"THE CHASE MANHATTAN BANK, AS COLLATERAL AGENT",3767
"U.S. BANK TRUST COMPANY, NATIONAL ASSOCIATION",3551
"JPMORGAN, N.A.",3520
"CAPITAL ONE, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",3449
"WELLS FARGO TRUST COMPANY, N.A.",3404
"ALLY BANK, AS COLLATERAL AGENT",3344
"CITIZENS BANK, N.A.",3225
"CREDIT SUISSE FIRST BOSTON, AS COLLATERAL AGENT",3133
"DEUTSCHE BANK TRUST COMPANY AMERICAS, AS COLLATERAL TRUSTEE",3093
"ATLANTIC PARK STRATEGIC CAPITAL FUND, L.P., AS COLLATERAL AGENT",3038
"WELLS FARGO CAPITAL FINANCE, LLC, AS AGENT",3034
CREDIT SUISSE FIRST BOSTON,2918
"JPMORGAN CHASE BANK, N.A., AS ADMINISTRATIVE AGENT AND COLLATERAL AGENT",2842
"BANK OF AMERICA, N.A. AS ADMINISTRATIVE AGENT",2753
"ROYAL BANK OF CANADA, AS THE COLLATERAL AGENT",2718
"HSBC BANK USA, NATIONAL ASSOCIATION",2669
"OT PATENT ESCROW, LLC",2526
"BANK OF AMERICA, N.A., AS ADMINISTRATIVE AGENT FOR THE SECURED PARTIES",2418
"BANK OF NEW YORK MELLON TRUST COMPANY, N.A., THE",2361
THE BANK OF NEW YORK MELLON,2344
"CITIBANK N.A., AS ADMINISTRATIVE AGENT",2292
"LEHMAN COMMERCIAL PAPER INC., AS COLLATERAL AGENT",2234
"COMERICA BANK, AS AGENT",2167
"GLAS AMERICAS LLC, AS COLLATERAL AGENT",2131
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS SECOND LIEN AGENT",2100
"WELLS FARGO FOOTHILL, INC.",2022
"SILICON VALLEY BANK, AS ADMINISTRATIVE AGENT",1998
"PNC BANK, NATIONAL ASSOCIATION, AS AGENT",1992
"BANK OF NEW YORK, THE",1925
FOOTHILL CAPITAL CORPORATION,1921
"WACHOVIA CAPITAL FINANCE CORPORATION (CENTRAL), AS ADMINISTRATIVE AGENT",1921
"CERBERUS BUSINESS FINANCE, LLC, AS COLLATERAL AGENT",1909
"BANK OF AMERICA, N.A. AS COLLATERAL AGENT",1759
"HSBC BANK USA, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",1726
MACQUARIE US TRADING LLC,1701
"GOLDMAN SACHS LENDING PARTNERS LLC, AS COLLATERAL AGENT",1698
"SIXTH STREET LENDING PARTNERS, AS ADMINISTRATIVE AGENT",1689
"CREDIT SUISSE, CAYMAN ISLANDS BRANCH, AS ADMINISTRATIVE AGENT",1685
"BANK OF NOVA SCOTIA, THE",1679
"MIDCAP FINANCIAL TRUST, AS AGENT",1614
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS AGENT",1612
"BANK OF NEW YORK MELLON TRUST COMPANY, N.A.",1588
"MUFG UNION BANK, N.A.",1553
BANK OF AMERICA N.A.,1551
"BANK OFAMERICA, N.A., AS COLLATERAL AGENT",1530
"CHASE MANHATTAN BANK, THE",1492
"FIRST UNION NATIONAL BANK, AS ADMINISTRATIVE AGENT",1489
"BANK OF NEW YORK MELLON TRUST, NA, AS NOTES COLLATERAL AGENT, THE",1477
"OMEGA CREDIT OPPORTUNITIES MASTER FUND, LP",1410
"ALTER DOMUS (US) LLC, AS COLLATERAL AGENT",1402
BANK OF MONTREAL,1390
"WELLS FARGO BANK, N.A.",1376
"WILMINGTON TRUST FSB, AS ADMINISTRATIVE AGENT",1374
"MORGAN STANLEY & CO. INCORPORATED, AS FACILITY COLLATERAL AGENT",1362
"THE BANK OF NEW YORK, MELLON TRUST COMPANY, N.A.",1352
"CHINA CITIC BANK CORPORATION LIMITED, GUANGZHOU BRANCH, AS COLLATERAL AGENT",1349
"WILMINGTON TRUST FSB, AS COLLATERAL AGENT",1327
"BANK OF NOVA SCOTIA, THE, AS COLLATERAL AGENT",1320
"MORGAN STANLEY SENIOR FUNDING, INC. AS ADMINISTRATIVE AGENT",1314
"GENERAL ELECTRIC CAPITAL CORPORATION, AS COLLATERAL AGENT",1304
U.S. BANK TRUSTEES LIMITED,1281
"EUAGORE, LLC",1275
"FIRST NATIONAL BANK OF CHICAGO, THE",1262
"OT WSOU TERRIER HOLDINGS, LLC",1254
JP MORGAN CHASE BANK,1236
BANK OF AMERICA,1231
"WELLS FARGO FOOTHILL, LLC, AS AGENT",1222
"INTERNATIONAL GAME TECHNOLOGY, AS AGENT",1214
"PRIVATE EQUITY MANAGEMENT GROUP FINANCIAL CORPORATION, AS ADMINISTRATIVE AGENT",1214
"BANK OF MONTREAL, AS COLLATERAL AGENT",1210
"CORTLAND CAPITAL MARKET SERVICES, LLC",1207
MIDCAP FINANCIAL TRUST,1181
"KEYBANK NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",1178
"BANKERS TRUST COMPANY, AS ADMINISTRATIVE AGENT",1174
NOKIA USA INC.,1168
"WACHOVIA BANK, NATIONAL ASSOCIATION",1166
"THE BANK OF NEW YORK TRUST COMPANY, N.A.",1155
"GENERAL ELECTRIC CAPITAL CANADA, INC.",1122
"WELLS FARGO CAPITAL FINANCE, LLC, AS ADMINISTRATIVE AGENT",1105
"UBS AG, STAMFORD BRANCH",1097
"JPMORGAN CHASE BANK, N.A., AS GENERAL ADMINISTRATIVE AGENT",1084
"BANK OF AMERICA, N.A.,AS COLLATERAL AGENT",1080
"BELL NORTHERN RESEARCH, LLC",1064
"BELL SEMICONDUCTOR, LLC",1064
"HILCO PATENT ACQUISITION 56, LLC",1064
"DBD CREDIT FUNDING LLC, AS COLLATERAL AGENT",1061
"WELLS FARGO FOOTHILL, LLC",1061
"ABLECO FINANCE LLC, AS COLLATERAL AGENT",1052
"GOLDMAN SACHS CREDIT PARTNERS L.P., AS COLLATERAL AGENT",1050
"WELLS FARGO FOOTHILL, LLC AS AGENT",1044
"JP MORGAN CHASE BANK, N.A.",1042
"U.S. BANK TRUST COMPANY, NATIONAL ASSOCIATION, AS NOTES COLLATERAL AGENT",1030
AVAYA LLC,1028
"SILICON VALLEY BANK, AGENT",1015
"ANTARES CAPITAL LP, AS AGENT",1008
"CHASE MANHATTAN BANK, AS ADMINISTRATIVE AGENT",995
"LASALLE BUSINESS CREDIT, INC., AS COLLATERAL AGENT",988
TELECOM HOLDING PARENT LLC,984
"THE BANK OF NEW YORK MELLON, AS ADMINISTRATIVE AGENT",983
"JPMORGAN CHASE BANK, AS ADMINISTRATIVE AGENT",980
"GLAS TRUST CORPORATION LIMITED, AS COLLATERAL AGENT",978
CHEMICAL BANK,977
LIGHTSHIP CAPITAL LLC,973
"CREDIT SUISSE, AS COLLATERAL AGENT",972
"UMB BANK, N.A., AS COLLATERAL AGENT",956
"CITICORP NORTH AMERICA, INC., AS COLLATERAL AGENT",955
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS COLLATERAL TRUSTEE",944
ARES CAPITAL CORPORATION,941
"CIT GROUP/BUSINESS CREDIT, INC., THE",939
"SILVER POINT FINANCE, LLC",930
"CHASE MANHATTAN BANK, AS COLLATERAL AGENT, THE",926
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A. AS COLLATERAL AGENT",909
"FLEET CAPITAL CORPORATION, AS AGENT",907
MIDCAP FUNDING IV TRUST,890
"CITIBANK., N.A., AS ADMINISTRATIVE AGENT",888
"CHASE MANHATTAN BANK, AS ADMINISTRATIVE AGENT, THE",885
"LEHMAN COMMERCIAL PAPER INC., AS ADMINISTRATIVE AGENT",880
"MORGAN STANLEY & CO., INCORPORATED",869
BIOPHARMA CREDIT PLC,865
"CITICORP NORTH AMERICA, INC., AS ""AGENT""",865
"BOKF, NA, AS SUCCESSOR COLLATERAL AGENT",862
"WACHOVIA BANK, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",856
SUNTRUST BANK,846
MORGAN GUARANTY TRUST COMPANY OF NEW YORK,832
TRUIST BANK,831
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS COLLATERAL TRUSTEE",819
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH, AS ADMINISTRATIVE AGENT",805
"CITIBANK, N.A., AS ADMINISTRATIVE AGENT AND COLLATERAL AGENT",803
"WILMINGTON TRUST, NATIONAL ASSOCIATION, - AS NOTES COLLATERAL AGENT",801
"WACHOVIA BANK, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",789
"ABLECO FINANCE LLC, AS AGENT",788
"MORGAN STANLEY SENIOR FUNDING, INC., AS ADMINISTRATIVE AGENT",769
"DEUTSCHE BANK TRUST COMPANY AMERICAS, AS SECOND LIEN ADMINISTRATIVE AGENT",768
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS CO-COLLATERAL TRUSTEE, SUCCESSOR COLLATERAL TRUSTEE",758
BARCLAYS BANK PLC AS ADMINISTRATIVE AGENT,743
MACQUARIE CAF LLC,735
"BANK OF AMERICA, N.A., AS COLLATERAL TRUSTEE",729
"MACQUARIE CAPITAL FUNDING LLC, AS COLLATERAL AGENT",723
"CONEXANT SYSTEMS, INC.",722
KEYBANK NATIONAL ASSOCIATION,721
ABLECO FINANCE LLC,711
"SUNTRUST BANK, AS ADMINISTRATIVE AGENT",708
FGI WORLDWIDE LLC,697
"U.S. BANK NATIONAL ASSOCIATION, AS AGENT",665
GOLDMAN SACHS CREDIT PARTNERS L.P.,662
"CITICORP USA, INC. (AS ADMINISTRATIVE AGENT)",660
"CREDIT SUISSE, AG, CAYMAN ISLANDS BRANCH, AS COLLATERAL AGENT",652
"JPMORGAN CHASE BANK, N.A., AS SUCCESSOR ADMINISTRATIVE AGENT",650
"ROYL BANK OF CANADA, AS COLLATERAL AGENT",650
COMERICA BANK,632
"CITICORP NORTH AMERICA, INC. AS ADMINISTRATIVE AGENT",625
CANADIAN IMPERIAL BANK OF COMMERCE,622
"BP FUNDING TRUST, SERIES SPL-VI",618
NATIONAL CITY BANK,608
"CITIBANK, N.A,, AS ADMINISTRATIVE AGENT",606
MACQUARIE CAPITAL FUNDING LLC,601
"BARCLAYS BANK PLC, AS AGENT",596
"CREDIT SUISSE, AS ADMINISTRATIVE AGENT",590
ITT COMMERICAL FINANCE CORP. AS COLLATERAL AGENT,588
"TPG SPECIALTY LENDING, INC., AS COLLATERAL AGENT",585
"CHASE MANHATTAN BANK, THE, AS COLLATERAL AGENT",572
"GREAT ROCK CAPITAL MANAGEMENT, LLC",570
"CITICORP NORTH AMERICA, INC. AS ""AGENT""",568
"NBD BANK, N.A.",560
"U.S. BANK, NATIONAL ASSOCIATION",560
"GENERAL ELECTRIC CAPITAL CORPORATION, AS ADMINISTRATIVE AGENT",554
"OBSIDIAN, LLC",551
"U.S. BANK NATIONAL ASSOCIATION, AS NOTES COLLATERAL AGENT",551
"ROYAL BANK OF CANADA, AS ADMINISTRATIVE AGENT",549
"WADE, WILLIAM, J.",548
MORGAN STANLEY & CO. LLC,546
"BARINGS FINANCE LLC, AS COLLATERAL AGENT",545
"BANK OF AMERICA, N.A., A COLLATERAL AGENT",540
"ARES CAPITAL CORPORATION, AS ADMINISTRATIVE AGENT",538
"CREDIT SUISSE AG, AS COLLATERAL AGENT",535
"WELLS FARGO BANK, N.A., AS ADMINISTRATIVE AGENT",534
BMO HARRIS BANK N.A.,526
"GLAS TRUST COMPANY LLC, AS COLLATERAL AGENT",522
"MIDCAP FINANCIAL TRUST, AS ADMINISTRATIVE AGENT",520
CHEMICAL BANK A NY BANKING CORPORATION,519
"WILMINGTON SAVINGS FUND SOCIETY, FSB",517
"UBS AG, STAMFORD BRANCH. AS COLLATERAL AGENT",516
"HSBC BANK USA, NATIONAL ASSOCIATION, AS AGENT",511
"BANK ONE, NA",509
"CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK, AS COLLATERAL AGENT",508
US DEPARTMENT OF THE TREASURY,498
THE UNITED STATES DEPARTMENT OF THE TREASURY,497
"BANK OF AMERICA, N.A., AS ABL COLLATERAL AGENT",495
"CITIZENS BANK, N.A., AS ADMINISTRATIVE AGENT",495
"BANK OF AMERICA, N.A., AS LENDER",492
"BARCLAYS BANK PLC, AS THE COLLATERAL AGENT",490
"SILICON GRAPHICS, INC.",490
"WELLS FARGO BANK MINNESOTA, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",490
"PNC BANK, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",489
"OAKTREE FUND ADMINISTRATION, LLC",485
"WELLS FARGO CAPITAL FINANCE, LLC",483
"BANKERS TRUST COMPANY, AS COLLATERAL AGENT",481
"CORTLAND CAPITAL MARKET SERVICES LLC, AS AGENT",476
"U.S. BANK TRUST COMPANY, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",476
"LYNROCK LAKE MASTER FUND LP [LYNROCK LAKE PARTNERS LLC, ITS GENERAL PARTNER]",471
"CHEMICAL BANK, AS COLLATERAL AGENT ATTN: THEODORE L. PARKER",459
RAYTHEON COMPANY,459
FLEET NATIONAL BANK,456
LEHMAN COMMERICIAL PAPER INC.,448
"DEERFIELD ELGX REVOLVER, LLC, AS AGENT",444
UNITED STATES TRUST COMPANY OF NEW YORK (AS COLLATERAL AGENT),441
"JPMORGAN CHASE, N.A.",440
TEXACO INC.,439
"JPMORGAN CHASE BANK, N.A",438
LASALLE BANK NATIONAL ASSOCIATION,435
"BANK OF NEW YORK TRUST COMPANY, N.A.",434
"DEUTSCHE BANK TRUST COMPANY AMERICAS, AS AGENT",429
MANUFACTURERS AND TRADERS TRUST COMPANY (AS ADMINISTRATIVE AGENT FOR THE SECURED PARTIES),424
"SILICON VALLEY BANK, AS ADMINISTRATIVE AND COLLATERAL AGENT",423
"DEUTSCHE BANK AG NEW YORK BRANCH, AS ADMINISTRATIVE AGENT",420
"CANADIAN IMPERIAL BANK OF COMMERCE, AS ADMINISTRATIVE AGENT",416
"CPPIB CREDIT INVESTMENTS INC., AS LENDER",413
"HARRIS TRUST AND SAVINGS BANK, AS AGENT",413
"ROYAL BANK OF CANADA, AS LENDER",413
"MSD PCOF PARTNERS XLV, LLC, AS AGENT",412
"KPS CAPITAL FINANCE MANAGEMENT, LLC",411
"THE BANK OF NEW YORK MELLON, AS SECOND LIEN AGENT",406
"FOOTHILL CAPITAL CORPORATION, AS AGENT",403
"CHASE MANHATTAN BANK (NATIONAL ASSOCIATION), THE",402
"DEERFIELD PRIVATE DESIGN FUND IV, L.P.",400
"TC LENDING, LLC, AS COLLATERAL AGENT",400
"GEMINO HEALTHCARE FINANCE, LLC D/B/A SLR HEALTHCARE ABL",396
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS U.S. COLLATERAL AGENT",394
"BANK OF AMERICA, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",392
"CITIBANK, N.A. AS COLLATERAL TRUSTEE",387
"CREDIT SUISSE FIRST BOSTON, AS U.S. COLLATERAL AGENT",387
"ABN AMRO BANK N.V., AS AGENT",386
"TCW ASSET MANAGEMENT COMPANY LLC, AS AGENT",384
"BANK OF MONTREAL, AS ADMINISTRATIVE AGENT",383
"STATE STREET BANK AND TRUST COMPANY, N.A.",383
"GOLDMAN SACHS BANK USA, AS THE COLLATERAL AGENT",382
"TENNENBAUM CAPITAL PARTNERS, LLC",381
"WILMINGTON TRUST COMPANY, AS SECOND LIEN COLLATERAL AGENT",380
"BANK OF AMERICA NATIONAL TRUST AND SAVINGS ASSOCIATION, AS ADMINISTRATIVE AGENT",374
"WILMINGTON SAVINGS FUND SOCIETY, FSB, AS SUCCESSOR ADMINISTRATIVE AND COLLATERAL AGENT",374
STIFEL FINANCIAL CORP.,368
"NATIONSBANK OF TEXAS, N.A.",367
"WELLS FARGO FOOTHILL, INC., AS AGENT",367
"GENERATE LENDING, LLC",365
"MUFG UNION BANK, N.A., AS COLLATERAL AGENT",364
PNC BANK,359
"CANADIAN IMPERIAL BANK OF COMMERCE, AS COLLATERAL AGENT",357
"CITIZENS BANK, N.A, AS COLLATERAL AGENT",356
OPUS BANK,355
"DEERFIELD PRIVATE DESIGN FUND II, L.P.",353
"DEERFIELD PRIVATE DESIGN INTERNATIONAL II, L.P.",353
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH AS COLLATERAL AGENT",352
"BLUE TORCH FINANCE LLC, AS AGENT",350
EAST WEST BANK,350
"FIFTH THIRD BANK, A MICHIGAN BANKING CORPORATION, AS COLLATERAL AGENT",350
"CITICORP NORTH AMERICA, INC. AS FIRST LIEN COLLATERAL AGENT",348
"CITICORP NORTH AMERICA, INC., AS ADMINISTRATIVE AGENT",346
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION, FOR ITSELF AND AS ADMINISTRATIVE AGENT FOR THE LENDERS",346
WELLS FARGO BANK,346
"BARCLAYS BANK, PLC AS COLLATERAL AGENT",345
"FLEET NATIONAL BANK, AS ADMINISTRATIVE AGENT",345
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS COLLATERAL AGENT AND GRANTEE",345
"WELLS FARGO CAPITAL FINANCE, INC., AS AGENT",345
"ARES CAPITAL CORPORATION, AS COLLATERAL AGENT",344
"HIGHBRIDGE PRINCIPAL STRATEGIES, LLC",344
"NATIONAL CITY BUSINESS CREDIT, INC.",342
FLEET CAPITAL CORPORATION,338
ACQUIOM AGENCY SERVICES LLC,336
"JPMORGAN CHASE BANK, N.A., AS THE SUCCESSOR AGENT",336
"WHITE OAK GLOBAL ADVISORS, LLC",332
"UNION BANK, N.A.",331
"JPMORGAN CHASE BANK, N.A., AS ADMINISTRATIVE ASSISTANT",330
WESTERN ALLIANCE BANK,329
"U.S. BANK NATIONAL ASSOCIATION, AS TRUSTEE",328
"CREDIT SUISSE AG, AS FIRST LIEN COLLATERAL AGENT",326
"CREDIT SUISSE AG, AS SECOND LIEN COLLATERAL AGENT",326
BNP PARIBAS,325
J.P. MORGAN EUROPE LIMITED,325
"JPMORGAN CHASE BANK N.A., AS COLLATERAL AGENT",325
"CREDIT SUISSE AG, AS ADMINISTRATIVE AND COLLATERAL AGENT",324
"BANKERS TRUST COMPANY, AS AGENT",323
WELLS FARGO BANK OF TEXAS,323
"JPMORGAN CHASE BANK, NA, AS COLLATERAL AGENT",320
"WILMINGTON SAVINGS FUND SOCIETY, FSB, AS SECOND LIEN COLLATERAL AGENT",320
"WELLS FARGO TRUST CORPORATION LIMITED, AS SECURITY AGENT",318
"U. S. BANK NATIONAL ASSOCIATION, AS COLLATERAL AGENT",316
"HELLER FINANCIAL, INC.",314
THE BANK OF NEW YORK,314
"TRUIST BANK, AS ADMINISTRATIVE AGENT",312
MORGAN BANK,310
"FIFTH THIRD BANK, AS AGENT",309
CHEMICAL BANK (A NEW YORK BANKING CORPORATION),308
"WELLS FARGO BUSINESS CREDIT, INC.",308
"JPMORGAN CHASE BANK, N.A., AS FIRST LIEN COLLATERAL AGENT",307
"LEHMAN COMMERCIAL PAPER INC., AS SECOND LIEN COLLATERAL AGENT",304
PACIFIC WESTERN BANK,304
"RBS CITIZENS, N.A., AS ADMINISTRATIVE AGENT",303
MIDCAP FUNDING IV TRUST (AS SUCCESSOR BY ASSIGNMENT FROM MIDCAP FINANCIAL TRUST),302
FORTRESS CREDIT CO LLC,301
"BANK OF NOVA SCOTIA, AS AGENT FOR THE SECURED PARTIES, THE",300
KPP (NO. 2) TRUSTEES LIMITED,300
"MUIRISC, LLC",300
THE BOARD OF THE PENSION PROTECTION FUND,298
SOVEREIGN BANK,295
"HENRY SCHEIN, INC.",294
CONGRESS FINANCIAL CORPORATION (FLORIDA),292
"COMERICA BANK, A TEXAS BANKING ASSOCIATION",290
CONGRESS FINANCIAL CORPORATION (NEW ENGLAND),289
"COOPERATIEVE CENTRALE RAIFFEISEN-BOERENLEENBANK B.A., ""RABOBANK NEDERLAND"", NEW YORK BRANCH, AS ADMINISTRATIVE AGENT",289
"WILMINGTON SAVINGS FUND SOCIETY, FSB, AS COLLATERAL AGENT",289
"JPMORGAN CHASE BANK, N.A., AS U.S. COLLATERAL AGENT AND ADMINISTRATIVE AGENT",288
J.H. WHITNEY & CO.,287
"PNC BANK, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",287
THE CHASE MANHATTAN BANK,286
"JPMORGAN CHASE BANK N.A., AS ADMINISTRATIVE AGENT",285
"ALCATEL-LUCENT USA, INC.",284
"WELLS FARGO FOOTHILL CAPITAL, INC.",284
"BLUE TORCH FINANCE LLC, AS COLLATERAL AGENT",283
