original_name,frequency,normalized_name
"ABELCO, L.L.C.",26,ABELCO LLC
ABINGWORTH BIOVENTURES IIA LP,9,ABINGWORTH BIOVENTURES IIA LP
"ABIOMED, INC.",32,ABIOMED INC
ABLECO FINANCE LLC,2719,ABLECO FINANCE LLC
ABLECO FINANCE LLC AS AGENT,14,ABLECO FINANCE LLC
ABLECO FINANCE LLC AS COLLATERAL AGENT,14,ABLECO FINANCE LLC
"ABLECO FINANCE LLC, A DELAWARE LIMITED LIABILITY COMPANY, AS AGENT",25,ABLECO FINANCE LLC A DELAWARE LTD LIABILITY CO
"ABLECO FINANCE LLC, AS ADMINISTRATIVE AGENT",6,ABLECO FINANCE LLC
"ABLECO FINANCE LLC, AS AGENT",811,ABLECO FINANCE LLC
"ABLECO FINANCE LLC, AS AGENT, A DELAWARE LIMITED LIABILITY COMPANY",126,ABLECO FINANCE LLC A DELAWARE LTD LIABILITY CO
"ABLECO FINANCE LLC, AS COLLATERAL AGENT",1328,ABLECO FINANCE LLC
"ABLECO FINANCE LLC, AS COLLATERAL AGENT, A DELAWARE LIMITED LIABILITY COMPANY",2,ABLECO FINANCE LLC A DELAWARE LTD LIABILITY CO
"ABLECO FINANCE LLC, AS SUCCESSOR COLLATERAL AGENT",1,ABLECO FINANCE LLC
"ABLECO FINANCE, LLC",64,ABLECO FINANCE LLC
"ABLECO, L.L.C., AS AGENT",58,ABLECO LLC
ABN AMBO BANK N.V.,40,ABNAMBO BANK NV
ABN AMRO BANK N. V,3,ABNAMRO BANK NV
ABN AMRO BANK N.V,2,ABNAMRO BANK NV
ABN AMRO BANK N.V.,370,ABNAMRO BANK NV
ABN AMRO BANK N.V. AS ADMINISTRATIVE AGENT,1,ABNAMRO BANK NV
ABN AMRO BANK N.V. NEW YORK BRANCH,6,ABNAMRO BANK NV NEW YORK BRANCH
"ABN AMRO BANK N.V.,",1,ABNAMRO BANK NV
"ABN AMRO BANK N.V., AS AGENT",437,ABNAMRO BANK NV
"ABN AMRO BANK N.V., AS AGENT DANIEL P. TAYLOR",18,ABNAMRO BANK NV DANIEL P TAYLOR
"ABN AMRO BANK N.V., AS COLLATERAL AGENT",14,ABNAMRO BANK NV
"ABN AMRO BANK N.V., SAN FRANCISCO ET AL",4,ABNAMRO BANK NV SAN FRANCISCO ET AL
"ABN AMRO BANK N.W., AS AGENT",1,ABNAMRO BANK N W
ABN AMRO BANK NV,1,ABNAMRO BANK NV
"ABN AMRO BANK, INC. AS ADMINISTRATIVE AGENT",5,ABNAMRO BANK INC
"ABN AMRO BANK, INC. AS ADMINSTRATIVE AGENT",2,ABNAMRO BANK INC AS ADMINSTRATIVE AGENT
"ABN AMRO BANK, N.V.",31,ABNAMRO BANK NV
"ABN AMRO BANK, N.V. AS AGENT",13,ABNAMRO BANK NV
"ABN AMRO BANK, N.V., AS AGENT",16,ABNAMRO BANK NV
ABRAHAM WEITMAN & DANIEL ALTSTADTER,4,ABRAHAM WEITMAN & DANIEL ALTSTADTER
ABS VENTURES VIII L.P,11,ABS VENTURES VIII LP
"ABUSE DETERRENT PHARMACEUTICALS, LLC",22,ABUSE DETERRENT PHARMACEUTICALS LLC
AC ACQUISITION I LLC,10,AC ACQUISITION I LLC
"AC ACQUISITION I LLC, AS ADMINISTRATIVE AGENT",10,AC ACQUISITION I LLC
ACACIA PATENT ACQUISITION CORPORATION,36,ACACIA PATENT ACQUISITION CORP
"ACAS, LLC",1,ACAS LLC
"ACAS, LLC, AS AGENT",1,ACAS LLC
ACCEL CAPITAL (INTERNATIONAL) L.P.,8,ACCEL CAPITAL INTERNATIONAL LP
ACCEL CAPITAL L.P.,8,ACCEL CAPITAL LP
ACCEL EUROPE INVESTORS 2003 L.P.,1,ACCEL EUROPE INVESTORS 2003 LP
ACCEL EUROPE L.P.,1,ACCEL EUROPE LP
ACCEL TELECOM L.P.,8,ACCEL TELECOM LP
ACCENTURE LLP,4,ACCENTURE LLP
ACCESS LEASING CORPORATION,1,ACCESS LEASING CORP
ACCESS PHARMACEUTICALS AUSTRALIA PTY LIMITED,2,ACCESS PHARMACEUTICALS AUSTRALIA PTY LTD
"ACCESS VENTURE PARTNERS II, LLP",1,ACCESS VENTURE PARTNERS II LLP
ACCESSION EASTERN EUROPE CAPITAL AB,2,ACCESSION EASTERN EUROPE CAPITAL AB
"ACCESSLINE TECHNOLOGIES, INC.",50,ACCESSLINE TECHNOLOGIES INC
"ACCOM, INC.",8,ACCOM INC
ACF FINCO I LP,237,ACF FINCO I LP
"ACF FINCO I LP, A DELAWARE LIMITED PARTNERSHIP",367,ACF FINCO I LP A DELAWARE LTD PARTNERSHIP
"ACF FINCO I LP, AS AGENT",145,ACF FINCO I LP
"ACF FINCO I LP, AS ASSIGNEE AND SUCCESSOR AGENT",4,ACF FINCO I LP AS ASSIGNEE & SUCCESSOR AGENT
"ACF FINCO I LP, AS COLLATERAL AGENT",9,ACF FINCO I LP
"ACHAR, CHRIS",1,ACHAR CHRIS
"ACHAR, CHRIS, MR.",1,ACHAR CHRIS MR
"ACHILLES TECHNOLOGY MANAGEMENT CO II, INC.",7,ACHILLES TECHNOLOGY MANAGEMENT CO II INC
"ACI SOLAR HOLDINGS NA, INC.",1,ACI SOLAR HOLDINGS NA INC
ACM SPV LLC,6,ACM SPV LLC
ACMI CORPORATION,25,ACMI CORP
ACMSPV LLC,3,ACMSPV LLC
"ACORDA THERAPEUTICS, INC.",1,ACORDA THERAPEUTICS INC
"ACOUSTIC, L.P.",2,ACOUSTIC LP
"ACP IV, LP, (AS COLLATERAL AGENT)",4,ACP IV LP
ACP POST OAK CREDIT I LLC,2,ACP POST OAK CREDIT I LLC
ACP SI ACQUISITION SUB CORP.,31,ACP SI ACQUISITION SUB CORP
"ACQUA LIANA CAPITAL PARTNERS, LLC",175,ACQUA LIANA CAPITAL PARTNERS LLC
ACQUIOM AGENCY SERVICES LLC,896,ACQUIOM AGENCY SERVICES LLC
"ACQUIOM AGENCY SERVICES LLC, AS ADMINISTRATIVE AGENT",3,ACQUIOM AGENCY SERVICES LLC
"ACQUIOM AGENCY SERVICES LLC, AS AGENT",9,ACQUIOM AGENCY SERVICES LLC
"ACQUISITION FUNDING, LLC",1,ACQUISITION FUNDING LLC
ACQUISITION HOLDINGS SUBSIDIARY I LLC,16,ACQUISITION HOLDINGS SUBSIDIARY I LLC
ACS DELAWARE CORPORATION,1,ACS DELAWARE CORP
ACT VENTURE CAPITAL LIMITED,1,ACT VENTURE CAPITAL LTD
"ACTIVISION, INC.",1,ACTIVISION INC
"ADAMS CAPITAL MANAGEMENT II, L.P.",4,ADAMS CAPITAL MANAGEMENT II LP
"ADAMS CAPITAL MANAGEMENT III, L.P.",6,ADAMS CAPITAL MANAGEMENT III LP
ADAMS STREET CREDIT ADVISORS LP,58,ADAMS STREET CREDIT ADVISORS LP
"ADAMS STREET CREDIT ADVISORS LP, AS AGENT",26,ADAMS STREET CREDIT ADVISORS LP
"ADAMS STREET CREDIT ADVISORS LP, AS COLLATERAL AGENT",3,ADAMS STREET CREDIT ADVISORS LP
"ADAMS, LANCE, MR",2,ADAMS LANCE MR
"ADAPTEC, INC.",20,ADAPTEC INC
"ADBOVE VENTURES IV, L.P. AS AGENT FOR THE PURCHASERS",7,ADBOVE VENTURES IV LP FOR THE PURCHASERS
"ADC TELECOMMUNICATIONS, INC.",44,ADC TELECOMMUNICATIONS INC
ADD ONE GMBH & CO. KG,1,ADD ONE GMBH & CO KG
ADD ONE L.P.,1,ADD ONE LP
ADDISON FISCHER,8,ADDISON FISCHER
"ADDUCCI, ANTHONY J.",1,ADDUCCI ANTHONY J
ADI CORPORATION,1,ADI CORP
"ADIDAS NORTH AMERICA, INC.",5,ADIDAS NORTH AMERICA INC
"ADIDAS NORTH AMERICA, INC., AS COLLATERAL AGENT",5,ADIDAS NORTH AMERICA INC
ADOLOR CORPORATION,7,ADOLOR CORP
ADVAL LIMITED PARTNERSHIP,3,ADVAL LTD PARTNERSHIP
"ADVANCED BIOHEALING, INC.",14,ADVANCED BIOHEALING INC
ADVANCED BIONICS CORPORATION,1,ADVANCED BIONICS CORP
"ADVANCED ENVIRONMENTAL RECYCLING TECHNOLOGIES, INC.",3,ADVANCED ENVIRONMENTAL RECYCLING TECHNOLOGIES INC
"ADVANCED LIGHTING TECHNOLOGIES, INC.",14,ADVANCED LIGHTING TECHNOLOGIES INC
"ADVANCED MEDICAL OPTICS, INC.",3,ADVANCED MEDICAL OPTICS INC
"ADVANCED MEDICAL TECHNOLOGIES, INC.",6,ADVANCED MEDICAL TECHNOLOGIES INC
"ADVANCED MICRO DEVICES, INC.",27,ADVANCED MICRO DEVICES INC
"ADVANCED PHOTONIX, INC.",3,ADVANCED PHOTONIX INC
"ADVANCED PLASMA, INC.",4,ADVANCED PLASMA INC
"ADVANCED TECHHOLOGY VENTURES VI, L.P. BY; ATV ASSOCIATES VI, L.L.C. ITS GENERAL PARTNER",3,ADVANCED TECHHOLOGY VENTURES VI LP BY ATV ASSOCIATES VI LLC ITS GENERAL PARTNER
"ADVANCED TECHNICAL PRODUCTS, INC.",12,ADVANCED TECHNICAL PRODUCTS INC
"ADVANCED TECHNOLOGY MATERIALS, INC.",14,ADVANCED TECHNOLOGY MATERIALS INC
ADVANCED TECHNOLOGY VENTURES,16,ADVANCED TECHNOLOGY VENTURES
"ADVANCED TECHNOLOGY VENTURES IV, L.P.",2,ADVANCED TECHNOLOGY VENTURES IV LP
"ADVANCED TECHNOLOGY VENTURES IV, LP, AS COLLATERAL AGENT",1,ADVANCED TECHNOLOGY VENTURES IV LP
"ADVANCED TECHNOLOGY VENTURES VI, L.P.",2,ADVANCED TECHNOLOGY VENTURES VI LP
"ADVANCED TECHNOLOGY VENTURES VII (B), L.P.",80,ADVANCED TECHNOLOGY VENTURES VII B LP
"ADVANCED TECHNOLOGY VENTURES VII (C), L.P.",80,ADVANCED TECHNOLOGY VENTURES VII C LP
"ADVANCED TECHNOLOGY VENTURES VII, L.P.",80,ADVANCED TECHNOLOGY VENTURES VII LP
"ADVANCED TECHNOLOGY VENTURES, FOR ITSELF AND AS AGENT FOR LENDERS (SEE DOCUMENT FOR SCHEDULE OF LENDERS).",8,ADVANCED TECHNOLOGY VENTURES FOR ITSELF & FOR LENDERS SEE DOCUMENT FOR SCHEDULE OF LENDERS
ADVANCED TISSUE SCIENCES LIQUIDATING TRUST,1,ADVANCED TISSUE SCIENCES LIQUIDATING TRUST
"ADVANCED TISSUE SCIENCES, INC.",1,ADVANCED TISSUE SCIENCES INC
ADVANCED VIRAL RESEARCH CORP.,1,ADVANCED VIRAL RESEARCH CORP
"ADVANTAGE CAPITAL COMMUNITY DEVELOPMENT FUND XV, LLC",10,ADVANTAGE CAPITAL COMMUNITY DEVELOPMENT FUND XV LLC
ADVENT FUTURE LIMITED PARTNERSHIP,3,ADVENT FUTURE LTD PARTNERSHIP
ADVENT INTERNATIONAL CORPORATION,9,ADVENT INTERNATIONAL CORP
ADVENT PARTNERS DMC II LIMITED PARTNERSHIP,1,ADVENT PARTNERS DMC II LTD PARTNERSHIP
ADVENT PARTNERS DMC III LIMITED PARTNERSHIP,3,ADVENT PARTNERS DMC III LTD PARTNERSHIP
ADVENT PARTNERS III LIMITED PARTNERSHIP,2,ADVENT PARTNERS III LTD PARTNERSHIP
ADVENT PERFORMANCE MATERIALS LIMITED PARTNERSHIP,3,ADVENT PERFORMANCE MATERIALS LTD PARTNERSHIP
ADWEST LIMITED PARTNERSHIP,3,ADWEST LTD PARTNERSHIP
"AEA DEBT MANAGEMENT LP, AS SECOND LIEN COLLATERAL AGENT",198,AEA DEBT MANAGEMENT LP
"AEA DEBT MANAGEMENT LP, SECOND LIEN COLLATERAL AGENT",198,AEA DEBT MANAGEMENT LP SECOND LIEN COLLATERAL AGENT
AEGIS CAPITAL CORPORATION,2,AEGIS CAPITAL CORP
AERIS CAPITAL SUSTAINABLE IMPACT PRIVATE INVESTMENT FUND CAYMAN L.P.,1,AERIS CAPITAL SUSTAINABLE IMPACT PRIVATE INVESTMENT FUND CAYMAN LP
"AEROCAPITAL, SOCIETE EN COMMANDITE D'INVESTISSEMENT",1,AEROCAPITAL SOCIETE EN COMMANDITE D INVESTISSEMENT
"AEROSPACE MARKETING, INC.",1,AEROSPACE MARKETING INC
AESCULAP AG,133,AESCULAP AG
"AETHER FINANCIAL SERVICES SAS, AS SECURITY AGENT",6,AETHER FINANCIAL SERVICES SAS AS SECURITY AGENT
"AETHLON MEDICAL, INC.",1,AETHLON MEDICAL INC
AETNA LIFE INSURANCE COMPANY,62,AETNA LIFE INSURANCE CO
AFFILIATED BUSINESS CREDIT CORPORATION,15,AFFILIATED BUSINESS CREDIT CORP
"AFFILIATED INVESTMENTS, L.L.C.",3,AFFILIATED INVESTMENTS LLC
"AFFINITY VENTURES III, L.P.",2,AFFINITY VENTURES III LP
"AFFINITY VENTURES IV, L.P.",48,AFFINITY VENTURES IV LP
"AFFYMETRIX, INC.",17,AFFYMETRIX INC
"AFFYMETRIX, INC., AS ADMINISTRATIVE AGENT",1,AFFYMETRIX INC
"AG PAINTBALL HOLDINGS LLC, AS SUCCESSOR ADMINISTRATIVE AGENT TO BANK OF AMERICA, N.A.",30,AG PAINTBALL HOLDINGS LLC TO BANK OF AMERICA NA
"AGCOUNTRY FARM CREDIT SERVICES, FLCA",3,AGCOUNTRY FARM CREDIT SERVICES FLCA
"AGCOUNTRY FARM CREDIT SERVICES, PCA",2,AGCOUNTRY FARM CREDIT SERVICES PCA
AGFA MONOTYPE CORPORATION,1,AGFA MONOTYPE CORP
"AGILENT TECHNOLOGIES, INC.",3,AGILENT TECHNOLOGIES INC
"AGILITY CAPITAL II, LLC",2,AGILITY CAPITAL II LLC
AGILITY CAPITAL LLC,38,AGILITY CAPITAL LLC
"AGILITY CAPITAL, LLC",247,AGILITY CAPITAL LLC
"AGILITY CAPTIAL, LLC",49,AGILITY CAPTIAL LLC
"AGSOUTH FARM CREDIT, ACA",16,AGSOUTH FARM CREDIT ACA
"AGT. C.T. WILLIAMS, TUA 11/1/76",2,AGT C T WILLIAMS TUA 11 1 76
"AGWEST FARM CREDIT, PCA (AS SUCCESSOR BY MERGER TO NORTHWEST FARM CREDIT SERVICES, PCA), AS REVOLVING COLLATERAL AGENT",2,AGWEST FARM CREDIT PCA AS SUCCESSOR BY MERGER TO NORTHWEST FARM CREDIT SERVICES PCA AS REVOLVING COLLATERAL AGENT
AGY AIKEN LLC,3,AGY AIKEN LLC
AGY HOLDING CORP.,3,AGY HOLDING CORP
AGY PA OPERATIONS LLC F/K/A AGY HUNTINGDON LLC,3,AGY PA OPERATIONS LLC F K A AGY HUNTINGDON LLC
"AI DEVELOPMENT GROUP, INC., A MINNESOTA CORPORATION (""AIDG"")",2,AI DEVELOPMENT GROUP INC A MINNESOTA CORP AIDG
"AI ENTERPRISES, INC., A MINNESOTA CORPORATION (""AIET"")",2,AI ENTERPRISES INC A MINNESOTA CORP AIET
"AIA AMERICA, INC.",2,AIA AMERICA INC
AID ASSOCIATION FOR LUTHERANS,12,AID ASSOCIATION FOR LUTHERANS
AIG CAPITAL CORP.,45,AIG CAPITAL CORP
"AIGH INVESTMENT PARTNERS, LLC, AS COLLATERAL AGENT",2,AIGH INVESTMENT PARTNERS LLC
"AIR T, INC.",2,AIR T INC
"AIRCLIC, INC.",8,AIRCLIC INC
AIRCRAFT BRAKING SYSTEM CORPORATION,3,AIRCRAFT BRAKING SYSTEM CORP
"AIRNET COMMUNICATIONS CORPORATION, A DELAWARE CORPORATION",11,AIRNET COMMUNICATIONS CORP A DELAWARE CORP
AIRWORKS FUNDING LLLP,26,AIRWORKS FUNDING LLLP
"AIRWORKS FUNDING LLLP, AS COLLECTIVE LENDERS AGENT",3,AIRWORKS FUNDING LLLP AS COLLECTIVE LENDERS AGENT
"AIS EQUITY HOLDINGS, LLC",2,AIS EQUITY HOLDINGS LLC
"AK STEEL CORPORATION (FORMERLY KNOWN AS ARMCO STEEL COMPANY, L.P.)",25,AK STEEL CORP FORMERLY KNOWNAS ARMCO STEEL CO LP
"AK STEEL CORPORATION FORMERLY KNOWN AS ARMCO STEEL COMPANY, L.P.",25,AK STEEL CORP FORMERLY KNOWNAS ARMCO STEEL CO LP
AKCESS ACQUISITION GROUP LLC,1,AKCESS ACQUISITION GROUP LLC
AKINYEMI O. LAIUDE,5,AKINYEMI O LAIUDE
"AL-INDUSTRIAL PRODUCTS, INC.",1,AL-INDUSTRIAL PRODUCTS INC
"AL-INDUSTRIAL PRODUCTS, INC., A CORP. OF PA",1,AL-INDUSTRIAL PRODUCTS INC A CORP OF PA
"ALAFI CAPITAL COMPANY, LLC",10,ALAFI CAPITAL CO LLC
"ALANCO TECHNOLOGIES, INC.",4,ALANCO TECHNOLOGIES INC
ALARIS MEDICAL SYSTEMS,2,ALARIS MEDICAL SYSTEMS
"ALARIS MEDICAL SYSTEMS, INC.",97,ALARIS MEDICAL SYSTEMS INC
"ALBA, LTD.",3,ALBA LTD
"ALBERTI, MARK",3,ALBERTI MARK
"ALCATEL-LUCENT USA, INC.",568,ALCATEL-LUCENT USA INC
"ALCON RESEARCH, LLC",32,ALCON RESEARCH LLC
"ALDEN INDUSTRIES, INC.",1,ALDEN INDUSTRIES INC
"ALDEN LABORATORIES, INC.",20,ALDEN LABORATORIES INC
"ALDRICH, LAWRENCE J.",3,ALDRICH LAWRENCE J
ALEXANDER FINANCE LP,4,ALEXANDER FINANCE LP
"ALEXANDER FINANCE, LP",206,ALEXANDER FINANCE LP
ALEXANDRA GLOBAL MASTER FUND LTD.,53,ALEXANDRA GLOBAL MASTER FUND LTD
ALEXANDRA PENOP LLC,2,ALEXANDRA PENOP LLC
"ALEXANDRIA FINANCE, LLC",3,ALEXANDRIA FINANCE LLC
ALFRED & ROSE ERICKSON TRUST,2,ALFRED & ROSE ERICKSON TRUST
ALFRED E. MANN FOUNDATION FOR SCIENTIFIC RESEARCH,6,ALFRED E MANN FOUNDATION FOR SCIENTIFIC RESEARCH
"ALFRED M. RANKIN, JR. TRUST",5,ALFRED M RANKIN JR TRUST
"ALGEMENE BANK NEDERLAND N.V., A NEW YORK BRANCH",2,ALGEMENE BANK NEDERLAND NV A NEW YORK BRANCH
"ALGEMENE BANK NEDERLAND N.V., HOUSTON AGENCY",18,ALGEMENE BANK NEDERLAND NV HOUSTONAGENCY
"ALGEMENE BANK NEDERLAND N.V., NEW YORK BRANCH",2,ALGEMENE BANK NEDERLAND NV NEW YORK BRANCH
ALIBABA.COM US INVESTMENT HOLDING CORP.,25,ALIBABA COM US INVESTMENT HOLDING CORP
"ALIGNMENT DEBT HOLDINGS 1, LLC",1,ALIGNMENT DEBT HOLDINGS 1 LLC
"ALKEK & WILLIAMS VENTURES, LTD.",4,ALKEK & WILLIAMS VENTURES LTD
"ALLAWAY, GRAHAM P.",5,ALLAWAY GRAHAM P
"ALLEGHENY INTERNATIONAL, INC., A CORP. OF PA",1,ALLEGHENY INTERNATIONAL INC A CORP OF PA
ALLEN FAMILY TRUST DATED 10/12/81,12,ALLEN FAMILY TRUST DATED 10 12 81
"ALLEN HY ROSENTHAL IRREVOCABLE TRUST-DATE MAY 1, 2000, THE",2,ALLEN HY ROSENTHAL IRREVOCABLE TRUST-DATE MAY 1 2000
"ALLEN KELSEY GRAMMER, TRUSTEE OF THE ALLEN KELSEY GRAMMER ROVOCABLE TRUST",2,ALLEN KELSEY GRAMMER TRUSTEE OF THE ALLEN KELSEY GRAMMER ROVOCABLE TRUST
"ALLEN, NEAL M.",48,ALLEN NEAL M
"ALLIANCE BANK OF ARIZONA, A DIVISION OF WESTERN ALLIANCE BANK",6,ALLIANCE BANK OF ARIZONA A DIVISION OF WESTERNALLIANCE BANK
"ALLIANCE FUND II ONEROOF LENDER, LLC",13,ALLIANCE FUND II ONEROOF LENDER LLC
ALLIANT TECHSYSTEMS INC.,252,ALLIANT TECHSYSTEMS INC
"ALLIANT TECHSYSTEMS, INC.",26,ALLIANT TECHSYSTEMS INC
ALLIED CAPITAL CORPORATION,90,ALLIED CAPITAL CORP
ALLIED CAPITAL CORPORATION II,4,ALLIED CAPITAL CORP II
"ALLIED CAPITAL CORPORATION, A MD CORP.",1,ALLIED CAPITAL CORP A MD CORP
"ALLIED CAPITAL CORPORATION, SUCCESSOR BY MERGER TO ALLIED CAPITAL CORPORATION II",2,ALLIED CAPITAL CORP SUCCESSOR BY MERGER TO ALLIED CAPITAL CORP II
ALLIED CORPORATION,36,ALLIED CORP
ALLIED INVESTMENT CORPORATION,7,ALLIED INVESTMENT CORP
ALLIED INVESTMENT CORPORATION II,4,ALLIED INVESTMENT CORP II
"ALLIED INVESTMENT CORPORATION II, A MD CORP. ATTENTION: KAY K. LEE, PARALEGAL",1,ALLIED INVESTMENT CORP II A MD CORP ATTENTION KAY K LEE PARALEGAL
"ALLIED INVESTMENT CORPORATION, SUCCESSOR BY MERGER TO ALLIED INVESTMENT CORPORATION II",2,ALLIED INVESTMENT CORP SUCCESSOR BY MERGER TO ALLIED INVESTMENT CORP II
ALLIED IRISH BANKS PLC,1,ALLIED IRISH BANKS PLC
"ALLIED IRISH BANKS PLC, NEW YORK",1,ALLIED IRISH BANKS PLC NEW YORK
ALLIED PRODUCTS CORPORATION,1,ALLIED PRODUCTS CORP
"ALLIED-SIGNAL INC., SUCCESSOR BY MERGER TO ALLIED CORPORATION",18,ALLIED-SIGNAL INC SUCCESSOR BY MERGER TO ALLIED CORP
ALLIEDSIGNAL INC.,4,ALLIEDSIGNAL INC
"ALLIGATOR HOLDINGS, INC.",84,ALLIGATOR HOLDINGS INC
"ALLOY VENTURES, INC.",2,ALLOY VENTURES INC
"ALLOY VENTURES, INC. AS SECURED PARTY AND AS COLLATERAL AGENT FOR ADDITIONAL SECURED PARTIES UNDER THE SECURED NOTE PURCHASE AGREEMENT DATED AS OF DECEMBER 22, 2005",1,ALLOY VENTURES INC AS SECURED PARTY & FOR ADDITIONAL SECURED PARTIES UNDER THE SECURED NOTE PURCHASE AGREEMENT DATED AS OF DECEMBER 22 2005
ALLSTATE INSURANCE COMPANY,13,ALLSTATE INSURANCE CO
ALLSTATE LIFE INSURANCE COMPANY,9,ALLSTATE LIFE INSURANCE CO
ALLSTATE LIFE INSURANCE COMPANY C/O JOHN HANCOCK LIFE INSURANCE COMPANY,1,ALLSTATE LIFE INSURANCE CO C O JOHN HANCOCK LIFE INSURANCE CO
ALLY BANK,992,ALLY BANK
ALLY BANK (SUCCESSOR IN INTEREST TO ALLY COMMERCIAL FINANCE LLC),1,ALLY BANK SUCCESSOR IN INTEREST TO ALLY COMMERCIAL FINANCE LLC
"ALLY BANK, AS ADMINISTRATIVE AGENT",4,ALLY BANK
"ALLY BANK, AS AGENT",110,ALLY BANK
"ALLY BANK, AS ASSIGNEE",1,ALLY BANK AS ASSIGNEE
"ALLY BANK, AS COLLATERAL AGENT",3569,ALLY BANK
"ALLY BANK, AS REVOLVING COLLATERAL AGENT",165,ALLY BANK AS REVOLVING COLLATERAL AGENT
"ALLY BANK, AS TERM COLLATERAL AGENT",119,ALLY BANK
"ALLY BANK, REVOLVING COLLATERAL AGENT",48,ALLY BANK REVOLVING COLLATERAL AGENT
"ALLY COMERCIAL FINANCE LLC, AS AGENT",49,ALLY COMERCIAL FINANCE LLC
ALLY COMMERCIAL FINANCE LLC,50,ALLY COMMERCIAL FINANCE LLC
ALLY COMMERCIAL FINANCE LLC (F/K/A GMAC COMMERCIAL FINANCE LLC),32,ALLY COMMERCIAL FINANCE LLC F K A GMAC COMMERCIAL FINANCE LLC
"ALLY COMMERCIAL FINANCE LLC (F/K/A GMAC COMMERCIAL FINANCE LLC), AS AGENT",12,ALLY COMMERCIAL FINANCE LLC F K A GMAC COMMERCIAL FINANCE LLC
ALLY COMMERCIAL FINANCE LLC (FORMERLY KNOWN AS GMAC COMMERCIAL FINANCE LLC),11,ALLY COMMERCIAL FINANCE LLC FORMERLY KNOWNAS GMAC COMMERCIAL FINANCE LLC
"ALLY COMMERCIAL FINANCE LLC, AS AGENT",127,ALLY COMMERCIAL FINANCE LLC
"ALLY COMMERCIAL FINANCE LLC, FORMERLY KNOWN AS GMAC COMMERCIAL FINANCE LLC",2,ALLY COMMERCIAL FINANCE LLC FORMERLY KNOWNAS GMAC COMMERCIAL FINANCE LLC
"ALLY COMMERCIAL FINANCE LLC, SUCCESSOR IN INTEREST TO GMAC COMMERCIAL FINANCE LLC",1,ALLY COMMERCIAL FINANCE LLC SUCCESSOR IN INTEREST TO GMAC COMMERCIAL FINANCE LLC
"ALLY COMMERCIAL FINANCE LLC, SUCCESSOR IN INTEREST TO GMAC FINANCE LLC",1,ALLY COMMERCIAL FINANCE LLC SUCCESSOR IN INTEREST TO GMAC FINANCE LLC
