original_name,frequency,normalized_name
"3DLABS INC., A CORP. OF DE",48,3DLABS INC A CORP OF DE
"3DLABS INC., LTD.",48,3DLABS INC LTD
"3DLABS INC., LTD., A COMPANY ORGANIZED UNDER THE LAWS OF BERMUDA",48,3DLABS INC LTD A CO ORGANIZED UNDER THE LAWS OF BERMUDA
"3DLABS INC., LTD., AND CERTAIN OF PARENT'S SUBSIDIARIES",38,3DLABS INC LTD & CERTAIN OF PARENT S SUBSIDIARIES
3DLABS LIMITED,34,3DLABS LTD
"3DLABS LIMITED, A COMPANY ORGANIZED UNDER THE LAWS OF ENGLAND",62,3DLABS LTD A CO ORGANIZED UNDER THE LAWS OF ENGLAND
"3DLABS, INC.",34,3DLABS INC
"3DLABS, INC., A DELAWARE CORPORATION",14,3DLABS INC A DELAWARE CORP
"3DM SYSTEMS, LLC",1,3DM SYSTEMS LLC
"3DO COMPANY, THE",4,3DO CO
"3E TECHNOLOGIES INTERNATIONAL, INC.",2,3E TECHNOLOGIES INTERNATIONAL INC
"3FORM, LLC",2,3FORM LLC
"3I, L.P.",13,3I LP
"3PARDATA, INC.",2,3PARDATA INC
"3Z TELECOM, INC.",563,3Z TELECOM INC
446 BLAKE ST. LLC,1,446 BLAKE ST LLC
4515218 CANADA INC.,1,4515218 CANADA INC
"4520 CORP., INC.",182,4520 CORP INC
"4520 CORP., INC., A DELAWARE CORPORATION",48,4520 CORP INC A DELAWARE CORP
"4FRONT ENGINEERED SOLUTIONS, INC.",37,4FRONT ENGINEERED SOLUTIONS INC
"4FRONT ENGINEERED SOLUTIONS, INC. (F/K/A DOCK PRODUCTS CANADA INC.)",25,4FRONT ENGINEERED SOLUTIONS INC F K A DOCK PRODUCTS CANADA INC
"4FRONT ENGINEERED SOLUTIONS, INC. (F/K/A SPX DOCK PRODUCTS, INC.)",24,4FRONT ENGINEERED SOLUTIONS INC F K A SPX DOCK PRODUCTS INC
"4FRONT ENGINEERED SOLUTIONS, INC. F/K/A SPX DOCK PRODUCTS, INC.",28,4FRONT ENGINEERED SOLUTIONS INC F K A SPX DOCK PRODUCTS INC
"4HOME, INC.",1560,4HOME INC
"4MC-BURBANK, INC.",1,4MC-BURBANK INC
4TH PASS INC.,1,4TH PASS INC
4THPASS INC.,1,4THPASS INC
"5100 NEW HORIZONS BOULEVARD, LLC",2,5100 NEW HORIZONS BOULEVARD LLC
564 RANDOLPH CO. #2,15,564 RANDOLPH CO 2
658276 N.B. LTD.,430,658276 N B LTD
658868 N.B. INC.,430,658868 N B INC
"70 MAPLE AVENUE, LLC",7,70 MAPLE AVENUE LLC
"724 HOLDINGS, INC.",8,724 HOLDINGS INC
"724 HOLDINGS, INC., A DELAWARE CORPORATION",8,724 HOLDINGS INC A DELAWARE CORP
724 SOLUTIONS (US) INC.,8,724 SOLUTIONS US INC
"724 SOLUTIONS (US) INC., A DELAWARE CORPORATION",8,724 SOLUTIONS US INC A DELAWARE CORP
724 SOLUTIONS INTERNATIONAL INC.,16,724 SOLUTIONS INTERNATIONAL INC
"724 SOLUTIONS INTERNATIONAL, INC., A DELAWARE CORPORATION",8,724 SOLUTIONS INTERNATIONAL INC A DELAWARE CORP
724 SOLUTIONS SOFTWARE INC.,40,724 SOLUTIONS SOFTWARE INC
"724 SOLUTIONS SOFTWARE, INC., A DELAWARE CORPORATION",8,724 SOLUTIONS SOFTWARE INC A DELAWARE CORP
7D SURGICAL USA INC.,82,7D SURGICAL USA INC
"8X8, INC.",178,8X8 INC
"9 METERS BIOPHARMA, INC.",2,9 METERS BIOPHARMA INC
"911 EMERGENCY PRODUCTS, INC.",5,911 EMERGENCY PRODUCTS INC
"911EP, INC.",56,911EP INC
9162186 CANADA INC.,1,9162186 CANADA INC
"935 KOP ASSOCIATES, LLC",7,935 KOP ASSOCIATES LLC
"9999 SALES, INC.",97,9999 SALES INC
"@POS.COM, INC. (DELAWARE CORPORATION)",14,POS COM INC DELAWARE CORP
"A & A MANUFACTURING CO., INC.",2,A & A MANUFACTURING CO INC
"A & F TRADEMARK, INC.",1,A & F TRADEMARK INC
"A & M CLEANING PRODUCTS, LLC",748,A & M CLEANING PRODUCTS LLC
A - C COMPRESSOR CORPORATION,4,A - C COMPRESSOR CORP
A&AT LLC,33,A & AT LLC
"A&S BUILDING SYSTEMS, L.P.",6,A & S BUILDING SYSTEMS LP
A-1 ACQUISITION CORPORATION,2,A-1 ACQUISITION CORP
A-C COMPRESSOR CORPORATION,4,A-C COMPRESSOR CORP
"A-TURF, INC.",4,A-TURF INC
A-Z TERMINAL CORPORATION,39,A-Z TERMINAL CORP
"A. C. NIELSEN COMPANY, LLC",200,A C NIELSEN CO LLC
A. O. SMITH CORPORATION,9,A O SMITH CORP
"A. SCHULMAN, INC.",51,A SCHULMAN INC
A.E. STALEY MANUFACTURING COMPANY (STALEY),1,A E STALEY MANUFACTURING CO STALEY
"A.G. (UK), INC.",1,AG UK INC
"A.G. EUROPE, INC.",1,AG EUROPE INC
"A.G. INDUSTRIES, INC.",1,AG INDUSTRIES INC
"A.G.C. INVESTMENTS, INC.",1,AG C INVESTMENTS INC
"A.H. ROBINS COMPANY, INCORPORATED",1,A H ROBINS CO INC
"A.P. PARMA, INC.",4,A P PARMA INC
"A.P. PHARMA, INC.",24,A P PHARMA INC
"A.S.V., INC.",345,A S V INC
"A.S.V., LLC",40,A S V LLC
A.T. CROSS COMPANY,4,A T CROSS CO
"A.T.X. INTERNATIONAL, INC.",29,A T X INTERNATIONAL INC
"A.W. INDUSTRIES, INC.",24,A W INDUSTRIES INC
"A10 NETWORKS, INC.",30,A10 NETWORKS INC
"A123 SYSTEMS, INC.",49,A123 SYSTEMS INC
AACCURATE COUNTERS CO.,1,AACCURATE COUNTERS CO
AAF-MCQUAY INC.,18,AAF-MCQUAY INC
"AAF-MCQUAY, INC.",18,AAF-MCQUAY INC
AAI CORPORATION,96,AAI CORP
AAI HOLDINGS CORP.,6,AAI HOLDINGS CORP
AAIPHARMA INC.,37,AAIPHARMA INC
AAIPHARMA LLC,13,AAIPHARMA LLC
AAIPHARMA LLC( A DELAWARE LIMITED LIABILITY COMPANY),4,AAIPHARMA LLC A DELAWARE LTD LIABILITY CO
AAIPHARMA SERVICES CORP.,9,AAIPHARMA SERVICES CORP
"AAMP OF FLORIDA, INC.",19,AAMP OF FLORIDA INC
AASTRA USA INC.,18,AASTRA USA INC
"AAVID ACQUISITION, INC.",4,AAVID ACQUISITION INC
"AAVID CORPORATION (F/K/A AAVID THERMAL PRODUCTS, INC.)",2,AAVID CORP F K A AAVID THERMAL PRODUCTS INC
"AAVID LABORATORIES, INC.",14,AAVID LABORATORIES INC
"AAVID NIAGARA, LLC",174,AAVID NIAGARA LLC
"AAVID THERMACORE, INC.",174,AAVID THERMACORE INC
AAVID THERMAL CORP.,174,AAVID THERMAL CORP
AAVID THERMAL CORP. (F/K/A THERMAL CORP.),72,AAVID THERMAL CORP F K A THERMAL CORP
"AAVID THERMAL PRODUCTS, INC.",13,AAVID THERMAL PRODUCTS INC
"AAVID THERMAL TECHNOLOGIES, INC.",5,AAVID THERMAL TECHNOLOGIES INC
"AAVID THERMALLOY, LLC",216,AAVID THERMALLOY LLC
"AAVID THERMALLOY, LLC,",44,AAVID THERMALLOY LLC
AB ADVANCED GENETIC ANALYSIS CORPORATION,2,AB ADVANCED GENETIC ANALYSIS CORP
AB TECHNOLOGIES LLC,150,AB TECHNOLOGIES LLC
ABACO SYSTEMS HOLDING CORP,32,ABACO SYSTEMS HOLDING CORP
ABACO SYSTEMS HOLDING CORP.,20,ABACO SYSTEMS HOLDING CORP
"ABACO SYSTEMS, INC",32,ABACO SYSTEMS INC
"ABACO SYSTEMS, INC .",11,ABACO SYSTEMS INC
"ABACO SYSTEMS, INC.",21,ABACO SYSTEMS INC
"ABACO SYSTEMS, INC., A DELAWARE CORPORATION",10,ABACO SYSTEMS INC A DELAWARE CORP
"ABACUS DESIGN & DEVELOPMENT, INC.",1,ABACUS DESIGN & DEVELOPMENT INC
"ABACUS INNOVATIONS TECHNOLOGY, INC.",186,ABACUS INNOVATIONS TECHNOLOGY INC
"ABAXIS, INC.",53,ABAXIS INC
"ABAXIX, INC.",16,ABAXIX INC
ABB OFFSHORE SYSTEMS INC.,3,ABB OFFSHORE SYSTEMS INC
ABB VETCO GRAY INC.,3,ABB VETCO GRAY INC
ABBOTT INFORMATICS CORPORATION,6,ABBOTT INFORMATICS CORP
ABC BROKERAGE CO. ( DE CORPORATION),2,ABC BROKERAGE CO DE CORP
"ABC DISPENSING TECHNOLOGIES, INC.",6,ABC DISPENSING TECHNOLOGIES INC
ABC GROUP INC.,2,ABC GROUP INC
ABC RAIL CORPORATION,2,ABC RAIL CORP
"ABC RAIL CORPORATION, A CORP OF DE.",1,ABC RAIL CORP A CORP OF DE
"ABC RAIL CORPORATION, A CORP. OF DE.",1,ABC RAIL CORP A CORP OF DE
ABC RESIDENTIAL COMPANY (DE CORPORATION),2,ABC RESIDENTIAL CO DE CORP
ABC TECH CORP.,3,ABC TECH CORP
ABC TECHCORP,3,ABC TECHCORP
ABC TRANSPORTATION (DE CORPORATION),2,ABC TRANSPORTATION DE CORP
ABELCO FINANCE LLC,17,ABELCO FINANCE LLC
ABERCROMBIE & FITCH TRADING CO.,1,ABERCROMBIE & FITCH TRADING CO
"ABG-NINE WEST, LLC",1,ABG-NINE WEST LLC
"ABG-SPORTCRAFT, LLC",1,ABG-SPORTCRAFT LLC
"ABIRNET, LTD.",1,ABIRNET LTD
"ABLE LABORATORIES, INC.",3,ABLE LABORATORIES INC
ABLECO FINANCE LLC,8,ABLECO FINANCE LLC
"ABLECO FINANCE LLC, AS COLLATERAL AGENT",34,ABLECO FINANCE LLC
"ABLECO, L.L.C.",6,ABLECO LLC
ABN AMRO BANK N.V.,4,ABNAMRO BANK NV
"ABN AMRO BANK, N.V.",6,ABNAMRO BANK NV
ABN MARO BANK N.V.,10,ABN MARO BANK NV
ABORGEN INC.,11,ABORGEN INC
"ABOU-KANDIL, AHMED",1,ABOU-KANDIL AHMED
"ABPS VENTURE ONE, LTD.",12,ABPS VENTURE ONE LTD
"ABRAMS, ROBERT S.",1,ABRAMS ROBERT S
ABRASIVE INDUSTRIES INC.,2,ABRASIVE INDUSTRIES INC
"ABRASIVE INDUSTRIES INC., A CORP. OF DE",4,ABRASIVE INDUSTRIES INC A CORP OF DE
"ABRASIVE INDUSTRIES INC., A CORP. OF DE.",4,ABRASIVE INDUSTRIES INC A CORP OF DE
"ABRASIVE INDUSTRIES, INC.",2,ABRASIVE INDUSTRIES INC
ABRITRON INC.,1,ABRITRON INC
"ABS GLOBAL, INC.",54,ABS GLOBAL INC
"ABS PLUS, LLC",1,ABS PLUS LLC
"ABTECH INDUSTRIES, INC.",1,ABTECH INDUSTRIES INC
AC BIDCO LLC,4,AC BIDCO LLC
AC CORPORATION,2,AC CORP
AC FINDUS LLC,1,AC FINDUS LLC
AC HOLDCO INC. (SUCCESSOR IN INTEREST TO AC HOLDCO LLC),2,AC HOLDCO INC SUCCESSOR IN INTEREST TO AC HOLDCO LLC
AC HOLDCO LLC,2,AC HOLDCO LLC
AC LABEL COMPANY,6,AC LABEL CO
"AC LABEL COMPANY, INC.",7,AC LABEL CO INC
"AC MATERIAL HANDLING CORPORATION, AN OH CORP",9,AC MATERIAL HANDLING CORP AN OH CORP
"AC NIELSEN (US), INC.",1,AC NIELSEN US INC
"AC2 SOLUTIONS, INC.",21,AC2 SOLUTIONS INC
ACACIA RESEARCH GROUP LLC,3662,ACACIA RESEARCH GROUP LLC
"ACADIA AIC, INC.",1560,ACADIA AIC INC
ACADIA ELASTOMERS CORPORATION,2,ACADIA ELASTOMERS CORP
"ACADIA ELASTOMERS CORPORATION, A DE CORP.",2,ACADIA ELASTOMERS CORP A DE CORP
ACADIA PHARMACEUTICALS INC.,4,ACADIA PHARMACEUTICALS INC
"ACADIA POLYMERS, INC.",1,ACADIA POLYMERS INC
ACAS ACQUISITION (ESCORT) INC.,15,ACAS ACQUISITION ESCORT INC
"ACAS ACQUISITIONS (ESCORT), INC.",15,ACAS ACQUISITIONS ESCORT INC
ACB TECHNOLOGY CORPORATION,8,ACB TECHNOLOGY CORP
"ACB TECHNOLOGY, CORP.",1,ACB TECHNOLOGY CORP
"ACCASVEK, LLC",6,ACCASVEK LLC
ACCEL EUROPE INVESTORS 2003 L.P.,1,ACCEL EUROPE INVESTORS 2003 LP
ACCEL EUROPE L.P.,1,ACCEL EUROPE LP
ACCEL PERFORMANCE GROUP LLC,106,ACCEL PERFORMANCE GROUP LLC
"ACCELERATE DIAGNOSTICS, INC.",19,ACCELERATE DIAGNOSTICS INC
ACCELERATED CARE PLUS CORP.,4,ACCELERATED CARE PLUS CORP
ACCELERATED CARE PLUS CORPORATION,1,ACCELERATED CARE PLUS CORP
"ACCELERATED TECHNOLOGIES, INC.",5,ACCELERATED TECHNOLOGIES INC
ACCELERATION BAY INC.,7,ACCELERATION BAY INC
ACCELERIZE INC.,1,ACCELERIZE INC
"ACCELIGHT INVESTMENTS, INC.",1,ACCELIGHT INVESTMENTS INC
ACCELLENT CORP.,1,ACCELLENT CORP
ACCELLENT INC.,16,ACCELLENT INC
ACCELLENT LLC,4,ACCELLENT LLC
ACCELRATED CARE PLUS CORP.,1,ACCELRATED CARE PLUS CORP
"ACCENT PACKAGING, INC.",18,ACCENT PACKAGING INC
ACCENT WIRE HOLDINGS LLC,9,ACCENT WIRE HOLDINGS LLC
"ACCESS CLOSURE, INC.",14,ACCESS CLOSURE INC
"ACCESS EFORMS, LLC",1,ACCESS EFORMS LLC
"ACCESS INTEGRATED TECHNOLOGIES, INC. D/B/A CINEDIGM DIGITAL CINEMA CORP.",1,ACCESS INTEGRATED TECHNOLOGIES INC D B A CINEDIGM DIGITAL CINEMA CORP
ACCESS360,6,ACCESS360
"ACCESSLINE TECHNOLOGIES, INC.",49,ACCESSLINE TECHNOLOGIES INC
ACCO BRANDS CORPORATION,783,ACCO BRANDS CORP
"ACCO BRANDS CORPORATION, A DELAWARE CORPORATION",70,ACCO BRANDS CORP A DELAWARE CORP
"ACCO BRANDS INTERNATIONAL, INC.",223,ACCO BRANDS INTERNATIONAL INC
ACCO BRANDS USA LLC,518,ACCO BRANDS USA LLC
"ACCO BRANDS USA LLC, A DELAWARE LIMITED LIABILITY COMPANY BOONE INTERNATIONAL, INC., A CALIFORNIA CORPORATION GENERAL BINDING CORPORATION, A DELAWARE CORPORATION",70,ACCO BRANDS USA LLC A DELAWARE LTD LIABILITY CO BOONE INTERNATIONAL INC A CALIFORNIA CORP GENERAL BINDING CORP A DELAWARE CORP
"ACCO EUROPE FINANCE HOLDINGS, LLC",190,ACCO EUROPE FINANCE HOLDINGS LLC
ACCO EUROPE INTERNATIONAL HOLDINGS LLC,184,ACCO EUROPE INTERNATIONAL HOLDINGS LLC
"ACCO EUROPE INTERNATIONAL HOLDINGS, LLC",6,ACCO EUROPE INTERNATIONAL HOLDINGS LLC
"ACCO INTERNATIONAL HOLDINGS, INC.",190,ACCO INTERNATIONAL HOLDINGS INC
ACCO UK LTD.,22,ACCO UK LTD
"ACCOLO BUSINESS SERVICES, LLC",1,ACCOLO BUSINESS SERVICES LLC
"ACCOM INC., A DELAWARE CORPORATION",4,ACCOM INC A DELAWARE CORP
"ACCOM, INC.",6,ACCOM INC
"ACCRIVA DIANOGSTIC, INC.",26,ACCRIVA DIANOGSTIC INC
"ACCU-SORT SYSTEMS, INC.",11,ACCU-SORT SYSTEMS INC
"ACCUBUILT, INC.",1,ACCUBUILT INC
"ACCUDYNE INDUSTRIES, LLC",34,ACCUDYNE INDUSTRIES LLC
"ACCUFORM MANUFACTURING, INC.",8,ACCUFORM MANUFACTURING INC
"ACCULOGIX, LLC",1,ACCULOGIX LLC
"ACCUMED INNOVATIVE TECHNOLOGIES, LLC",1,ACCUMED INNOVATIVE TECHNOLOGIES LLC
"ACCUMED INTERNATIONAL, INC.",6,ACCUMED INTERNATIONAL INC
"ACCUMETRICS, INC.",34,ACCUMETRICS INC
ACCURAY INCORPORATED,1146,ACCURAY INC
ACCUREL SYSTEMS INTERNATIONAL CORPORATION,66,ACCUREL SYSTEMS INTERNATIONAL CORP
"ACCURICS, INC.",2,ACCURICS INC
ACCURIDE CORPORATION,4,ACCURIDE CORP
"ACCURIDE CORPORATION, ACCURIDE EMI, LLC AND GUNITE CORPORATION",2,ACCURIDE CORP ACCURIDE EMI LLC & GUNITE CORP
"ACCURIDE CORPORATION, ACCURIDE EMI, LLC, AND GUNITE CORPORATION",1,ACCURIDE CORP ACCURIDE EMI LLC & GUNITE CORP
ACCURIDE EMI,2,ACCURIDE EMI
"ACCURIDE EMI, LLC",2,ACCURIDE EMI LLC
"ACCUSPORT INTERNATIONAL, INC.",1,ACCUSPORT INTERNATIONAL INC
"ACCUTECH FILMS, INC.",9,ACCUTECH FILMS INC
ACCUTRON INC.,1,ACCUTRON INC
"ACCUTRON, INC.",1,ACCUTRON INC
ACE BAKING COMPANY LIMITED PARTNERSHIP,4,ACE BAKING CO LTD PARTNERSHIP
"ACE DOWNHOLE, LLC",970,ACE DOWNHOLE LLC
"ACE PRODUCTS, INC.",2,ACE PRODUCTS INC
"ACE PRODUCTS, LLC",1,ACE PRODUCTS LLC
"ACE/ALL WASTE ENVIRONMENTAL SERVICES OF INDIANA, INC., AN ILLINOIS CORPORATION",18,ACE ALL WASTE ENVIRONMENTAL SERVICES OF INDIANA INC AN ILLINOIS CORP
ACELITY L.P. INC.,30,ACELITY LP INC
"ACELLA HOLDINGS, LLC",2,ACELLA HOLDINGS LLC
"ACENTECH INCORPORATED, A MA CORP.",2,ACENTECH INC A MA CORP
"ACERAGEN, INC.",32,ACERAGEN INC
"ACERUS PHARMACEUTICALS USA, LLC",6,ACERUS PHARMACEUTICALS USA LLC
ACETO AGRICULTURAL CHEMICALS CORPORATION,10,ACETO AGRICULTURAL CHEMICALS CORP
ACETO CORPORATION,5,ACETO CORP
"ACETO LIFE SCIENCES, L.L.C",2,ACETO LIFE SCIENCES LLC
"ACETO LIFE SCIENCES, L.L.C.",4,ACETO LIFE SCIENCES LLC
"ACEVEDO, OSCAR L.",1,ACEVEDO OSCAR L
"ACF INDUSTRIES, INCORPORATED",88,ACF INDUSTRIES INC
"ACHAOGEN, INC.",6,ACHAOGEN INC
"ACHIEVEMENT PRODUCTS, INC.",6,ACHIEVEMENT PRODUCTS INC
ACI WORDWIDE CORP.,1,ACI WORDWIDE CORP
"ACI WORLDWIDE, INC.",1,ACI WORLDWIDE INC
"ACIRRO, INC.",1,ACIRRO INC
"ACITO, PAUL L.",1,ACITO PAUL L
ACLARA INTERNATIONAL LLC,14,ACLARA INTERNATIONAL LLC
ACLARA METERS LLC,146,ACLARA METERS LLC
ACLARA METERS LLC F/K/A MRH METERS LLC,73,ACLARA METERS LLC F K A MRH METERS LLC
ACLARA TECHNOLOGIES LLC,275,ACLARA TECHNOLOGIES LLC
"ACLARA TECHNOLOGIES, LLC",14,ACLARA TECHNOLOGIES LLC
"ACM BLOCK & BRICK GENERAL, INC.",56,ACM BLOCK & BRICK GENERAL INC
"ACM BLOCK & BRICK PARTNER, LLC",28,ACM BLOCK & BRICK PARTNER LLC
"ACM BLOCK & BRICK PARTNER, LLC,",28,ACM BLOCK & BRICK PARTNER LLC
"ACM BLOCK & BRICK, LLC",28,ACM BLOCK & BRICK LLC
"ACM BLOCK & BRICK, LLC,",28,ACM BLOCK & BRICK LLC
"ACM BLOCK & BRICK, LP",28,ACM BLOCK & BRICK LP
"ACM BLOCK & BRICK, LP,",28,ACM BLOCK & BRICK LP
"ACM FLEXCRETE, LP",28,ACM FLEXCRETE LP
"ACM FLEXCRETE, LP,",28,ACM FLEXCRETE LP
"ACM GEORGIA, INC.",28,ACM GEORGIA INC
"ACM GEORGIA, INC.,",28,ACM GEORGIA INC
"ACME AEROSPACE, INC.",970,ACME AEROSPACE INC
ACME ELECTRIC CORPORATION,43,ACME ELECTRIC CORP
ACME ENGINEERING AND MANUFACTURING CORPORATION,1,ACME ENGINEERING & MANUFACTURING CORP
"ACME PACKET, INC.",21,ACME PACKET INC
ACME STEEL COMPANY,2,ACME STEEL CO
ACME UNITED CORPORATION,9,ACME UNITED CORP
ACMI CORPORATION,52,ACMI CORP
"ACORDA THERAPEUTICS, INC.",140,ACORDA THERAPEUTICS INC
"ACOUSTIC EMISSION TECHNOLOGY CORPORATION,",26,ACOUSTIC EMISSION TECHNOLOGY CORP
"ACOUSTIC, L.P.",155,ACOUSTIC LP
"ACOUSTISEAL, INC.",10,ACOUSTISEAL INC
"ACP LANTERN ACQUISITION, INC.",75,ACP LANTERNACQUISITION INC
ACP MEDICAL SUPPLY CORPORATION,2,ACP MEDICAL SUPPLY CORP
ACP OF DELAWARE INC.,28,ACP OF DELAWARE INC
"ACP OF DELAWARE, INC.",1,ACP OF DELAWARE INC
ACP SI ACQUISITION SUB CORP.,31,ACP SI ACQUISITION SUB CORP
ACPC INC.,2,ACPC INC
"ACPI WOOD PRODUCTS, LLC",15,ACPI WOOD PRODUCTS LLC
"ACPP (C) HOLDINGS, INC.",1,ACPP C HOLDINGS INC
"ACPP (S) HOLDINGS, INC.",1,ACPP S HOLDINGS INC
"ACPRODUCTS, INC.",15,ACPRODUCTS INC
ACQUISITION DELTA LLC,18,ACQUISITION DELTA LLC
ACR II GLASS AMERICA INC.,2,ACR II GLASS AMERICA INC
"ACRES GAMING, INCORPORATED A NEVADA CORPORATION",23,ACRES GAMING INC A NEVADA CORP
"ACRES GAMING, INCORPORATED, A NEVADA CORPORATION",23,ACRES GAMING INC A NEVADA CORP
ACRESSO SOFTWARE INC.,3,ACRESSO SOFTWARE INC
"ACRESSO SOFTWARE, INC.",1,ACRESSO SOFTWARE INC
ACRONIS INTERNATIONAL GMBH,1,ACRONIS INTERNATIONAL GMBH
ACS ACQUISITION CORP.,2,ACS ACQUISITION CORP
"ACS APPLICATION MANAGEMENT SERVICES, INC.",11,ACS APPLICATION MANAGEMENT SERVICES INC
"ACS BRC HOLDINGS, INC.",11,ACS BRC HOLDINGS INC
ACS BUSINESS RESOURCES CORPORATION,11,ACS BUSINESS RESOURCES CORP
"ACS BUSINESS SERVICES, LLC",11,ACS BUSINESS SERVICES LLC
"ACS COMMERICAL SOLUTIONS, INC",11,ACS COMMERICAL SOLUTIONS INC
"ACS COMMUNICATIONS, INC., A TEXAS CORPORATION",2,ACS COMMUNICATIONS INC A TEXAS CORP
"ACS CONSULTANT COMPANY, INC",11,ACS CONSULTANT CO INC
ACS CONSULTANT HOLDINGS CORPORATION,11,ACS CONSULTANT HOLDINGS CORP
"ACS DATALINE, LP, A TEXAS LIMITED PARTNERSHIP",2,ACS DATALINE LP A TEXAS LTD PARTNERSHIP
ACS DEFENSE LLC,11,ACS DEFENSE LLC
"ACS EDI GATEWAY, INC",11,ACS EDI GATEWAY INC
"ACS EDUCATION SERVICES, INC",11,ACS EDUCATION SERVICES INC
"ACS EDUCATION SOLUTIONS, LLC",11,ACS EDUCATION SOLUTIONS LLC
"ACS ENTERPRISE SOLUTIONS, INC",11,ACS ENTERPRISE SOLUTIONS INC
"ACS FEDERAL HEALTHCARE, LLC",11,ACS FEDERAL HEALTHCARE LLC
"ACS GLOBAL, INC",11,ACS GLOBAL INC
"ACS GOVERNMENT SYSTEMS, INC",11,ACS GOVERNMENT SYSTEMS INC
"ACS HEALTH CARE, INC",11,ACS HEALTH CARE INC
ACS HERITAGE INC,11,ACS HERITAGE INC
ACS HR SOLUTIONS LLC,11,ACS HR SOLUTIONS LLC
"ACS HUMAN RESOURCES SOLUTIONS, INC",11,ACS HUMAN RESOURCES SOLUTIONS INC
ACS HUMAN SERVICES LLC,11,ACS HUMAN SERVICES LLC
ACS IMAGE SOLUTIONS INC,11,ACS IMAGE SOLUTIONS INC
"ACS INVESTORS, LLC, A DELAWARE LIMITED LIABILITY COMPANY",2,ACS INVESTORS LLC A DELAWARE LTD LIABILITY CO
ACS IT SOLUTIONS LP,11,ACS IT SOLUTIONS LP
ACS LENDING INC,11,ACS LENDING INC
ACS MARKETING LP,11,ACS MARKETING LP
ACS MIDDLE EAST INC,11,ACS MIDDLE EAST INC
ACS OUTSOURCING SOLUTIONS INC,11,ACS OUTSOURCING SOLUTIONS INC
ACS PRINT AND MAIL SERVICES INC,11,ACS PRINT & MAIL SERVICES INC
ACS PROPERTIES INC,11,ACS PROPERTIES INC
ACS PROTECTION SERVICES INC,11,ACS PROTECTION SERVICES INC
ACS REBGM INC,11,ACS REBGM INC
ACS SECURITIES SERVICES INC,11,ACS SECURITIES SERVICES INC
ACS STATE & LOCAL SOLUTIONS INC,11,ACS STATE & LOCAL SOLUTIONS INC
ACS STATE HEALTHCARE LLC,11,ACS STATE HEALTHCARE LLC
ACS TRADEONE MARKETING INC,11,ACS TRADEONE MARKETING INC
ACS TRANSPORT SOLUTIONS INC,11,ACS TRANSPORT SOLUTIONS INC
