original_name,frequency,normalized_name,blocking_key
"U.S. BANK NATIONAL ASSOCIATION, AS COLLATERAL AGENT",30322,US BANK NA,BANK
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS NOTES COLLATERAL AGENT",29660,WELLS FARGO BANK NA,WELLS
"DEUTSCHE BANK AG NEW YORK BRANCH, AS COLLATERAL AGENT",29550,DEUTSCHE BANK AG NEW YORK BRANCH,DEUTSCHE
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",29461,WELLS FARGO BANK NA,WELLS
"CITIBANK, N.A.",27565,CITIBANK NA,CITIBANK
"CITICORP NORTH AMERICA, INC.",26613,CITICORP NORTH AMERICA INC,CITICORP
MORGAN STANLEY & CO. INCORPORATED,22503,MORGAN STANLEY & CO INC,MORGAN
WILMINGTON TRUST,21537,WILMINGTON TRUST,WILMINGTON
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS TRUSTEE",20336,BANK OF NEW YORK MELLON TRUST CO NA,NEW
"CITIBANK, N.A. AS COLLATERAL AGENT",19666,CITIBANK NA,CITIBANK
"GOLDMAN SACHS BANK USA, AS COLLATERAL AGENT",19597,GOLDMAN SACHS BANK USA,GOLDMAN
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",18909,WELLS FARGO BANK NA,WELLS
WILMINGTON TRUST COMPANY,18552,WILMINGTON TRUST CO,WILMINGTON
"MORGAN STANLEY SENIOR FUNDING, INC., AS AGENT",18394,MORGAN STANLEY SENIOR FUNDING INC,MORGAN
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS COLLATERAL AGENT",18320,BANK OF NEW YORK MELLON TRUST CO NA,NEW
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS TRUSTEE AND NOTES COLLATERAL AGENT",17705,BANK OF NEW YORK MELLON TRUST CO NA & NOTES COLLATERAL AGENT,NEW
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",16416,WILMINGTON TRUST NA,WILMINGTON
"DEUTSCHE BANK TRUST COMPANY AMERICAS, AS COLLATERAL AGENT",16135,DEUTSCHE BANK TRUST CO AMERICAS,DEUTSCHE
UNITED STATES DEPARTMENT OF THE TREASURY,14625,US DEPARTMENT OF THE TREASURY,DEPARTMENT
"CITIBANK, N.A., AS COLLATERAL TRUSTEE",14271,CITIBANK NA,CITIBANK
BARCLAYS BANK PLC,13762,BARCLAYS BANK PLC,BARCLAYS
"ROYAL BANK OF CANADA, AS COLLATERAL AGENT",13744,ROYAL BANK OF CANADA,ROYAL
"CITIBANK, N.A., AS ADMINISTRATIVE AGENT",13489,CITIBANK NA,CITIBANK
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH",13082,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH,CREDIT
"CITICORP NORTH AMERICA, INC., AS AGENT",13068,CITICORP NORTH AMERICA INC,CITICORP
"JPMORGAN CHASE BANK, AS COLLATERAL AGENT",12661,JPMORGAN CHASE BANK,JPMORGAN
"DEUTSCHE BANK TRUST COMPANY AMERICAS, AS ADMINISTRATIVE AGENT",12398,DEUTSCHE BANK TRUST CO AMERICAS,DEUTSCHE
GOLDMAN SACHS BANK USA,12333,GOLDMAN SACHS BANK USA,GOLDMAN
WELLS FARGO BANK NATIONAL ASSOCIATION AS AGENT,12285,WELLS FARGO BANK NATIONAL ASSOCIATIONAS AGENT,WELLS
"BARCLAYS BANK PLC, AS COLLATERAL AGENT",11913,BARCLAYS BANK PLC,BARCLAYS
CREDIT SUISSE,11847,CREDIT SUISSE,CREDIT
"PNC BANK, NATIONAL ASSOCIATION",11243,PNC BANK NA,PNC
"GOLDMAN SACHS BANK USA, AS ADMINISTRATIVE AGENT AND COLLATERAL AGENT",11215,GOLDMAN SACHS BANK USA & COLLATERAL AGENT,GOLDMAN
SILICON VALLEY BANK,10911,SILICON VALLEY BANK,SILICON
U.S. BANK NATIONAL ASSOCIATION,10558,US BANK NA,BANK
"BANK OF AMERICAN, N.A. AS COLLATERAL AGENT",10322,BANK OF AMERICAN NA,AMERICAN
"CORTLAND CAPITAL MARKET SERVICES LLC, AS COLLATERAL AGENT",10246,CORTLAND CAPITAL MARKET SERVICES LLC,CORTLAND
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS AGENT",9801,WILMINGTON TRUST NA,WILMINGTON
"CITIBANK, N.A., AS NOTES COLLATERAL AGENT",9716,CITIBANK NA,CITIBANK
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS NOTES COLLATERAL AGENT",9564,WILMINGTON TRUST NA,WILMINGTON
"BANK ONE, NA, AS ADMINISTRATIVE AGENT",9039,BANK ONE NA,ONE
"HPS INVESTMENT PARTNERS, LLC, AS COLLATERAL AGENT",8698,HPS INVESTMENT PARTNERS LLC,HPS
"BANK OF AMERICA, N.A., AS AGENT",8545,BANK OF AMERICA NA,AMERICA
"GENERAL ELECTRIC CAPITAL CORPORATION, AS AGENT",8402,GENERAL ELECTRIC CAPITAL CORP,GENERAL
DEUTSCHE BANK AG NEW YORK BRANCH,8176,DEUTSCHE BANK AG NEW YORK BRANCH,DEUTSCHE
UAW RETIREE MEDICAL BENEFITS TRUST,8001,UAW RETIREE MEDICAL BENEFITS TRUST,UAW
"WILMINGTON TRUST COMPANY, AS COLLATERAL AGENT",7517,WILMINGTON TRUST CO,WILMINGTON
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS COLLATERAL TRUSTEE",7491,BANK OF NEW YORK MELLON TRUST CO NA,NEW
GENERAL ELECTRIC CAPITAL CORPORATION,6978,GENERAL ELECTRIC CAPITAL CORP,GENERAL
JEFFERIES FINANCE LLC,6931,JEFFERIES FINANCE LLC,JEFFERIES
"MORGAN STANLEY SENIOR FUNDING, INC. AS THE COLLATERAL AGENT",6760,MORGAN STANLEY SENIOR FUNDING INC,MORGAN
"JPMORGAN CHASE BANK,N.A,AS ADMINISTRATIVE AGENT",6734,JPMORGAN CHASE BANK NA,JPMORGAN
"JPMORGAN CHASE BANK, N.A. AS ADMINISTRATIVE AGENT",6596,JPMORGAN CHASE BANK NA,JPMORGAN
"CITICORP USA, INC. AS AGENT FOR BANK PRIORITY SECURED PARTIES",6594,CITICORP USA INC FOR BANK PRIORITY SECURED PARTIES,CITICORP
"CITICORP USA, INC. AS AGENT FOR HEDGE PRIORITY SECURED PARTIES",6594,CITICORP USA INC FOR HEDGE PRIORITY SECURED PARTIES,CITICORP
"THE BANK OF NEW YORK MELLON, AS COLLATERAL AGENT",6400,BANK OF NEW YORK MELLON,NEW
ALTER DOMUS (US) LLC,6311,ALTER DOMUS US LLC,ALTER
"JPMORGAN CHASE BANK, N.A., AS AGENT",5757,JPMORGAN CHASE BANK NA,JPMORGAN
"BANK OF AMERICA, N. A.",5602,BANK OF AMERICA NA,AMERICA
"JEFFERIES FINANCE LLC, AS COLLATERAL AGENT",5426,JEFFERIES FINANCE LLC,JEFFERIES
"CITICORP USA, INC., AS ADMINISTRATIVE AGENT",5340,CITICORP USA INC,CITICORP
"CITIBANK, N.A., AS AGENT",5202,CITIBANK NA,CITIBANK
MANUFACTURERS AND TRADERS TRUST COMPANY,5163,MANUFACTURERS & TRADERS TRUST CO,MANUFACTURERS
ROYAL BANK OF CANADA,5154,ROYAL BANK OF CANADA,ROYAL
"THE BANK OF NOVA SCOTIA, AS ADMINISTRATIVE AGENT",5004,BANK OF NOVA SCOTIA,NOVA
BANKERS TRUST COMPANY,4988,BANKERS TRUST CO,BANKERS
"BANK OF AMERICA, N.A, AS COLLATERAL AGENT",4800,BANK OF AMERICA NA,AMERICA
"JPMORGAN CHASE BANK, N.A., AS ADMINISTRATIVE AGENT AND FIRST PRIORITY REPRESENTATIVE",4773,JPMORGAN CHASE BANK NA & FIRST PRIORITY REPRESENTATIVE,JPMORGAN
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS COLLATERAL AGENT AND SECOND PRIORITY REPRESENTATIVE",4773,WELLS FARGO BANK NA & SECOND PRIORITY REPRESENTATIVE,WELLS
"TRUIST BANK, AS NOTES COLLATERAL AGENT",4470,TRUIST BANK,TRUIST
"WILMINGTON SAVINGS FUND SOCIETY, FSB [COLLATERAL AGENT]",4280,WILMINGTON SAVINGS FUND SOCIETY FSB COLLATERAL AGENT,WILMINGTON
"JPMORGAN CHASE BANK, N.A., AS THE ADMINISTRATIVE AGENT",4259,JPMORGAN CHASE BANK NA,JPMORGAN
"U.S. BANK, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",4224,US BANK NA,BANK
"THE BANK OF NEW YORK MELLON, AS NOTES COLLATERAL AGENT",4200,BANK OF NEW YORK MELLON,NEW
JPMORGAN CHASE BANK,4188,JPMORGAN CHASE BANK,JPMORGAN
CREDIT SUISSE AG,4185,CREDIT SUISSE AG,CREDIT
"GACP FINANCE CO., LLC",4049,GACP FINANCE CO LLC,GACP
"CREDIT SUISSE, CAYMAN ISLANDS BRANCH, AS COLLATERAL AGENT",3988,CREDIT SUISSE CAYMAN ISLANDS BRANCH,CREDIT
BANK OF AMERICA NATIONAL TRUST AND SAVINGS ASSOCIATION,3948,BANK OF AMERICA NATIONAL TRUST & SAVINGS ASSOCIATION,AMERICA
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A.,",3927,BANK OF NEW YORK MELLON TRUST CO NA,NEW
"UBS AG, STAMFORD BRANCH, AS COLLATERAL AGENT",3907,UBS AG STAMFORD BRANCH,UBS
"GLAS AMERICAS LLC, AS THE SUCCESSOR AGENT",3840,GLAS AMERICAS LLC AS THE SUCCESSOR AGENT,GLAS
"MORGAN GUARANTY TRUST COMPANY OF NEW YORK, AND MORGAN BANK ( DELAWARE ) AS COLLATERAL ( AGENTS ) SEE RECORD FOR THE REMAINING ASSIGNEES.",3820,MORGAN GUARANTY TRUST CO OF NEW YORK & MORGAN BANK DELAWARE S SEE RECORD FOR THE REMAINING ASSIGNEES,MORGAN
"THE CHASE MANHATTAN BANK, AS COLLATERAL AGENT",3767,CHASE MANHATTAN BANK,CHASE
"U.S. BANK TRUST COMPANY, NATIONAL ASSOCIATION",3551,US BANK TRUST CO NA,BANK
"JPMORGAN, N.A.",3520,JPMORGAN NA,JPMORGAN
"CAPITAL ONE, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",3449,CAPITAL ONE NA,CAPITAL
"WELLS FARGO TRUST COMPANY, N.A.",3404,WELLS FARGO TRUST CO NA,WELLS
"ALLY BANK, AS COLLATERAL AGENT",3344,ALLY BANK,ALLY
"CITIZENS BANK, N.A.",3225,CITIZENS BANK NA,CITIZENS
"CREDIT SUISSE FIRST BOSTON, AS COLLATERAL AGENT",3133,CREDIT SUISSE FIRST BOSTON,CREDIT
"DEUTSCHE BANK TRUST COMPANY AMERICAS, AS COLLATERAL TRUSTEE",3093,DEUTSCHE BANK TRUST CO AMERICAS,DEUTSCHE
"ATLANTIC PARK STRATEGIC CAPITAL FUND, L.P., AS COLLATERAL AGENT",3038,ATLANTIC PARK STRATEGIC CAPITAL FUND LP,ATLANTIC
"WELLS FARGO CAPITAL FINANCE, LLC, AS AGENT",3034,WELLS FARGO CAPITAL FINANCE LLC,WELLS
CREDIT SUISSE FIRST BOSTON,2918,CREDIT SUISSE FIRST BOSTON,CREDIT
"JPMORGAN CHASE BANK, N.A., AS ADMINISTRATIVE AGENT AND COLLATERAL AGENT",2842,JPMORGAN CHASE BANK NA & COLLATERAL AGENT,JPMORGAN
"BANK OF AMERICA, N.A. AS ADMINISTRATIVE AGENT",2753,BANK OF AMERICA NA,AMERICA
"ROYAL BANK OF CANADA, AS THE COLLATERAL AGENT",2718,ROYAL BANK OF CANADA,ROYAL
"HSBC BANK USA, NATIONAL ASSOCIATION",2669,HSBC BANK USA NA,HSBC
"OT PATENT ESCROW, LLC",2526,OT PATENT ESCROW LLC,OT
"BANK OF AMERICA, N.A., AS ADMINISTRATIVE AGENT FOR THE SECURED PARTIES",2418,BANK OF AMERICA NA FOR THE SECURED PARTIES,AMERICA
"BANK OF NEW YORK MELLON TRUST COMPANY, N.A., THE",2361,BANK OF NEW YORK MELLON TRUST CO NA,NEW
THE BANK OF NEW YORK MELLON,2344,BANK OF NEW YORK MELLON,NEW
"CITIBANK N.A., AS ADMINISTRATIVE AGENT",2292,CITIBANK NA,CITIBANK
"LEHMAN COMMERCIAL PAPER INC., AS COLLATERAL AGENT",2234,LEHMAN COMMERCIAL PAPER INC,LEHMAN
"COMERICA BANK, AS AGENT",2167,COMERICA BANK,COMERICA
"GLAS AMERICAS LLC, AS COLLATERAL AGENT",2131,GLAS AMERICAS LLC,GLAS
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS SECOND LIEN AGENT",2100,BANK OF NEW YORK MELLON TRUST CO NA AS SECOND LIENAGENT,NEW
"WELLS FARGO FOOTHILL, INC.",2022,WELLS FARGO FOOTHILL INC,WELLS
"SILICON VALLEY BANK, AS ADMINISTRATIVE AGENT",1998,SILICON VALLEY BANK,SILICON
"PNC BANK, NATIONAL ASSOCIATION, AS AGENT",1992,PNC BANK NA,PNC
"BANK OF NEW YORK, THE",1925,BANK OF NEW YORK,NEW
FOOTHILL CAPITAL CORPORATION,1921,FOOTHILL CAPITAL CORP,FOOTHILL
"WACHOVIA CAPITAL FINANCE CORPORATION (CENTRAL), AS ADMINISTRATIVE AGENT",1921,WACHOVIA CAPITAL FINANCE CORP CENTRAL,WACHOVIA
"CERBERUS BUSINESS FINANCE, LLC, AS COLLATERAL AGENT",1909,CERBERUS BUSINESS FINANCE LLC,CERBERUS
"BANK OF AMERICA, N.A. AS COLLATERAL AGENT",1759,BANK OF AMERICA NA,AMERICA
"HSBC BANK USA, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",1726,HSBC BANK USA NA,HSBC
MACQUARIE US TRADING LLC,1701,MACQUARIE US TRADING LLC,MACQUARIE
"GOLDMAN SACHS LENDING PARTNERS LLC, AS COLLATERAL AGENT",1698,GOLDMAN SACHS LENDING PARTNERS LLC,GOLDMAN
"SIXTH STREET LENDING PARTNERS, AS ADMINISTRATIVE AGENT",1689,SIXTH STREET LENDING PARTNERS,SIXTH
"CREDIT SUISSE, CAYMAN ISLANDS BRANCH, AS ADMINISTRATIVE AGENT",1685,CREDIT SUISSE CAYMAN ISLANDS BRANCH,CREDIT
"BANK OF NOVA SCOTIA, THE",1679,BANK OF NOVA SCOTIA,NOVA
"MIDCAP FINANCIAL TRUST, AS AGENT",1614,MIDCAP FINANCIAL TRUST,MIDCAP
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS AGENT",1612,WELLS FARGO BANK NA,WELLS
"BANK OF NEW YORK MELLON TRUST COMPANY, N.A.",1588,BANK OF NEW YORK MELLON TRUST CO NA,NEW
"MUFG UNION BANK, N.A.",1553,MUFG UNION BANK NA,MUFG
BANK OF AMERICA N.A.,1551,BANK OF AMERICA NA,AMERICA
"BANK OFAMERICA, N.A., AS COLLATERAL AGENT",1530,BANK OFAMERICA NA,OFAMERICA
"CHASE MANHATTAN BANK, THE",1492,CHASE MANHATTAN BANK,CHASE
"FIRST UNION NATIONAL BANK, AS ADMINISTRATIVE AGENT",1489,FIRST UNION NATIONAL BANK,FIRST
"BANK OF NEW YORK MELLON TRUST, NA, AS NOTES COLLATERAL AGENT, THE",1477,BANK OF NEW YORK MELLON TRUST NA,NEW
"OMEGA CREDIT OPPORTUNITIES MASTER FUND, LP",1410,OMEGA CREDIT OPPORTUNITIES MASTER FUND LP,OMEGA
"ALTER DOMUS (US) LLC, AS COLLATERAL AGENT",1402,ALTER DOMUS US LLC,ALTER
BANK OF MONTREAL,1390,BANK OF MONTREAL,MONTREAL
"WELLS FARGO BANK, N.A.",1376,WELLS FARGO BANK NA,WELLS
"WILMINGTON TRUST FSB, AS ADMINISTRATIVE AGENT",1374,WILMINGTON TRUST FSB,WILMINGTON
"MORGAN STANLEY & CO. INCORPORATED, AS FACILITY COLLATERAL AGENT",1362,MORGAN STANLEY & CO INC AS FACILITY COLLATERAL AGENT,MORGAN
"THE BANK OF NEW YORK, MELLON TRUST COMPANY, N.A.",1352,BANK OF NEW YORK MELLON TRUST CO NA,NEW
"CHINA CITIC BANK CORPORATION LIMITED, GUANGZHOU BRANCH, AS COLLATERAL AGENT",1349,CHINA CITIC BANK CORP LTD GUANGZHOU BRANCH,CHINA
"WILMINGTON TRUST FSB, AS COLLATERAL AGENT",1327,WILMINGTON TRUST FSB,WILMINGTON
"BANK OF NOVA SCOTIA, THE, AS COLLATERAL AGENT",1320,BANK OF NOVA SCOTIA,NOVA
"MORGAN STANLEY SENIOR FUNDING, INC. AS ADMINISTRATIVE AGENT",1314,MORGAN STANLEY SENIOR FUNDING INC,MORGAN
"GENERAL ELECTRIC CAPITAL CORPORATION, AS COLLATERAL AGENT",1304,GENERAL ELECTRIC CAPITAL CORP,GENERAL
U.S. BANK TRUSTEES LIMITED,1281,US BANK TRUSTEES LTD,BANK
"EUAGORE, LLC",1275,EUAGORE LLC,EUAGORE
"FIRST NATIONAL BANK OF CHICAGO, THE",1262,FIRST NATIONAL BANK OF CHICAGO,FIRST
"OT WSOU TERRIER HOLDINGS, LLC",1254,OT WSOU TERRIER HOLDINGS LLC,OT
JP MORGAN CHASE BANK,1236,JP MORGAN CHASE BANK,JP
BANK OF AMERICA,1231,BANK OF AMERICA,AMERICA
"WELLS FARGO FOOTHILL, LLC, AS AGENT",1222,WELLS FARGO FOOTHILL LLC,WELLS
"INTERNATIONAL GAME TECHNOLOGY, AS AGENT",1214,INTERNATIONAL GAME TECHNOLOGY,GAME
"PRIVATE EQUITY MANAGEMENT GROUP FINANCIAL CORPORATION, AS ADMINISTRATIVE AGENT",1214,PRIVATE EQUITY MANAGEMENT GROUP FINANCIAL CORP,PRIVATE
"BANK OF MONTREAL, AS COLLATERAL AGENT",1210,BANK OF MONTREAL,MONTREAL
"CORTLAND CAPITAL MARKET SERVICES, LLC",1207,CORTLAND CAPITAL MARKET SERVICES LLC,CORTLAND
MIDCAP FINANCIAL TRUST,1181,MIDCAP FINANCIAL TRUST,MIDCAP
"KEYBANK NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",1178,KEYBANK NA,KEYBANK
"BANKERS TRUST COMPANY, AS ADMINISTRATIVE AGENT",1174,BANKERS TRUST CO,BANKERS
NOKIA USA INC.,1168,NOKIA USA INC,NOKIA
"WACHOVIA BANK, NATIONAL ASSOCIATION",1166,WACHOVIA BANK NA,WACHOVIA
"THE BANK OF NEW YORK TRUST COMPANY, N.A.",1155,BANK OF NEW YORK TRUST CO NA,NEW
"GENERAL ELECTRIC CAPITAL CANADA, INC.",1122,GENERAL ELECTRIC CAPITAL CANADA INC,GENERAL
"WELLS FARGO CAPITAL FINANCE, LLC, AS ADMINISTRATIVE AGENT",1105,WELLS FARGO CAPITAL FINANCE LLC,WELLS
"UBS AG, STAMFORD BRANCH",1097,UBS AG STAMFORD BRANCH,UBS
"JPMORGAN CHASE BANK, N.A., AS GENERAL ADMINISTRATIVE AGENT",1084,JPMORGAN CHASE BANK NA AS GENERAL ADMINISTRATIVE AGENT,JPMORGAN
"BANK OF AMERICA, N.A.,AS COLLATERAL AGENT",1080,BANK OF AMERICA NA,AMERICA
"BELL NORTHERN RESEARCH, LLC",1064,BELL NORTHERN RESEARCH LLC,BELL
"BELL SEMICONDUCTOR, LLC",1064,BELL SEMICONDUCTOR LLC,BELL
"HILCO PATENT ACQUISITION 56, LLC",1064,HILCO PATENT ACQUISITION 56 LLC,HILCO
"DBD CREDIT FUNDING LLC, AS COLLATERAL AGENT",1061,DBD CREDIT FUNDING LLC,DBD
"WELLS FARGO FOOTHILL, LLC",1061,WELLS FARGO FOOTHILL LLC,WELLS
"ABLECO FINANCE LLC, AS COLLATERAL AGENT",1052,ABLECO FINANCE LLC,ABLECO
"GOLDMAN SACHS CREDIT PARTNERS L.P., AS COLLATERAL AGENT",1050,GOLDMAN SACHS CREDIT PARTNERS LP,GOLDMAN
"WELLS FARGO FOOTHILL, LLC AS AGENT",1044,WELLS FARGO FOOTHILL LLC,WELLS
"JP MORGAN CHASE BANK, N.A.",1042,JP MORGAN CHASE BANK NA,JP
"U.S. BANK TRUST COMPANY, NATIONAL ASSOCIATION, AS NOTES COLLATERAL AGENT",1030,US BANK TRUST CO NA,BANK
AVAYA LLC,1028,AVAYA LLC,AVAYA
"SILICON VALLEY BANK, AGENT",1015,SILICON VALLEY BANK AGENT,SILICON
"ANTARES CAPITAL LP, AS AGENT",1008,ANTARES CAPITAL LP,ANTARES
"CHASE MANHATTAN BANK, AS ADMINISTRATIVE AGENT",995,CHASE MANHATTAN BANK,CHASE
"LASALLE BUSINESS CREDIT, INC., AS COLLATERAL AGENT",988,LASALLE BUSINESS CREDIT INC,LASALLE
TELECOM HOLDING PARENT LLC,984,TELECOM HOLDING PARENT LLC,TELECOM
"THE BANK OF NEW YORK MELLON, AS ADMINISTRATIVE AGENT",983,BANK OF NEW YORK MELLON,NEW
"JPMORGAN CHASE BANK, AS ADMINISTRATIVE AGENT",980,JPMORGAN CHASE BANK,JPMORGAN
"GLAS TRUST CORPORATION LIMITED, AS COLLATERAL AGENT",978,GLAS TRUST CORP LTD,GLAS
CHEMICAL BANK,977,CHEMICAL BANK,CHEMICAL
LIGHTSHIP CAPITAL LLC,973,LIGHTSHIP CAPITAL LLC,LIGHTSHIP
"CREDIT SUISSE, AS COLLATERAL AGENT",972,CREDIT SUISSE,CREDIT
"UMB BANK, N.A., AS COLLATERAL AGENT",956,UMB BANK NA,UMB
"CITICORP NORTH AMERICA, INC., AS COLLATERAL AGENT",955,CITICORP NORTH AMERICA INC,CITICORP
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS COLLATERAL TRUSTEE",944,WELLS FARGO BANK NA,WELLS
ARES CAPITAL CORPORATION,941,ARES CAPITAL CORP,ARES
"CIT GROUP/BUSINESS CREDIT, INC., THE",939,CIT GROUP BUSINESS CREDIT INC,CIT
"SILVER POINT FINANCE, LLC",930,SILVER POINT FINANCE LLC,SILVER
"CHASE MANHATTAN BANK, AS COLLATERAL AGENT, THE",926,CHASE MANHATTAN BANK,CHASE
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A. AS COLLATERAL AGENT",909,BANK OF NEW YORK MELLON TRUST CO NA,NEW
"FLEET CAPITAL CORPORATION, AS AGENT",907,FLEET CAPITAL CORP,FLEET
MIDCAP FUNDING IV TRUST,890,MIDCAP FUNDING IV TRUST,MIDCAP
"CITIBANK., N.A., AS ADMINISTRATIVE AGENT",888,CITIBANK NA,CITIBANK
"CHASE MANHATTAN BANK, AS ADMINISTRATIVE AGENT, THE",885,CHASE MANHATTAN BANK,CHASE
"LEHMAN COMMERCIAL PAPER INC., AS ADMINISTRATIVE AGENT",880,LEHMAN COMMERCIAL PAPER INC,LEHMAN
"MORGAN STANLEY & CO., INCORPORATED",869,MORGAN STANLEY & CO INC,MORGAN
BIOPHARMA CREDIT PLC,865,BIOPHARMA CREDIT PLC,BIOPHARMA
"CITICORP NORTH AMERICA, INC., AS ""AGENT""",865,CITICORP NORTH AMERICA INC,CITICORP
"BOKF, NA, AS SUCCESSOR COLLATERAL AGENT",862,BOKF NA,BOKF
"WACHOVIA BANK, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",856,WACHOVIA BANK NA,WACHOVIA
SUNTRUST BANK,846,SUNTRUST BANK,SUNTRUST
MORGAN GUARANTY TRUST COMPANY OF NEW YORK,832,MORGAN GUARANTY TRUST CO OF NEW YORK,MORGAN
TRUIST BANK,831,TRUIST BANK,TRUIST
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS COLLATERAL TRUSTEE",819,WILMINGTON TRUST NA,WILMINGTON
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH, AS ADMINISTRATIVE AGENT",805,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH,CREDIT
"CITIBANK, N.A., AS ADMINISTRATIVE AGENT AND COLLATERAL AGENT",803,CITIBANK NA & COLLATERAL AGENT,CITIBANK
"WILMINGTON TRUST, NATIONAL ASSOCIATION, - AS NOTES COLLATERAL AGENT",801,WILMINGTON TRUST NA -,WILMINGTON
"WACHOVIA BANK, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",789,WACHOVIA BANK NA,WACHOVIA
"ABLECO FINANCE LLC, AS AGENT",788,ABLECO FINANCE LLC,ABLECO
"MORGAN STANLEY SENIOR FUNDING, INC., AS ADMINISTRATIVE AGENT",769,MORGAN STANLEY SENIOR FUNDING INC,MORGAN
"DEUTSCHE BANK TRUST COMPANY AMERICAS, AS SECOND LIEN ADMINISTRATIVE AGENT",768,DEUTSCHE BANK TRUST CO AMERICAS AS SECOND LIENADMINISTRATIVE AGENT,DEUTSCHE
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS CO-COLLATERAL TRUSTEE, SUCCESSOR COLLATERAL TRUSTEE",758,WILMINGTON TRUST NA AS CO-COLLATERAL TRUSTEE SUCCESSOR COLLATERAL TRUSTEE,WILMINGTON
BARCLAYS BANK PLC AS ADMINISTRATIVE AGENT,743,BARCLAYS BANK PLC,BARCLAYS
