original_name,frequency,normalized_name,blocking_key
"TESSERA ADVANCED TECHNOLOGIES, INC.",4593,TESSERA ADVANCED TECHNOLOGIES INC,TESSERA
"TESSERA, INC.",4593,TESSERA INC,TESSERA
"OGIO INTERNATIONAL, INC.",4545,OGIO INTERNATIONAL INC,OGIO
"INTELLISIST, INC.",4410,INTELLISIST INC,INTELLISIST
AVAYA MANAGEMENT L.P.,4391,AVAYA MANAGEMENT LP,AVAYA
TENNECO AUTOMOTIVE OPERATING COMPANY INC.,4381,TENNECO AUTOMOTIVE OPERATING CO INC,TENNECO
"BALLY GAMING, INC.",4175,BALLY GAMING INC,BALLY
"AVAYA, INC.",4103,AVAYA INC,AVAYA
PRECISION ENERGY SERVICES ULC,4045,PRECISION ENERGY SERVICES ULC,PRECISION
THE PULLMAN COMPANY,3994,PULLMAN CO,PULLMAN
DRIV AUTOMOTIVE INC.,3942,DRIV AUTOMOTIVE INC,DRIV
FEDERAL-MOGUL IGNITION LLC,3930,FEDERAL-MOGUL IGNITION LLC,FEDERALMOGUL
FEDERAL-MOGUL WORLD WIDE LLC,3930,FEDERAL-MOGUL WORLD WIDE LLC,FEDERALMOGUL
TENNECO INC.,3930,TENNECO INC,TENNECO
"WEATHERFORD TECHNOLOGY HOLDINGS, LLC",3771,WEATHERFORD TECHNOLOGY HOLDINGS LLC,WEATHERFORD
"MCAFEE, LLC",3764,MCAFEE LLC,MCAFEE
GM GLOBAL TECHNOLOGY OPERATIONS LLC,3738,GM GLOBAL TECHNOLOGY OPERATIONS LLC,GM
"HIGH PRESSURE INTEGRITY, INC.",3732,HIGH PRESSURE INTEGRITY INC,HIGH
"PRECISION ENERGY SERVICES, INC.",3732,PRECISION ENERGY SERVICES INC,PRECISION
FEDERAL-MOGUL MOTORPARTS LLC,3713,FEDERAL-MOGUL MOTORPARTS LLC,FEDERALMOGUL
TIVO SOLUTIONS INC.,3699,TIVO SOLUTIONS INC,TIVO
AVAYA INTEGRATED CABINET SOLUTIONS LLC,3698,AVAYA INTEGRATED CABINET SOLUTIONS LLC,AVAYA
NCR CORPORATION,3692,NCR CORP,NCR
"TIVO SOLUTIONS, INC.",3428,TIVO SOLUTIONS INC,TIVO
"INVENSAS BONDING TECHNOLOGIES, INC.",3408,INVENSAS BONDING TECHNOLOGIES INC,INVENSAS
"NCR INTERNATIONAL, INC.",3347,NCR INTERNATIONAL INC,NCR
QUANTUM CORPORATION,3341,QUANTUM CORP,QUANTUM
"TWITTER, INC.",3339,TWITTER INC,TWITTER
"BELL NORTHERN RESEARCH, LLC",3299,BELL NORTHERN RESEARCH LLC,BELL
"BELL SEMICONDUCTOR, LLC",3299,BELL SEMICONDUCTOR LLC,BELL
"HILCO PATENT ACQUISITION 56, LLC",3299,HILCO PATENT ACQUISITION 56 LLC,HILCO
LEAR CORPORATION,3295,LEAR CORP,LEAR
"WSOU INVESTMENTS, LLC",3282,WSOU INVESTMENTS LLC,WSOU
MAXTOR CORPORATION,3251,MAXTOR CORP,MAXTOR
CORTLAND CAPITAL MARKET SERVICES LLC,3192,CORTLAND CAPITAL MARKET SERVICES LLC,CORTLAND
SEAGATE TECHNOLOGY INTERNATIONAL,3182,SEAGATE TECHNOLOGY INTERNATIONAL,SEAGATE
NEWPORT CORPORATION,3113,NEWPORT CORP,NEWPORT
"ENTEGRIS, INC.",3055,ENTEGRIS INC,ENTEGRIS
"II-VI DELAWARE, INC.",3039,II-VI DELAWARE INC,IIVI
II-VI INCORPORATED,3039,II-VI INC,IIVI
"II-VI PHOTONICS (US), INC.",3039,II-VI PHOTONICS US INC,IIVI
"M CUBED TECHNOLOGIES, INC.",3039,M CUBED TECHNOLOGIES INC,M
"PHOTOP TECHNOLOGIES, INC.",3039,PHOTOP TECHNOLOGIES INC,PHOTOP
"SEMICONDUCTOR COMPONENTS INDUSTRIES, LLC",3037,SEMICONDUCTOR COMPONENTS INDUSTRIES LLC,SEMICONDUCTOR
CALLAWAY GOLF COMPANY,2991,CALLAWAY GOLF CO,CALLAWAY
"MKS INSTRUMENTS, INC.",2876,MKS INSTRUMENTS INC,MKS
ALCATEL-LUCENT USA INC.,2824,ALCATEL-LUCENT USA INC,ALCATELLUCENT
VERITAS US IP HOLDINGS LLC,2814,VERITAS US IP HOLDINGS LLC,VERITAS
"AMKOR TECHNOLOGY, INC.",2802,AMKOR TECHNOLOGY INC,AMKOR
LUCENT TECHNOLOGIES INC. (DE CORPORATION),2802,LUCENT TECHNOLOGIES INC DE CORP,LUCENT
"HOLOGIC, INC.",2671,HOLOGIC INC,HOLOGIC
CIENA CORPORATION,2669,CIENA CORP,CIENA
AVAYA TECHNOLOGY LLC,2622,AVAYA TECHNOLOGY LLC,AVAYA
"TRAVISMATHEW, LLC",2616,TRAVISMATHEW LLC,TRAVISMATHEW
"VIASAT, INC.",2597,VIASAT INC,VIASAT
"CHARTER COMMUNICATIONS OPERATING, LLC",2561,CHARTER COMMUNICATIONS OPERATING LLC,CHARTER
"ZANG, INC.",2558,ZANG INC,ZANG
FEDERAL CARTRIDGE COMPANY,2555,FEDERAL CARTRIDGE CO,FEDERAL
GEN-PROBE INCORPORATED,2468,GEN-PROBE INC,GENPROBE
"SYMBOL TECHNOLOGIES, INC.",2466,SYMBOL TECHNOLOGIES INC,SYMBOL
"ALLEN MEDICAL SYSTEMS, INC.",2463,ALLEN MEDICAL SYSTEMS INC,ALLEN
"HILL-ROM SERVICES, INC.",2463,HILL-ROM SERVICES INC,HILLROM
"WELCH ALLYN, INC.",2463,WELCH ALLYN INC,WELCH
"BRIGHT HOUSE NETWORKS, LLC",2416,BRIGHT HOUSE NETWORKS LLC,BRIGHT
"CARESTREAM HEALTH, INC.",2402,CARESTREAM HEALTH INC,CARESTREAM
CYTYC CORPORATION,2364,CYTYC CORP,CYTYC
INTERSIL CORPORATION,2355,INTERSIL CORP,INTERSIL
"WESTERN DIGITAL (FREMONT), LLC",2328,WESTERN DIGITAL FREMONT LLC,WESTERN
WMS GAMING INC.,2266,WMS GAMING INC,WMS
BRUNSWICK CORPORATION,2237,BRUNSWICK CORP,BRUNSWICK
"LASER BAND, LLC",2233,LASER BAND LLC,LASER
LUND BOAT COMPANY,2217,LUND BOAT CO,LUND
"BOSTON WHALER, INC.",2215,BOSTON WHALER INC,BOSTON
"BRUNSWICK LEISURE BOAT COMPANY, LLC",2215,BRUNSWICK LEISURE BOAT CO LLC,BRUNSWICK
TIME WARNER CABLE ENTERPRISES LLC,2186,TIME WARNER CABLE ENTERPRISES LLC,TIME
"POCO GRAPHITE, INC.",2153,POCO GRAPHITE INC,POCO
HERCULES INCORPORATED,2093,HERCULES INC,HERCULES
"DIEBOLD NIXDORF, INCORPORATED",2080,DIEBOLD NIXDORF INC,DIEBOLD
"EAGLE INDUSTRIES UNLIMITED, INC.",2078,EAGLE INDUSTRIES UNLTD INC,EAGLE
"SUROS SURGICAL SYSTEMS, INC.",2044,SUROS SURGICAL SYSTEMS INC,SUROS
"VC AVIATION SERVICES, LLC",2025,VC AVIATION SERVICES LLC,VC
VISTEON CORPORATION,2025,VISTEON CORP,VISTEON
VISTEON ELECTRONICS CORPORATION,2025,VISTEON ELECTRONICS CORP,VISTEON
"VISTEON GLOBAL TREASURY, INC.",2025,VISTEON GLOBAL TREASURY INC,VISTEON
"VISTEON INTERNATIONAL BUSINESS DEVELOPMENT, INC.",2025,VISTEON INTERNATIONAL BUSINESS DEVELOPMENT INC,VISTEON
"VISTEON INTERNATIONAL HOLDINGS, INC.",2025,VISTEON INTERNATIONAL HOLDINGS INC,VISTEON
"VISTEON SYSTEMS, LLC",2025,VISTEON SYSTEMS LLC,VISTEON
ATTWOOD CORPORATION,2023,ATTWOOD CORP,ATTWOOD
BRUNSWICK BOWLING & BILLIARDS CORPORATION,2023,BRUNSWICK BOWLING & BILLIARDS CORP,BRUNSWICK
BRUNSWICK FAMILY BOAT CO. INC.,2023,BRUNSWICK FAMILY BOAT CO INC,BRUNSWICK
"LAND 'N' SEA DISTRIBUTING, INC.",2023,LAND N SEA DISTRIBUTING INC,LAND
MOMENTIVE PERFORMANCE MATERIALS INC.,2018,MOMENTIVE PERFORMANCE MATERIALS INC,MOMENTIVE
"THIRD WAVE TECHNOLOGIES, INC.",2015,THIRD WAVE TECHNOLOGIES INC,THIRD
"BIOLUCENT, LLC",1988,BIOLUCENT LLC,BIOLUCENT
EXAR CORPORATION,1986,EXAR CORP,EXAR
ALLIANT TECHSYSTEMS INC.,1968,ALLIANT TECHSYSTEMS INC,ALLIANT
FEDERAL-MOGUL PRODUCTS US LLC,1963,FEDERAL-MOGUL PRODUCTS US LLC,FEDERALMOGUL
BAUSCH & LOMB INCORPORATED,1950,BAUSCH & LOMB INC,BAUSCH
"CALLAWAY GOLF BALL OPERATIONS, INC.",1946,CALLAWAY GOLF BALL OPERATIONS INC,CALLAWAY
"CALLAWAY GOLF INTERACTIVE, INC.",1946,CALLAWAY GOLF INTERACTIVE INC,CALLAWAY
CALLAWAY GOLF INTERNATIONAL SALES COMPANY,1946,CALLAWAY GOLF INTERNATIONAL SALES CO,CALLAWAY
CALLAWAY GOLF SALES COMPANY,1946,CALLAWAY GOLF SALES CO,CALLAWAY
SPANSION INC.,1915,SPANSION INC,SPANSION
SPANSION TECHNOLOGY INC.,1911,SPANSION TECHNOLOGY INC,SPANSION
SPANSION TECHNOLOGY LLC,1911,SPANSION TECHNOLOGY LLC,SPANSION
"COHERENT, INC.",1899,COHERENT INC,COHERENT
"CYTYC SURGICAL PRODUCTS, LIMITED PARTNERSHIP",1887,CYTYC SURGICAL PRODUCTS LTD PARTNERSHIP,CYTYC
TRW AUTOMOTIVE U.S. LLC,1885,TRW AUTOMOTIVE US LLC,TRW
"CLOUD SOFTWARE GROUP, INC. (F/K/A TIBCO SOFTWARE INC.)",1882,CLOUD SOFTWARE GROUP INC F K A TIBCO SOFTWARE INC,CLOUD
LATTICE SEMICONDUCTOR CORPORATION,1873,LATTICE SEMICONDUCTOR CORP,LATTICE
AVINTIV SPECIALTY MATERIALS INC.,1868,AVINTIV SPECIALTY MATERIALS INC,AVINTIV
"BERRY FILM PRODUCTS COMPANY, INC.",1868,BERRY FILM PRODUCTS CO INC,BERRY
"FIBERWEB, LLC",1868,FIBERWEB LLC,FIBERWEB
"MORGAN STANLEY SENIOR FUNDING, INC.",1855,MORGAN STANLEY SENIOR FUNDING INC,MORGAN
ACACIA RESEARCH GROUP LLC,1831,ACACIA RESEARCH GROUP LLC,ACACIA
AMERICAN VEHICULAR SCIENCES LLC,1831,AMERICAN VEHICULAR SCIENCES LLC,AMERICAN
BONUTTI SKELETAL INNOVATIONS LLC,1831,BONUTTI SKELETAL INNOVATIONS LLC,BONUTTI
CELLULAR COMMUNICATIONS EQUIPMENT LLC,1831,CELLULAR COMMUNICATIONS EQUIPMENT LLC,CELLULAR
INNOVATIVE DISPLAY TECHNOLOGIES LLC,1831,INNOVATIVE DISPLAY TECHNOLOGIES LLC,INNOVATIVE
LIFEPORT SCIENCES LLC,1831,LIFEPORT SCIENCES LLC,LIFEPORT
LIMESTONE MEMORY SYSTEMS LLC,1831,LIMESTONE MEMORY SYSTEMS LLC,LIMESTONE
MERTON ACQUISITION HOLDCO LLC,1831,MERTONACQUISITION HOLDCO LLC,MERTONACQUISITION
MOBILE ENHANCEMENT SOLUTIONS LLC,1831,MOBILE ENHANCEMENT SOLUTIONS LLC,MOBILE
MONARCH NETWORKING SOLUTIONS LLC,1831,MONARCH NETWORKING SOLUTIONS LLC,MONARCH
NEXUS DISPLAY TECHNOLOGIES LLC,1831,NEXUS DISPLAY TECHNOLOGIES LLC,NEXUS
PARTHENON UNIFIED MEMORY ARCHITECTURE LLC,1831,PARTHENON UNIFIED MEMORY ARCHITECTURE LLC,PARTHENON
R2 SOLUTIONS LLC,1831,R2 SOLUTIONS LLC,R2
SAINT LAWRENCE COMMUNICATIONS LLC,1831,SAINT LAWRENCE COMMUNICATIONS LLC,SAINT
STINGRAY IP SOLUTIONS LLC,1831,STINGRAY IP SOLUTIONS LLC,STINGRAY
SUPER INTERCONNECT TECHNOLOGIES LLC,1831,SUPER INTERCONNECT TECHNOLOGIES LLC,SUPER
TELECONFERENCE SYSTEMS LLC,1831,TELECONFERENCE SYSTEMS LLC,TELECONFERENCE
UNIFICATION TECHNOLOGIES LLC,1831,UNIFICATION TECHNOLOGIES LLC,UNIFICATION
"BERRY GLOBAL FILMS, LLC",1826,BERRY GLOBAL FILMS LLC,BERRY
"PLIANT, LLC",1817,PLIANT LLC,PLIANT
"LYONDELL CHEMICAL TECHNOLOGY, L.P.",1810,LYONDELL CHEMICAL TECHNOLOGY LP,LYONDELL
SABIC INNOVATIVE PLASTICS IP B.V.,1807,SABIC INNOVATIVE PLASTICS IP BV,SABIC
"MAXLINEAR, INC.",1802,MAXLINEAR INC,MAXLINEAR
"GRAPHIC PACKAGING INTERNATIONAL, LLC",1797,GRAPHIC PACKAGING INTERNATIONAL LLC,GRAPHIC
SYNAPTICS INCORPORATED,1761,SYNAPTICS INC,SYNAPTICS
ZIH CORP.,1759,ZIH CORP,ZIH
POLAROID CORPORATION,1756,POLAROID CORP,POLAROID
FAIRCHILD SEMICONDUCTOR CORPORATION,1735,FAIRCHILD SEMICONDUCTOR CORP,FAIRCHILD
"ELECTRO SCIENTIFIC INDUSTRIES, INC.",1720,ELECTRO SCIENTIFIC INDUSTRIES INC,ELECTRO
ZEBRA ENTERPRISE SOLUTIONS CORP.,1690,ZEBRA ENTERPRISE SOLUTIONS CORP,ZEBRA
BPREX HEALTHCARE PACKAGING INC.,1686,BPREX HEALTHCARE PACKAGING INC,BPREX
"DANA AUTOMOTIVE SYSTEMS GROUP, LLC",1685,DANA AUTOMOTIVE SYSTEMS GROUP LLC,DANA
"DANA HEAVY VEHICLE SYSTEMS GROUP, LLC",1685,DANA HEAVY VEHICLE SYSTEMS GROUP LLC,DANA
DANA LIMITED,1685,DANA LTD,DANA
NATIONAL INSTRUMENTS CORPORATION,1682,NATIONAL INSTRUMENTS CORP,INSTRUMENTS
"GOODYEAR TIRE & RUBBER COMPANY, THE",1656,GOODYEAR TIRE & RUBBER CO,GOODYEAR
"ALLEN TELECOM LLC, A DELAWARE LLC",1647,ALLEN TELECOM LLC A DELAWARE LLC,ALLEN
"ANDREW LLC, A DELAWARE LLC",1647,ANDREW LLC A DELAWARE LLC,ANDREW
AQUALON COMPANY,1633,AQUALON CO,AQUALON
"POLYCOM, INC.",1620,POLYCOM INC,POLYCOM
"TOPGOLF INTERNATIONAL, INC.",1612,TOPGOLF INTERNATIONAL INC,TOPGOLF
"WORLD GOLF TOUR, LLC",1612,WORLD GOLF TOUR LLC,WORLD
"CURRENT LIGHTING SOLUTIONS, LLC",1606,CURRENT LIGHTING SOLUTIONS LLC,CURRENT
"ASPEN SURGICAL PRODUCTS, INC.",1598,ASPEN SURGICAL PRODUCTS INC,ASPEN
"GRAPHIC PACKAGING INTERNATIONAL, INC.",1595,GRAPHIC PACKAGING INTERNATIONAL INC,GRAPHIC
SG GAMING INC.,1559,SG GAMING INC,SG
"BRUNSWICK COMMERCIAL & GOVERNMENT PRODUCTS, INC.",1545,BRUNSWICK COMMERCIAL & GOVERNMENT PRODUCTS INC,BRUNSWICK
"DIRECTV, LLC",1538,DIRECTV LLC,DIRECTV
FEDERAL-MOGUL IGNITION COMPANY,1521,FEDERAL-MOGUL IGNITION CO,FEDERALMOGUL
FEDERAL-MOGUL LLC,1521,FEDERAL-MOGUL LLC,FEDERALMOGUL
"FEDERAL-MOGUL PRODUCTS, INC.",1521,FEDERAL-MOGUL PRODUCTS INC,FEDERALMOGUL
"CONEXANT SYSTEMS, INC.",1519,CONEXANT SYSTEMS INC,CONEXANT
"MEMC ELECTRONIC MATERIALS, INC.",1519,MEMC ELECTRONIC MATERIALS INC,MEMC
FINISAR CORPORATION,1501,FINISAR CORP,FINISAR
"KAILIGHT PHOTONICS, INC.",1501,KAILIGHT PHOTONICS INC,KAILIGHT
OPTIUM CORPORATION,1501,OPTIUM CORP,OPTIUM
TIME WARNER CABLE INTERNET LLC,1495,TIME WARNER CABLE INTERNET LLC,TIME
"AVAYA INC., A DELAWARE CORPORATION",1477,AVAYA INC A DELAWARE CORP,AVAYA
ACUSHNET COMPANY,1470,ACUSHNET CO,ACUSHNET
"COADNA PHOTONICS, INC.",1464,COADNA PHOTONICS INC,COADNA
"EPIWORKS, INC.",1464,EPIWORKS INC,EPIWORKS
"II-VI OPTICAL SYSTEMS, INC.",1464,II-VI OPTICAL SYSTEMS INC,IIVI
"II-VI OPTOELECTRONIC DEVICES, INC.",1464,II-VI OPTOELECTRONIC DEVICES INC,IIVI
"LIGHTSMYTH TECHNOLOGIES, INC.",1464,LIGHTSMYTH TECHNOLOGIES INC,LIGHTSMYTH
"MARLOW INDUSTRIES, INC.",1464,MARLOW INDUSTRIES INC,MARLOW
CHRYSLER LLC,1450,CHRYSLER LLC,CHRYSLER
AVAYA TECHNOLOGY CORP.,1426,AVAYA TECHNOLOGY CORP,AVAYA
"COMMVAULT SYSTEMS, INC.",1416,COMMVAULT SYSTEMS INC,COMMVAULT
DISH BROADCASTING CORPORATION,1406,DISH BROADCASTING CORP,DISH
DISH NETWORK L.L.C.,1406,DISH NETWORK LLC,DISH
DISH TECHNOLOGIES L.L.C.,1406,DISH TECHNOLOGIES LLC,DISH
COPELAND LP,1404,COPELAND LP,COPELAND
"BERRY GLOBAL, INC.",1394,BERRY GLOBAL INC,BERRY
SOLUTIA INC.,1392,SOLUTIA INC,SOLUTIA
"LEXMARK INTERNATIONAL, INC.",1379,LEXMARK INTERNATIONAL INC,LEXMARK
DEUTSCHE BANK TRUST COMPANY AMERICAS,1376,DEUTSCHE BANK TRUST CO AMERICAS,DEUTSCHE
"ELECTRICAL RELIABILITY SERVICES, INC.",1375,ELECTRICAL RELIABILITY SERVICES INC,ELECTRICAL
HIGH PRESSURE INTEGRITY INC.,1365,HIGH PRESSURE INTEGRITY INC,HIGH
PRECISION ENERGY SERVICES INC.,1365,PRECISION ENERGY SERVICES INC,PRECISION
WEATHERFORD TECHNOLOGY HOLDINGS LLC,1365,WEATHERFORD TECHNOLOGY HOLDINGS LLC,WEATHERFORD
"ARCSIGHT, LLC",1358,ARCSIGHT LLC,ARCSIGHT
ENTIT SOFTWARE LLC,1358,ENTIT SOFTWARE LLC,ENTIT
"TRITON BOAT COMPANY, L.P.",1353,TRITON BOAT CO LP,TRITON
CHRYSLER GROUP LLC,1349,CHRYSLER GROUP LLC,CHRYSLER
"DIEBOLD NIXDORF, INCORPORATED (F/K/A DIEBOLD, INCORPORATED)",1344,DIEBOLD NIXDORF INC F K A DIEBOLD INC,DIEBOLD
