original_name,frequency,normalized_name
"FEDERAL-MOGUL IGNITION, LLC, AS SUCCESSOR TO FEDERAL-MOGUL IGNITION COMPANY",1521,FEDERAL-MOGUL IGNITION LLC AS SUCCESSOR TO FEDERAL-MOGUL IGNITION CO
"FEDERAL-MOGUL MOTORPARTS LLC, AS SUCCESSOR TO FEDERAL-MOGUL MOTORPARTS CORPORATION",1521,FEDERAL-MOGUL MOTORPARTS LLC AS SUCCESSOR TO FEDERAL-MOGUL MOTORPARTS CORP
"FEDERAL-MOGUL PRODUCTS US, LLC, AS SUCCESSOR TO FEDERAL-MOGUL PRODUCTS, INC.",1521,FEDERAL-MOGUL PRODUCTS US LLC AS SUCCESSOR TO FEDERAL-MOGUL PRODUCTS INC
"FEDERAL-MOGUL WORLD WIDE, INC., AS SUCCESSOR TO FEDERAL-MOGUL WORLD WIDE LLC",1521,FEDERAL-MOGUL WORLD WIDE INC AS SUCCESSOR TO FEDERAL-MOGUL WORLD WIDE LLC
"TENNECO INC., AS SUCCESSOR TO FEDERAL-MOGUL LLC",1521,TENNECO INC AS SUCCESSOR TO FEDERAL-MOGUL LLC
ASHLAND LICENSING AND INTELLECTUAL PROPERTY LLC,1514,ASHLAND LICENSING & INTELLECTUAL PROPERTY LLC
"DTS, INC.",1502,DTS INC
FINISAR CORPORATION,1501,FINISAR CORP
"KAILIGHT PHOTONICS, INC.",1501,KAILIGHT PHOTONICS INC
OPTIUM CORPORATION,1501,OPTIUM CORP
WEBER CITY ROAD LLC,1497,WEBER CITY ROAD LLC
"II-VI DELAWARE, INC.",1484,II-VI DELAWARE INC
"HOLOGIC, INC.",1472,HOLOGIC INC
"BIOLUCENT, LLC",1470,BIOLUCENT LLC
CYTYC CORPORATION,1470,CYTYC CORP
"SUROS SURGICAL SYSTEMS, INC.",1470,SUROS SURGICAL SYSTEMS INC
"THIRD WAVE TECHNOLOGIES, INC.",1470,THIRD WAVE TECHNOLOGIES INC
"MICRO POWER ELECTRONICS, INC.",1467,MICRO POWER ELECTRONICS INC
"ELECTROCHEM SOLUTIONS, INC.",1466,ELECTROCHEM SOLUTIONS INC
"NEURONEXUS TECHNOLOGIES, INC.",1466,NEURONEXUS TECHNOLOGIES INC
"COADNA PHOTONICS, INC.",1464,COADNA PHOTONICS INC
"EPIWORKS, INC.",1464,EPIWORKS INC
II-VI INCORPORATED,1464,II-VI INC
"II-VI OPTICAL SYSTEMS, INC.",1464,II-VI OPTICAL SYSTEMS INC
"II-VI OPTOELECTRONIC DEVICES, INC.",1464,II-VI OPTOELECTRONIC DEVICES INC
"II-VI PHOTONICS (US), INC.",1464,II-VI PHOTONICS US INC
"LIGHTSMYTH TECHNOLOGIES, INC.",1464,LIGHTSMYTH TECHNOLOGIES INC
"M CUBED TECHNOLOGIES, INC.",1464,M CUBED TECHNOLOGIES INC
"MARLOW INDUSTRIES, INC.",1464,MARLOW INDUSTRIES INC
"PHOTOP TECHNOLOGIES, INC.",1464,PHOTOP TECHNOLOGIES INC
CHRYSLER LLC,1456,CHRYSLER LLC
"PHORUS, INC.",1456,PHORUS INC
"CONEXANT SYSTEMS, INC.",1445,CONEXANT SYSTEMS INC
"MAXLINEAR, INC.",1413,MAXLINEAR INC
"AVAYA, INC.",1409,AVAYA INC
"VERITAS US IP HOLDINGS, LLC",1406,VERITAS US IP HOLDINGS LLC
"RIVERBED TECHNOLOGY, INC.",1400,RIVERBED TECHNOLOGY INC
SIERRA HOLDINGS CORP.,1400,SIERRA HOLDINGS CORP
DON BEST SPORTS CORPORATION,1367,DON BEST SPORTS CORP
WEATHERFORD CANADA LTD.,1362,WEATHERFORD CANADA LTD
MICRO FOCUS LLC (F/K/A ENTIT SOFTWARE LLC),1358,MICRO FOCUS LLC F K A ENTIT SOFTWARE LLC
EXAR CORPORATION,1357,EXAR CORP
BECK ARNLEY HOLDINGS LLC,1356,BECK ARNLEY HOLDINGS LLC
CARTER AUTOMOTIVE COMPANY LLC,1356,CARTER AUTOMOTIVE CO LLC
F-M MOTORPARTS TSC LLC,1356,F-M MOTORPARTS TSC LLC
F-M TSC REAL ESTATE HOLDINGS LLC,1356,F-M TSC REAL ESTATE HOLDINGS LLC
FEDERAL-MOGUL FILTRATION LLC,1356,FEDERAL-MOGUL FILTRATION LLC
FEDERAL-MOGUL FINANCING CORPORATION,1356,FEDERAL-MOGUL FINANCING CORP
"FEDERAL-MOGUL PISTON RINGS, LLC",1356,FEDERAL-MOGUL PISTON RINGS LLC
FEDERAL-MOGUL POWERTRAIN IP LLC,1356,FEDERAL-MOGUL POWERTRAIN IP LLC
"FEDERAL-MOGUL SEVIERVILLE, LLC",1356,FEDERAL-MOGUL SEVIERVILLE LLC
FEDERAL-MOGUL VALVE TRAIN INTERNATIONAL LLC,1356,FEDERAL-MOGUL VALVE TRAIN INTERNATIONAL LLC
FELT PRODUCTS MFG. CO. LLC,1356,FELT PRODUCTS MFG CO LLC
MUZZY-LYON AUTO PARTS LLC,1356,MUZZY-LYONAUTO PARTS LLC
ATTWOOD CORPORATION,1342,ATTWOOD CORP
BRUNSWICK FAMILY BOAT CO. INC.,1342,BRUNSWICK FAMILY BOAT CO INC
"LAND 'N' SEA DISTRIBUTING, INC.",1342,LAND N SEA DISTRIBUTING INC
NALCO COMPANY,1329,NALCO CO
BAUSCH & LOMB INCORPORATED,1328,BAUSCH & LOMB INC
"BIOLAB FRANCHISE COMPANY, LLC",1321,BIOLAB FRANCHISE CO LLC
"CAAS TECHNOLOGIES, LLC",1321,CAAS TECHNOLOGIES LLC
"HYPERQUALITY II, LLC",1321,HYPERQUALITY II LLC
"HYPERQUALITY, INC.",1321,HYPERQUALITY INC
"ZANG, INC. (FORMER NAME OF AVAYA CLOUD INC.)",1321,ZANG INC FORMER NAME OF AVAYA CLOUD INC
ALLIANT TECHSYSTEMS INC.,1319,ALLIANT TECHSYSTEMS INC
AVAYA HOLDINGS CORP.,1316,AVAYA HOLDINGS CORP
FEDERAL-MOGUL IGNITION COMPANY,1316,FEDERAL-MOGUL IGNITION CO
"AVAYA TECHNOLOGY, LLC",1306,AVAYA TECHNOLOGY LLC
"ADVANCED TECHNOLOGY MATERIALS, INC.",1300,ADVANCED TECHNOLOGY MATERIALS INC
"ATMI PACKAGING, INC.",1300,ATMI PACKAGING INC
"ATMI, INC.",1300,ATMI INC
"POCO GRAPHITE, INC.",1300,POCO GRAPHITE INC
MAXLINEAR COMMUNICATIONS LLC,1297,MAXLINEAR COMMUNICATIONS LLC
"FEDERAL-MOGUL PRODUCTS, INC.",1287,FEDERAL-MOGUL PRODUCTS INC
CROMPTON HOLDING CORPORATION,1281,CROMPTON HOLDING CORP
FEDERAL MOGUL POWERTRAIN LLC,1281,FEDERAL MOGUL POWERTRAIN LLC
FEDERAL-MOGUL LLC,1281,FEDERAL-MOGUL LLC
"GREAT LAKES CHEMICAL GLOBAL, INC.",1281,GREAT LAKES CHEMICAL GLOBAL INC
"GT SEED TREATMENT, INC.",1281,GT SEED TREATMENT INC
"LAUREL INDUSTRIES HOLDINGS, INC.",1281,LAUREL INDUSTRIES HOLDINGS INC
"EAGLE INDUSTRIES UNLIMITED, INC.",1261,EAGLE INDUSTRIES UNLTD INC
PRECIMED INC.,1230,PRECIMED INC
"GREATBATCH, INC.",1210,GREATBATCH INC
"GREATBATCH-GLOBE TOOL, INC.",1210,GREATBATCH-GLOBE TOOL INC
SOLUTIA INC.,1190,SOLUTIA INC
DTS LLC,1185,DTS LLC
FOTONATION CORPORATION (F/K/A DIGITALOPTICS CORPORATION AND F/K/A DIGITALOPTICS CORPORATION MEMS),1185,FOTONATION CORP F K A DIGITALOPTICS CORPORATIONAND F K A DIGITALOPTICS CORP MEMS
"INVENSAS BONDING TECHNOLOGIES, INC. (F/K/A ZIPTRONIX, INC.)",1185,INVENSAS BONDING TECHNOLOGIES INC F K A ZIPTRONIX INC
INVENSAS CORPORATION,1185,INVENSAS CORP
"TESSERA ADVANCED TECHNOLOGIES, INC",1185,TESSERA ADVANCED TECHNOLOGIES INC
"TESSERA, INC.",1185,TESSERA INC
"ASPECT SOFTWARE, INC.",1163,ASPECT SOFTWARE INC
INVACARE CORPORATION,1161,INVACARE CORP
"LINKPOINT INTERNATIONAL, INC.",1157,LINKPOINT INTERNATIONAL INC
"SIZE TECHNOLOGIES, INC.",1157,SIZE TECHNOLOGIES INC
"TASQ TECHNOLOGY, INC.",1157,TASQ TECHNOLOGY INC
"TELECHECK INTERNATIONAL, INC.",1157,TELECHECK INTERNATIONAL INC
LATTICE SEMICONDUCTOR CORPORATION,1151,LATTICE SEMICONDUCTOR CORP
PROVENANCE ASSET GROUP HOLDINGS LLC,1147,PROVENANCE ASSET GROUP HOLDINGS LLC
PROVENANCE ASSET GROUP LLC,1135,PROVENANCE ASSET GROUP LLC
MAXAR INTELLIGENCE INC.,1127,MAXAR INTELLIGENCE INC
MAXAR SPACE LLC,1127,MAXAR SPACE LLC
"HARMAN INTERNATIONAL INDUSTRIES, INCORPORATED",1124,HARMAN INTERNATIONAL INDUSTRIES INC
CONVERSANT INTELLECTUAL PROPERTY MANAGEMENT INC.,1114,CONVERSANT INTELLECTUAL PROPERTY MANAGEMENT INC
HARMAN BECKER AUTOMOTIVE SYSTEMS GMBH,1114,HARMAN BECKER AUTOMOTIVE SYSTEMS GMBH
"OWENS-CORNING FIBERGLAS CORPORATION, A CORP. OF DE.",1108,OWENS-CORNING FIBERGLAS CORP A CORP OF DE
MOTORS LIQUIDATION COMPANY (F/K/A GENERAL MOTORS CORPORATION),1092,MOTORS LIQUIDATION CO F K A GENERAL MOTORS CORP
SABIC INNOVATIVE PLASTICS IP B.V.,1091,SABIC INNOVATIVE PLASTICS IP BV
"DVDO, INC.",1069,DVDO INC
"SILICON IMAGE, INC.",1069,SILICON IMAGE INC
"SIBEAM, INC.",1067,SIBEAM INC
