original_name,frequency,normalized_name
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH",13082,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH
"CITICORP NORTH AMERICA, INC., AS AGENT",13068,CITICORP NORTH AMERICA INC
"JPMORGAN CHASE BANK, AS COLLATERAL AGENT",12661,JP MORGAN CHASE BANK
"DEUTSCHE BANK TRUST COMPANY AMERICAS, AS ADMINISTRATIVE AGENT",12398,DEUTSCHE BANK TRUST CO AMERICAS
GOLDMAN SACHS BANK USA,12333,GOLDMAN SACHS BANK USA
WELLS FARGO BANK NATIONAL ASSOCIATION AS AGENT,12285,WELLS FARGO BANK NATIONAL ASSOCIATIONAS AGENT
"BARCLAYS BANK PLC, AS COLLATERAL AGENT",11913,BARCLAYS BANK PLC
CREDIT SUISSE,11847,CREDIT SUISSE
"PNC BANK, NATIONAL ASSOCIATION",11243,PNC BANK NA
"GOLDMAN SACHS BANK USA, AS ADMINISTRATIVE AGENT AND COLLATERAL AGENT",11215,GOLDMAN SACHS BANK USA & COLLATERAL AGENT
SILICON VALLEY BANK,10911,SILICON VALLEY BANK
U.S. BANK NATIONAL ASSOCIATION,10558,US BANK NA
"BANK OF AMERICAN, N.A. AS COLLATERAL AGENT",10322,BANK OF AMERICAN NA
"CORTLAND CAPITAL MARKET SERVICES LLC, AS COLLATERAL AGENT",10246,CORTLAND CAPITAL MARKET SERVICES LLC
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS AGENT",9801,WILMINGTON TRUST NA
"CITIBANK, N.A., AS NOTES COLLATERAL AGENT",9716,CITIBANK NA
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS NOTES COLLATERAL AGENT",9564,WILMINGTON TRUST NA
"BANK ONE, NA, AS ADMINISTRATIVE AGENT",9039,BANK ONE NA
"HPS INVESTMENT PARTNERS, LLC, AS COLLATERAL AGENT",8698,HPS INVESTMENT PARTNERS LLC
"BANK OF AMERICA, N.A., AS AGENT",8545,BANK OF AMERICA NA
"GENERAL ELECTRIC CAPITAL CORPORATION, AS AGENT",8402,GENERAL ELECTRIC CAPITAL CORP
DEUTSCHE BANK AG NEW YORK BRANCH,8176,DEUTSCHE BANK AG NEW YORK BRANCH
UAW RETIREE MEDICAL BENEFITS TRUST,8001,UAW RETIREE MEDICAL BENEFITS TRUST
"WILMINGTON TRUST COMPANY, AS COLLATERAL AGENT",7517,WILMINGTON TRUST CO
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS COLLATERAL TRUSTEE",7491,BANK OF NEW YORK MELLON TRUST CO NA
GENERAL ELECTRIC CAPITAL CORPORATION,6978,GENERAL ELECTRIC CAPITAL CORP
JEFFERIES FINANCE LLC,6931,JEFFERIES FINANCE LLC
"MORGAN STANLEY SENIOR FUNDING, INC. AS THE COLLATERAL AGENT",6760,MORGAN STANLEY SENIOR FUNDING INC
"JPMORGAN CHASE BANK,N.A,AS ADMINISTRATIVE AGENT",6734,JP MORGAN CHASE BANK NA
"JPMORGAN CHASE BANK, N.A. AS ADMINISTRATIVE AGENT",6596,JP MORGAN CHASE BANK NA
"CITICORP USA, INC. AS AGENT FOR BANK PRIORITY SECURED PARTIES",6594,CITICORP USA INC FOR BANK PRIORITY SECURED PARTIES
"CITICORP USA, INC. AS AGENT FOR HEDGE PRIORITY SECURED PARTIES",6594,CITICORP USA INC FOR HEDGE PRIORITY SECURED PARTIES
"THE BANK OF NEW YORK MELLON, AS COLLATERAL AGENT",6400,BANK OF NEW YORK MELLON
ALTER DOMUS (US) LLC,6311,ALTER DOMUS US LLC
"JPMORGAN CHASE BANK, N.A., AS AGENT",5757,JP MORGAN CHASE BANK NA
"BANK OF AMERICA, N. A.",5602,BANK OF AMERICA NA
"JEFFERIES FINANCE LLC, AS COLLATERAL AGENT",5426,JEFFERIES FINANCE LLC
"CITICORP USA, INC., AS ADMINISTRATIVE AGENT",5340,CITICORP USA INC
"CITIBANK, N.A., AS AGENT",5202,CITIBANK NA
MANUFACTURERS AND TRADERS TRUST COMPANY,5163,MANUFACTURERS & TRADERS TRUST CO
ROYAL BANK OF CANADA,5154,ROYAL BANK OF CANADA
"THE BANK OF NOVA SCOTIA, AS ADMINISTRATIVE AGENT",5004,BANK OF NOVA SCOTIA
BANKERS TRUST COMPANY,4988,BANKERS TRUST CO
"BANK OF AMERICA, N.A, AS COLLATERAL AGENT",4800,BANK OF AMERICA NA
"JPMORGAN CHASE BANK, N.A., AS ADMINISTRATIVE AGENT AND FIRST PRIORITY REPRESENTATIVE",4773,JP MORGAN CHASE BANK NA & FIRST PRIORITY REPRESENTATIVE
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS COLLATERAL AGENT AND SECOND PRIORITY REPRESENTATIVE",4773,WELLS FARGO BANK NA & SECOND PRIORITY REPRESENTATIVE
"TRUIST BANK, AS NOTES COLLATERAL AGENT",4470,TRUIST BANK
"WILMINGTON SAVINGS FUND SOCIETY, FSB [COLLATERAL AGENT]",4280,WILMINGTON SAVINGS FUND SOCIETY FSB COLLATERAL AGENT
"JPMORGAN CHASE BANK, N.A., AS THE ADMINISTRATIVE AGENT",4259,JP MORGAN CHASE BANK NA
"U.S. BANK, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",4224,US BANK NA
"THE BANK OF NEW YORK MELLON, AS NOTES COLLATERAL AGENT",4200,BANK OF NEW YORK MELLON
JPMORGAN CHASE BANK,4188,JP MORGAN CHASE BANK
CREDIT SUISSE AG,4185,CREDIT SUISSE AG
"GACP FINANCE CO., LLC",4049,GACP FINANCE CO LLC
"CREDIT SUISSE, CAYMAN ISLANDS BRANCH, AS COLLATERAL AGENT",3988,CREDIT SUISSE CAYMAN ISLANDS BRANCH
BANK OF AMERICA NATIONAL TRUST AND SAVINGS ASSOCIATION,3948,BANK OF AMERICA NATIONAL TRUST & SAVINGS ASSOCIATION
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A.,",3927,BANK OF NEW YORK MELLON TRUST CO NA
"UBS AG, STAMFORD BRANCH, AS COLLATERAL AGENT",3907,UBS AG STAMFORD BRANCH
"GLAS AMERICAS LLC, AS THE SUCCESSOR AGENT",3840,GLAS AMERICAS LLC AS THE SUCCESSOR AGENT
"MORGAN GUARANTY TRUST COMPANY OF NEW YORK, AND MORGAN BANK ( DELAWARE ) AS COLLATERAL ( AGENTS ) SEE RECORD FOR THE REMAINING ASSIGNEES.",3820,MORGAN GUARANTY TRUST CO OF NEW YORK & MORGAN BANK DELAWARE S SEE RECORD FOR THE REMAINING ASSIGNEES
"THE CHASE MANHATTAN BANK, AS COLLATERAL AGENT",3767,CHASE MANHATTAN BANK
"U.S. BANK TRUST COMPANY, NATIONAL ASSOCIATION",3551,US BANK TRUST CO NA
"JPMORGAN, N.A.",3520,JP MORGAN NA
"CAPITAL ONE, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",3449,CAPITAL ONE NA
"WELLS FARGO TRUST COMPANY, N.A.",3404,WELLS FARGO TRUST CO NA
"ALLY BANK, AS COLLATERAL AGENT",3344,ALLY BANK
"CITIZENS BANK, N.A.",3225,CITIZENS BANK NA
"CREDIT SUISSE FIRST BOSTON, AS COLLATERAL AGENT",3133,CREDIT SUISSE FIRST BOSTON
"DEUTSCHE BANK TRUST COMPANY AMERICAS, AS COLLATERAL TRUSTEE",3093,DEUTSCHE BANK TRUST CO AMERICAS
"ATLANTIC PARK STRATEGIC CAPITAL FUND, L.P., AS COLLATERAL AGENT",3038,ATLANTIC PARK STRATEGIC CAPITAL FUND LP
"WELLS FARGO CAPITAL FINANCE, LLC, AS AGENT",3034,WELLS FARGO CAPITAL FINANCE LLC
CREDIT SUISSE FIRST BOSTON,2918,CREDIT SUISSE FIRST BOSTON
"JPMORGAN CHASE BANK, N.A., AS ADMINISTRATIVE AGENT AND COLLATERAL AGENT",2842,JP MORGAN CHASE BANK NA & COLLATERAL AGENT
"BANK OF AMERICA, N.A. AS ADMINISTRATIVE AGENT",2753,BANK OF AMERICA NA
"ROYAL BANK OF CANADA, AS THE COLLATERAL AGENT",2718,ROYAL BANK OF CANADA
"HSBC BANK USA, NATIONAL ASSOCIATION",2669,HSBC BANK USA NA
"OT PATENT ESCROW, LLC",2526,OT PATENT ESCROW LLC
"BANK OF AMERICA, N.A., AS ADMINISTRATIVE AGENT FOR THE SECURED PARTIES",2418,BANK OF AMERICA NA FOR THE SECURED PARTIES
"BANK OF NEW YORK MELLON TRUST COMPANY, N.A., THE",2361,BANK OF NEW YORK MELLON TRUST CO NA
THE BANK OF NEW YORK MELLON,2344,BANK OF NEW YORK MELLON
"CITIBANK N.A., AS ADMINISTRATIVE AGENT",2292,CITIBANK NA
"LEHMAN COMMERCIAL PAPER INC., AS COLLATERAL AGENT",2234,LEHMAN COMMERCIAL PAPER INC
"COMERICA BANK, AS AGENT",2167,COMERICA BANK
"GLAS AMERICAS LLC, AS COLLATERAL AGENT",2131,GLAS AMERICAS LLC
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS SECOND LIEN AGENT",2100,BANK OF NEW YORK MELLON TRUST CO NA AS SECOND LIENAGENT
"WELLS FARGO FOOTHILL, INC.",2022,WELLS FARGO FOOTHILL INC
"SILICON VALLEY BANK, AS ADMINISTRATIVE AGENT",1998,SILICON VALLEY BANK
"PNC BANK, NATIONAL ASSOCIATION, AS AGENT",1992,PNC BANK NA
"BANK OF NEW YORK, THE",1925,BANK OF NEW YORK
FOOTHILL CAPITAL CORPORATION,1921,FOOTHILL CAPITAL CORP
"WACHOVIA CAPITAL FINANCE CORPORATION (CENTRAL), AS ADMINISTRATIVE AGENT",1921,WACHOVIA CAPITAL FINANCE CORP CENTRAL
"CERBERUS BUSINESS FINANCE, LLC, AS COLLATERAL AGENT",1909,CERBERUS BUSINESS FINANCE LLC
"BANK OF AMERICA, N.A. AS COLLATERAL AGENT",1759,BANK OF AMERICA NA
"HSBC BANK USA, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",1726,HSBC BANK USA NA
MACQUARIE US TRADING LLC,1701,MACQUARIE US TRADING LLC
"GOLDMAN SACHS LENDING PARTNERS LLC, AS COLLATERAL AGENT",1698,GOLDMAN SACHS LENDING PARTNERS LLC
"SIXTH STREET LENDING PARTNERS, AS ADMINISTRATIVE AGENT",1689,SIXTH STREET LENDING PARTNERS
"CREDIT SUISSE, CAYMAN ISLANDS BRANCH, AS ADMINISTRATIVE AGENT",1685,CREDIT SUISSE CAYMAN ISLANDS BRANCH
"BANK OF NOVA SCOTIA, THE",1679,BANK OF NOVA SCOTIA
"MIDCAP FINANCIAL TRUST, AS AGENT",1614,MIDCAP FINANCIAL TRUST
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS AGENT",1612,WELLS FARGO BANK NA
"BANK OF NEW YORK MELLON TRUST COMPANY, N.A.",1588,BANK OF NEW YORK MELLON TRUST CO NA
"MUFG UNION BANK, N.A.",1553,MUFG UNION BANK NA
BANK OF AMERICA N.A.,1551,BANK OF AMERICA NA
"BANK OFAMERICA, N.A., AS COLLATERAL AGENT",1530,BANK OFAMERICA NA
"CHASE MANHATTAN BANK, THE",1492,CHASE MANHATTAN BANK
"FIRST UNION NATIONAL BANK, AS ADMINISTRATIVE AGENT",1489,FIRST UNION NATIONAL BANK
"BANK OF NEW YORK MELLON TRUST, NA, AS NOTES COLLATERAL AGENT, THE",1477,BANK OF NEW YORK MELLON TRUST NA
"OMEGA CREDIT OPPORTUNITIES MASTER FUND, LP",1410,OMEGA CREDIT OPPORTUNITIES MASTER FUND LP
"ALTER DOMUS (US) LLC, AS COLLATERAL AGENT",1402,ALTER DOMUS US LLC
BANK OF MONTREAL,1390,BANK OF MONTREAL
"WELLS FARGO BANK, N.A.",1376,WELLS FARGO BANK NA
"WILMINGTON TRUST FSB, AS ADMINISTRATIVE AGENT",1374,WILMINGTON TRUST FSB
"MORGAN STANLEY & CO. INCORPORATED, AS FACILITY COLLATERAL AGENT",1362,MORGAN STANLEY & CO INC AS FACILITY COLLATERAL AGENT
"THE BANK OF NEW YORK, MELLON TRUST COMPANY, N.A.",1352,BANK OF NEW YORK MELLON TRUST CO NA
"CHINA CITIC BANK CORPORATION LIMITED, GUANGZHOU BRANCH, AS COLLATERAL AGENT",1349,CHINA CITIC BANK CORP LTD GUANGZHOU BRANCH
"WILMINGTON TRUST FSB, AS COLLATERAL AGENT",1327,WILMINGTON TRUST FSB
"BANK OF NOVA SCOTIA, THE, AS COLLATERAL AGENT",1320,BANK OF NOVA SCOTIA
"MORGAN STANLEY SENIOR FUNDING, INC. AS ADMINISTRATIVE AGENT",1314,MORGAN STANLEY SENIOR FUNDING INC
"GENERAL ELECTRIC CAPITAL CORPORATION, AS COLLATERAL AGENT",1304,GENERAL ELECTRIC CAPITAL CORP
U.S. BANK TRUSTEES LIMITED,1281,US BANK TRUSTEES LTD
"EUAGORE, LLC",1275,EUAGORE LLC
"FIRST NATIONAL BANK OF CHICAGO, THE",1262,FIRST NATIONAL BANK OF CHICAGO
"OT WSOU TERRIER HOLDINGS, LLC",1254,OT WSOU TERRIER HOLDINGS LLC
JP MORGAN CHASE BANK,1236,JP MORGAN CHASE BANK
BANK OF AMERICA,1231,BANK OF AMERICA
"WELLS FARGO FOOTHILL, LLC, AS AGENT",1222,WELLS FARGO FOOTHILL LLC
"INTERNATIONAL GAME TECHNOLOGY, AS AGENT",1214,INTERNATIONAL GAME TECHNOLOGY
"PRIVATE EQUITY MANAGEMENT GROUP FINANCIAL CORPORATION, AS ADMINISTRATIVE AGENT",1214,PRIVATE EQUITY MANAGEMENT GROUP FINANCIAL CORP
"BANK OF MONTREAL, AS COLLATERAL AGENT",1210,BANK OF MONTREAL
"CORTLAND CAPITAL MARKET SERVICES, LLC",1207,CORTLAND CAPITAL MARKET SERVICES LLC
MIDCAP FINANCIAL TRUST,1181,MIDCAP FINANCIAL TRUST
"KEYBANK NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",1178,KEYBANK NA
"BANKERS TRUST COMPANY, AS ADMINISTRATIVE AGENT",1174,BANKERS TRUST CO
NOKIA USA INC.,1168,NOKIA USA INC
"WACHOVIA BANK, NATIONAL ASSOCIATION",1166,WACHOVIA BANK NA
"THE BANK OF NEW YORK TRUST COMPANY, N.A.",1155,BANK OF NEW YORK TRUST CO NA
"GENERAL ELECTRIC CAPITAL CANADA, INC.",1122,GENERAL ELECTRIC CAPITAL CANADA INC
"WELLS FARGO CAPITAL FINANCE, LLC, AS ADMINISTRATIVE AGENT",1105,WELLS FARGO CAPITAL FINANCE LLC
"UBS AG, STAMFORD BRANCH",1097,UBS AG STAMFORD BRANCH
"JPMORGAN CHASE BANK, N.A., AS GENERAL ADMINISTRATIVE AGENT",1084,JP MORGAN CHASE BANK NA AS GENERAL ADMINISTRATIVE AGENT
"BANK OF AMERICA, N.A.,AS COLLATERAL AGENT",1080,BANK OF AMERICA NA
"BELL NORTHERN RESEARCH, LLC",1064,BELL NORTHERN RESEARCH LLC
"BELL SEMICONDUCTOR, LLC",1064,BELL SEMICONDUCTOR LLC
"HILCO PATENT ACQUISITION 56, LLC",1064,HILCO PATENT ACQUISITION 56 LLC
"DBD CREDIT FUNDING LLC, AS COLLATERAL AGENT",1061,DBD CREDIT FUNDING LLC
"WELLS FARGO FOOTHILL, LLC",1061,WELLS FARGO FOOTHILL LLC
"ABLECO FINANCE LLC, AS COLLATERAL AGENT",1052,ABLECO FINANCE LLC
"GOLDMAN SACHS CREDIT PARTNERS L.P., AS COLLATERAL AGENT",1050,GOLDMAN SACHS CREDIT PARTNERS LP
"WELLS FARGO FOOTHILL, LLC AS AGENT",1044,WELLS FARGO FOOTHILL LLC
"JP MORGAN CHASE BANK, N.A.",1042,JP MORGAN CHASE BANK NA
"U.S. BANK TRUST COMPANY, NATIONAL ASSOCIATION, AS NOTES COLLATERAL AGENT",1030,US BANK TRUST CO NA
AVAYA LLC,1028,AVAYA LLC
"SILICON VALLEY BANK, AGENT",1015,SILICON VALLEY BANK AGENT
"ANTARES CAPITAL LP, AS AGENT",1008,ANTARES CAPITAL LP
"CHASE MANHATTAN BANK, AS ADMINISTRATIVE AGENT",995,CHASE MANHATTAN BANK
"LASALLE BUSINESS CREDIT, INC., AS COLLATERAL AGENT",988,LASALLE BUSINESS CREDIT INC
TELECOM HOLDING PARENT LLC,984,TELECOM HOLDING PARENT LLC
"THE BANK OF NEW YORK MELLON, AS ADMINISTRATIVE AGENT",983,BANK OF NEW YORK MELLON
"JPMORGAN CHASE BANK, AS ADMINISTRATIVE AGENT",980,JP MORGAN CHASE BANK
"GLAS TRUST CORPORATION LIMITED, AS COLLATERAL AGENT",978,GLAS TRUST CORP LTD
CHEMICAL BANK,977,CHEMICAL BANK
LIGHTSHIP CAPITAL LLC,973,LIGHTSHIP CAPITAL LLC
"CREDIT SUISSE, AS COLLATERAL AGENT",972,CREDIT SUISSE
"UMB BANK, N.A., AS COLLATERAL AGENT",956,UMB BANK NA
"CITICORP NORTH AMERICA, INC., AS COLLATERAL AGENT",955,CITICORP NORTH AMERICA INC
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS COLLATERAL TRUSTEE",944,WELLS FARGO BANK NA
ARES CAPITAL CORPORATION,941,ARES CAPITAL CORP
"CIT GROUP/BUSINESS CREDIT, INC., THE",939,CIT GROUP BUSINESS CREDIT INC
"SILVER POINT FINANCE, LLC",930,SILVER POINT FINANCE LLC
"CHASE MANHATTAN BANK, AS COLLATERAL AGENT, THE",926,CHASE MANHATTAN BANK
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A. AS COLLATERAL AGENT",909,BANK OF NEW YORK MELLON TRUST CO NA
"FLEET CAPITAL CORPORATION, AS AGENT",907,FLEET CAPITAL CORP
MIDCAP FUNDING IV TRUST,890,MIDCAP FUNDING IV TRUST
"CITIBANK., N.A., AS ADMINISTRATIVE AGENT",888,CITIBANK NA
"CHASE MANHATTAN BANK, AS ADMINISTRATIVE AGENT, THE",885,CHASE MANHATTAN BANK
"LEHMAN COMMERCIAL PAPER INC., AS ADMINISTRATIVE AGENT",880,LEHMAN COMMERCIAL PAPER INC
"MORGAN STANLEY & CO., INCORPORATED",869,MORGAN STANLEY & CO INC
BIOPHARMA CREDIT PLC,865,BIOPHARMA CREDIT PLC
"CITICORP NORTH AMERICA, INC., AS ""AGENT""",865,CITICORP NORTH AMERICA INC
"BOKF, NA, AS SUCCESSOR COLLATERAL AGENT",862,BOKF NA
"WACHOVIA BANK, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",856,WACHOVIA BANK NA
SUNTRUST BANK,846,SUNTRUST BANK
MORGAN GUARANTY TRUST COMPANY OF NEW YORK,832,MORGAN GUARANTY TRUST CO OF NEW YORK
TRUIST BANK,831,TRUIST BANK
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS COLLATERAL TRUSTEE",819,WILMINGTON TRUST NA
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH, AS ADMINISTRATIVE AGENT",805,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH
"CITIBANK, N.A., AS ADMINISTRATIVE AGENT AND COLLATERAL AGENT",803,CITIBANK NA & COLLATERAL AGENT
"WILMINGTON TRUST, NATIONAL ASSOCIATION, - AS NOTES COLLATERAL AGENT",801,WILMINGTON TRUST NA -
"WACHOVIA BANK, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",789,WACHOVIA BANK NA
"ABLECO FINANCE LLC, AS AGENT",788,ABLECO FINANCE LLC
"MORGAN STANLEY SENIOR FUNDING, INC., AS ADMINISTRATIVE AGENT",769,MORGAN STANLEY SENIOR FUNDING INC
"DEUTSCHE BANK TRUST COMPANY AMERICAS, AS SECOND LIEN ADMINISTRATIVE AGENT",768,DEUTSCHE BANK TRUST CO AMERICAS AS SECOND LIENADMINISTRATIVE AGENT
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS CO-COLLATERAL TRUSTEE, SUCCESSOR COLLATERAL TRUSTEE",758,WILMINGTON TRUST NA AS CO-COLLATERAL TRUSTEE SUCCESSOR COLLATERAL TRUSTEE
BARCLAYS BANK PLC AS ADMINISTRATIVE AGENT,743,BARCLAYS BANK PLC
MACQUARIE CAF LLC,735,MACQUARIE CAF LLC
"BANK OF AMERICA, N.A., AS COLLATERAL TRUSTEE",729,BANK OF AMERICA NA
"MACQUARIE CAPITAL FUNDING LLC, AS COLLATERAL AGENT",723,MACQUARIE CAPITAL FUNDING LLC
"CONEXANT SYSTEMS, INC.",722,CONEXANT SYSTEMS INC
KEYBANK NATIONAL ASSOCIATION,721,KEYBANK NA
ABLECO FINANCE LLC,711,ABLECO FINANCE LLC
"SUNTRUST BANK, AS ADMINISTRATIVE AGENT",708,SUNTRUST BANK
FGI WORLDWIDE LLC,697,FGI WORLDWIDE LLC
"U.S. BANK NATIONAL ASSOCIATION, AS AGENT",665,US BANK NA
GOLDMAN SACHS CREDIT PARTNERS L.P.,662,GOLDMAN SACHS CREDIT PARTNERS LP
"CITICORP USA, INC. (AS ADMINISTRATIVE AGENT)",660,CITICORP USA INC
"CREDIT SUISSE, AG, CAYMAN ISLANDS BRANCH, AS COLLATERAL AGENT",652,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH
"JPMORGAN CHASE BANK, N.A., AS SUCCESSOR ADMINISTRATIVE AGENT",650,JP MORGAN CHASE BANK NA
"ROYL BANK OF CANADA, AS COLLATERAL AGENT",650,ROYL BANK OF CANADA
COMERICA BANK,632,COMERICA BANK
"CITICORP NORTH AMERICA, INC. AS ADMINISTRATIVE AGENT",625,CITICORP NORTH AMERICA INC
CANADIAN IMPERIAL BANK OF COMMERCE,622,CANADIAN IMPERIAL BANK OF COMMERCE
"BP FUNDING TRUST, SERIES SPL-VI",618,BP FUNDING TRUST SERIES SPL-VI
NATIONAL CITY BANK,608,NATIONAL CITY BANK
"CITIBANK, N.A,, AS ADMINISTRATIVE AGENT",606,CITIBANK NA
MACQUARIE CAPITAL FUNDING LLC,601,MACQUARIE CAPITAL FUNDING LLC
"BARCLAYS BANK PLC, AS AGENT",596,BARCLAYS BANK PLC
"CREDIT SUISSE, AS ADMINISTRATIVE AGENT",590,CREDIT SUISSE
ITT COMMERICAL FINANCE CORP. AS COLLATERAL AGENT,588,ITT COMMERICAL FINANCE CORP
"TPG SPECIALTY LENDING, INC., AS COLLATERAL AGENT",585,TPG SPECIALTY LENDING INC
"CHASE MANHATTAN BANK, THE, AS COLLATERAL AGENT",572,CHASE MANHATTAN BANK
"GREAT ROCK CAPITAL MANAGEMENT, LLC",570,GREAT ROCK CAPITAL MANAGEMENT LLC
"CITICORP NORTH AMERICA, INC. AS ""AGENT""",568,CITICORP NORTH AMERICA INC
"NBD BANK, N.A.",560,NBD BANK NA
"U.S. BANK, NATIONAL ASSOCIATION",560,US BANK NA
"GENERAL ELECTRIC CAPITAL CORPORATION, AS ADMINISTRATIVE AGENT",554,GENERAL ELECTRIC CAPITAL CORP
"OBSIDIAN, LLC",551,OBSIDIAN LLC
