ee_name,freq,entity_id,standard_name
"DELL MARKETING CORPORATION (SUCCESSOR-IN-INTEREST TO FORCE10 NETWORKS, INC. AND WYSE TECHNOLOGY L.L.C.)",16349,non_financial_1003,DELL MARKETING
"DELL MARKETING L.P. (ON BEHALF OF ITSELF AND AS SUCCESSOR-IN-INTEREST TO CREDANT TECHNOLOGIES, INC.)",16349,non_financial_1003,DELL MARKETING
EMC CORPORATION (ON BEHALF OF ITSELF AND AS SUCCESSOR-IN-INTEREST TO MAGINATICS LLC),16349,non_financial_18713,EMC CORP ON BEHALF OF ITSELF & AS SUCCESSOR-IN-INTEREST TO MAGINATICS LLC
MICROCHIP TECHNOLOGY INCORPORATED,16271,non_financial_2180,MICROCHIP TECHNOLOGY
EMC IP HOLDING COMPANY LLC,15328,non_financial_1163,EMC IP HOLDING CO LLC
"MICRON SEMICONDUCTOR PRODUCTS, INC.",15278,non_financial_12141,MICRON SEMICONDUCTOR PRODUCTS INC
EMC CORPORATION,15009,non_financial_18712,EMC CORP
FAR EAST DEVELOPMENT LTD.,14448,non_financial_1276,FAR EAST DEVELOPMENT
XEROX CORPORATION,12142,non_financial_18113,XEROX CORP
LASER PACIFIC MEDIA CORPORATION,11888,non_financial_1958,LASER PACIFIC MEDIA CORP
GLOBALFOUNDRIES U.S. INC.,11752,non_financial_1446,GLOBALFOUNDRIES
AVAGO TECHNOLOGIES GENERAL IP (SINGAPORE) PTE. LTD.,11476,non_financial_393,AVAGO TECHNOLOGIES GENERAL IP
BROADCOM CORPORATION,11179,non_financial_5705,BROADCOM CORP
GM GLOBAL TECHNOLOGY OPERATIONS LLC,11155,non_financial_1450,GM GLOBAL TECHNOLOGY OPERATIONS
GLOBALFOUNDRIES INC.,10429,non_financial_1446,GLOBALFOUNDRIES
LSI CORPORATION,10051,non_financial_11474,LSI CORP
AGERE SYSTEMS LLC,9975,non_financial_91,AGERE SYSTEMS LLC
NXP B.V.,9731,non_financial_2407,NXP
CREO MANUFACTURING AMERICA LLC,9716,non_financial_6949,CREO MANUFACTURING AMERICA LLC
"KODAK (NEAR EAST), INC.",9716,non_financial_1901,KODAK NEAR EAST
"KODAK AMERICAS, LTD.",9716,non_financial_1902,KODAK
KODAK AVIATION LEASING LLC,9716,non_financial_10972,KODAK AVIATION LEASING LLC
"KODAK IMAGING NETWORK, INC.",9716,non_financial_10974,KODAK IMAGING NETWORK INC
"KODAK PHILIPPINES, LTD.",9716,non_financial_1903,KODAK PHILIPPINES
KODAK PORTUGUESA LIMITED,9716,non_financial_10975,KODAK PORTUGUESA LTD
"KODAK REALTY, INC.",9716,non_financial_1904,KODAK REALTY
"WESTERN DIGITAL TECHNOLOGIES, INC.",9051,non_financial_3581,WESTERN DIGITAL TECHNOLOGIES
"SECUREWORKS, INC.",8959,non_financial_15210,SECUREWORKS INC
AVENTAIL LLC,8922,non_financial_5037,AVENTAIL LLC
"APPASSURE SOFTWARE, INC.",8682,non_financial_4651,APPASSURE SOFTWARE INC
DELL INC.,8682,non_financial_7354,DELL INC
PEROT SYSTEMS CORPORATION,8682,non_financial_13661,PEROT SYSTEMS CORP
"MOZY, INC.",8535,non_financial_12405,MOZY INC
UNISYS CORPORATION,8457,non_financial_3396,UNISYS CORP
"DELL INTERNATIONAL, L.L.C.",8276,non_financial_1002,DELL INTERNATIONAL LLC
DELL SYSTEMS CORPORATION,8159,non_financial_7356,DELL SYSTEMS CORP
MAGINATICS LLC,8103,non_financial_11601,MAGINATICS LLC
SPRINT COMMUNICATIONS COMPANY L.P.,7644,non_financial_15846,SPRINT COMMUNICATIONS CO LP
FPC INC.,7292,non_financial_1350,FPC
NPEC INC.,7292,non_financial_2388,NPEC
QUALEX INC.,7292,non_financial_18337,QUALEX
"NPEC, INC.",7156,non_financial_2388,NPEC
"QUALEX, INC.",7156,non_financial_18337,QUALEX
"COMMSCOPE, INC. OF NORTH CAROLINA",6904,non_financial_822,COMMSCOPE OF NORTH CAROLINA
ALLEN TELECOM LLC,6190,non_financial_132,ALLEN TELECOM LLC
COMMSCOPE TECHNOLOGIES LLC,6182,non_financial_6662,COMMSCOPE TECHNOLOGIES LLC
FEDERAL-MOGUL CHASSIS LLC,6129,non_financial_1287,FEDERAL-MOGUL CHASSIS LLC
"COMPELLENT TECHNOLOGIES, INC.",6073,non_financial_6677,COMPELLENT TECHNOLOGIES INC
SPANSION LLC,5783,non_financial_15724,SPANSION LLC
LEAR CORPORATION,5576,non_financial_1970,LEAR CORP
"REDWOOD SYSTEMS, INC.",5311,non_financial_14571,REDWOOD SYSTEMS INC
AVAYA INC.,5006,non_financial_18329,AVAYA
ROVI TECHNOLOGIES CORPORATION,4957,non_financial_2855,ROVI TECHNOLOGIES CORP
FEDERAL-MOGUL POWERTRAIN LLC,4877,non_financial_1290,FEDERAL-MOGUL POWERTRAIN LLC
AVAYA MANAGEMENT L.P.,4855,non_financial_18329,AVAYA
CLEARWIRE IP HOLDINGS LLC,4855,non_financial_6489,CLEARWIRE IP HOLDINGS LLC
AVAYA INTEGRATED CABINET SOLUTIONS LLC,4835,non_financial_18329,AVAYA
FAIRCHILD SEMICONDUCTOR CORPORATION,4769,non_financial_8412,FAIRCHILD SEMICONDUCTOR CORP
FEDERAL-MOGUL WORLD WIDE LLC,4765,non_financial_1292,FEDERAL-MOGUL WORLD WIDE LLC
"FPC, INC.",4740,non_financial_1350,FPC
"NXP, B.V., F/K/A FREESCALE SEMICONDUCTOR, INC.",4736,non_financial_2407,NXP
KODAK (NEAR EAST) INC.,4732,non_financial_1901,KODAK NEAR EAST
KODAK AMERICAS LTD.,4732,non_financial_1902,KODAK
KODAK PHILIPPINES LTD.,4732,non_financial_1903,KODAK PHILIPPINES
KODAK REALTY INC.,4732,non_financial_1904,KODAK REALTY
CLEARWIRE COMMUNICATIONS LLC,4689,non_financial_766,CLEARWIRE COMMUNICATIONS LLC
"T-MOBILE USA, INC.",4652,non_financial_16253,T-MOBILE USA INC
IBSV LLC,4651,non_financial_9882,IBSV LLC
"ASSURANCE WIRELESS USA, L.P.",4650,non_financial_4857,ASSURANCE WIRELESS USA LP
"BOOST WORLDWIDE, LLC",4650,non_financial_5586,BOOST WORLDWIDE LLC
"LAYER3 TV, LLC",4650,non_financial_11181,LAYER3 TV LLC
"PUSHSPRING, LLC",4650,non_financial_14277,PUSHSPRING LLC
SPRINT INTERNATIONAL INCORPORATED,4650,non_financial_15847,SPRINT INTERNATIONAL INC
SPRINT SPECTRUM LLC,4650,non_financial_3071,SPRINT SPECTRUM
SPRINTCOM LLC,4650,non_financial_15848,SPRINTCOM LLC
T-MOBILE CENTRAL LLC,4650,non_financial_16252,T-MOBILE CENTRAL LLC
"ROVI GUIDES, INC.",4575,non_financial_2855,ROVI TECHNOLOGIES CORP
ROVI SOLUTIONS CORPORATION,4575,non_financial_2855,ROVI TECHNOLOGIES CORP
ANDREW LLC,4481,non_financial_232,ANDREW LLC
SEAGATE TECHNOLOGY LLC,4446,non_financial_2925,SEAGATE TECHNOLOGY LLC
"VISTEON GLOBAL TECHNOLOGIES, INC.",4411,non_financial_3496,VISTEON GLOBAL TECHNOLOGIES
CYPRESS SEMICONDUCTOR CORPORATION,4371,non_financial_947,CYPRESS SEMICONDUCTOR CORP
"VEVEO, INC.",4121,non_financial_3460,VEVEO
HERCULES INCORPORATED,4042,non_financial_1571,HERCULES
MOMENTIVE PERFORMANCE MATERIALS INC.,4013,non_financial_2229,MOMENTIVE PERFORMANCE MATERIALS
TENNECO AUTOMOTIVE OPERATING COMPANY INC.,4002,non_financial_3231,TENNECO AUTOMOTIVE OPERATING CO
FEDERAL-MOGUL MOTORPARTS LLC,3813,non_financial_1289,FEDERAL-MOGUL MOTORPARTS LLC
"SEMICONDUCTOR COMPONENTS INDUSTRIES, LLC",3758,non_financial_2441,SEMICONDUCTOR COMPONENTS INDUSTRIES LLC
THE PULLMAN COMPANY,3650,non_financial_2710,PULLMAN CO
"INTELLISIST, INC.",3576,non_financial_10275,INTELLISIST INC
TENNECO INC.,3508,non_financial_3231,TENNECO AUTOMOTIVE OPERATING CO
DRIV AUTOMOTIVE INC.,3493,non_financial_7641,DRIV AUTOMOTIVE INC
"TIVO SOLUTIONS, INC.",3428,non_financial_3283,TIVO SOLUTIONS
FEDERAL-MOGUL IGNITION LLC,3417,non_financial_1288,FEDERAL-MOGUL IGNITION LLC
"DIEBOLD NIXDORF, INCORPORATED",3360,non_financial_1036,DIEBOLD NIXDORF
FEDERAL-MOGUL PRODUCTS US LLC,3321,non_financial_1291,FEDERAL-MOGUL PRODUCTS US LLC
SEAGATE TECHNOLOGY INTERNATIONAL,3183,non_financial_2925,SEAGATE TECHNOLOGY LLC
UNISYS HOLDING CORPORATION,3025,non_financial_17192,UNISYS HOLDING CORP
LUCENT TECHNOLOGIES INC.,3014,non_financial_2011,LUCENT TECHNOLOGIES
ALCATEL-LUCENT USA INC.,2966,non_financial_119,ALCATEL-LUCENT USA
"COMPELLANT TECHNOLOGIES, INC.",2894,non_financial_6676,COMPELLANT TECHNOLOGIES INC
MICROCHIP TECHNOLOGY INC.,2773,non_financial_2180,MICROCHIP TECHNOLOGY
OCTEL COMMUNICATIONS LLC,2627,non_financial_2417,OCTEL COMMUNICATIONS LLC
"VPNET TECHNOLOGIES, INC.",2627,non_financial_17636,VPNET TECHNOLOGIES INC
QUANTUM CORPORATION,2578,non_financial_2727,QUANTUM CORP
"BALLY GAMING, INC.",2564,non_financial_426,BALLY GAMING
"MCAFEE, LLC",2564,non_financial_2114,MCAFEE LLC
"SCIENTIFIC GAMES INTERNATIONAL, INC.",2564,non_financial_2912,SCIENTIFIC GAMES INTERNATIONAL
"EASTMAN KODAK INTERNATIONAL CAPITAL COMPANY, INC.",2560,non_financial_7793,EASTMAN KODAK CO
LASER-PACIFIC MEDIA CORPORATION,2560,non_financial_11164,LASER-PACIFIC MEDIA CORP
"BELL NORTHERN RESEARCH, LLC",2557,non_financial_5267,BELL NORTHERN RESEARCH LLC
"BELL SEMICONDUCTOR, LLC",2557,non_financial_5269,BELL SEMICONDUCTOR LLC
"HILCO PATENT ACQUISITION 56, LLC",2557,non_financial_9602,HILCO PATENT ACQUISITION 56 LLC
NEWPORT CORPORATION,2526,non_financial_2342,NEWPORT CORP
"WEATHERFORD TECHNOLOGY HOLDINGS, LLC",2487,non_financial_3559,WEATHERFORD TECHNOLOGY HOLDINGS LLC
WMS GAMING INC.,2451,non_financial_18000,WMS GAMING INC
WEATHERFORD U.K. LIMITED,2423,non_financial_17769,WEATHERFORD U K LTD
"PFC, INC.",2416,non_financial_13691,PFC INC
"HIGH PRESSURE INTEGRITY, INC.",2414,non_financial_1593,HIGH PRESSURE INTEGRITY
PRECISION ENERGY SERVICES ULC,2414,non_financial_2653,PRECISION ENERGY SERVICES
"PRECISION ENERGY SERVICES, INC.",2414,non_financial_2653,PRECISION ENERGY SERVICES
WEATHERFORD NETHERLANDS B.V.,2414,non_financial_17766,WEATHERFORD NETHERLANDS BV
WEATHERFORD NORGE AS,2414,non_financial_17767,WEATHERFORD NORGE AS
WEATHERFORD SWITZERLAND TRADING AND DEVELOPMENT GMBH,2414,non_financial_17768,WEATHERFORD SWITZERLAND TRADING & DEVELOPMENT GMBH
AQUALON COMPANY,2385,non_financial_278,AQUALON CO
"EQUISTAR CHEMICALS, LP",2318,non_financial_1222,EQUISTAR CHEMICALS
"MKS INSTRUMENTS, INC.",2290,non_financial_12257,MKS INSTRUMENTS INC
BRUNSWICK CORPORATION,2219,non_financial_5742,BRUNSWICK CORP
"CARESTREAM HEALTH, INC.",2189,non_financial_667,CARESTREAM HEALTH
VISTEON CORPORATION,2166,non_financial_3494,VISTEON CORP
"VC AVIATION SERVICES, LLC",2060,non_financial_17363,VC AVIATION SERVICES LLC
VISTEON ELECTRONICS CORPORATION,2060,non_financial_17556,VISTEON ELECTRONICS CORP
"VISTEON GLOBAL TREASURY, INC.",2060,non_financial_17557,VISTEON GLOBAL TREASURY INC
"VISTEON INTERNATIONAL BUSINESS DEVELOPMENT, INC.",2060,non_financial_17558,VISTEON INTERNATIONAL HOLDINGS
"VISTEON INTERNATIONAL HOLDINGS, INC.",2060,non_financial_17558,VISTEON INTERNATIONAL HOLDINGS
"VISTEON SYSTEMS, LLC",2060,non_financial_17559,VISTEON SYSTEMS LLC
"WSOU INVESTMENTS, LLC",2012,non_financial_18069,WSOU INVESTMENTS LLC
NCR VOYIX CORPORATION,2006,non_financial_12634,NCR VOYIX CORP
DELL MARKETING CORPORATION (SUCCESSOR-IN-INTEREST TO WYSE TECHNOLOGY L.L.C.),1940,non_financial_1003,DELL MARKETING
"LYONDELL CHEMICAL TECHNOLOGY, L.P.",1921,non_financial_2027,LYONDELL CHEMICAL TECHNOLOGY
"SYMBOL TECHNOLOGIES, INC.",1905,non_financial_3158,SYMBOL TECHNOLOGIES
FIRST DATA CORPORATION,1900,non_financial_1315,FIRST DATA CORP
"CITRIX SYSTEMS, INC.",1882,non_financial_6449,CITRIX SYSTEMS INC
"CLOUD SOFTWARE GROUP, INC. (F/K/A TIBCO SOFTWARE INC.)",1882,non_financial_6515,CLOUD SOFTWARE GROUP INC F K A TIBCO SOFTWARE INC
ACACIA RESEARCH GROUP LLC,1831,non_financial_3784,ACACIA RESEARCH GROUP LLC
AMERICAN VEHICULAR SCIENCES LLC,1831,non_financial_4435,AMERICAN VEHICULAR SCIENCES LLC
BONUTTI SKELETAL INNOVATIONS LLC,1831,non_financial_5574,BONUTTI SKELETAL INNOVATIONS LLC
CELLULAR COMMUNICATIONS EQUIPMENT LLC,1831,non_financial_6166,CELLULAR COMMUNICATIONS EQUIPMENT LLC
INNOVATIVE DISPLAY TECHNOLOGIES LLC,1831,non_financial_10173,INNOVATIVE DISPLAY TECHNOLOGIES LLC
LIFEPORT SCIENCES LLC,1831,non_financial_11301,LIFEPORT SCIENCES LLC
LIMESTONE MEMORY SYSTEMS LLC,1831,non_financial_11352,LIMESTONE MEMORY SYSTEMS LLC
MOBILE ENHANCEMENT SOLUTIONS LLC,1831,non_financial_12278,MOBILE ENHANCEMENT SOLUTIONS LLC
MONARCH NETWORKING SOLUTIONS LLC,1831,non_financial_12326,MONARCH NETWORKING SOLUTIONS LLC
NEXUS DISPLAY TECHNOLOGIES LLC,1831,non_financial_12820,NEXUS DISPLAY TECHNOLOGIES LLC
PARTHENON UNIFIED MEMORY ARCHITECTURE LLC,1831,non_financial_13511,PARTHENON UNIFIED MEMORY ARCHITECTURE LLC
R2 SOLUTIONS LLC,1831,non_financial_14402,R2 SOLUTIONS LLC
SAINT LAWRENCE COMMUNICATIONS LLC,1831,non_financial_15008,SAINT LAWRENCE COMMUNICATIONS LLC
STINGRAY IP SOLUTIONS LLC,1831,non_financial_15995,STINGRAY IP SOLUTIONS LLC
SUPER INTERCONNECT TECHNOLOGIES LLC,1831,non_financial_16127,SUPER INTERCONNECT TECHNOLOGIES LLC
TELECONFERENCE SYSTEMS LLC,1831,non_financial_16413,TELECONFERENCE SYSTEMS LLC
UNIFICATION TECHNOLOGIES LLC,1831,non_financial_17167,UNIFICATION TECHNOLOGIES LLC
SPANSION TECHNOLOGY LLC,1796,non_financial_3043,SPANSION TECHNOLOGY LLC
SPANSION INC.,1793,non_financial_3042,SPANSION
CIENA CORPORATION,1785,non_financial_6411,CIENA CORP
GREATBATCH LTD.,1716,non_financial_1473,GREATBATCH
"POLYCOM, INC.",1712,non_financial_13939,POLYCOM INC
CHEMTURA CORPORATION,1711,non_financial_739,CHEMTURA CORP
GREAT LAKES CHEMICAL CORPORATION,1711,non_financial_18761,GREAT LAKES CHEMICAL CORP
"HILL-ROM SERVICES, INC.",1705,non_financial_9609,HILL-ROM SERVICES INC
"ALLEN MEDICAL SYSTEMS, INC.",1704,non_financial_4277,ALLEN MEDICAL SYSTEMS INC
"HILL-ROM, INC.",1704,non_financial_1601,HILL-ROM
"VOALTE, INC.",1704,non_financial_17601,VOALTE INC
"WELCH ALLYN, INC.",1704,non_financial_17804,WELCH ALLYN INC
"ELECTRO SCIENTIFIC INDUSTRIES, INC.",1701,non_financial_7915,ELECTRO SCIENTIFIC INDUSTRIES INC
SPRINT SPECTRUM L.P.,1694,non_financial_3071,SPRINT SPECTRUM
NATIONAL INSTRUMENTS CORPORATION,1691,non_financial_12569,NATIONAL INSTRUMENTS CORP
CROMPTON COLORS INCORPORATED,1671,non_financial_6987,CROMPTON COLORS
"GLCC LAUREL, LLC",1671,non_financial_9059,GLCC LAUREL LLC
"HOMECARE LABS, INC.",1610,non_financial_9689,HOMECARE LABS INC
CLEVITE INDUSTRIES INC.,1605,non_financial_770,CLEVITE INDUSTRIES
TENNECO GLOBAL HOLDINGS INC.,1605,non_financial_16475,TENNECO INTERNATIONAL HOLDING CORP
TENNECO INTERNATIONAL HOLDING CORP.,1605,non_financial_16475,TENNECO INTERNATIONAL HOLDING CORP
TMC TEXAS INC.,1605,non_financial_16759,TMC TEXAS INC
MAXTOR CORPORATION,1592,non_financial_11806,MAXTOR CORP
EVAULT INC. (F/K/A I365 INC.),1591,non_financial_8285,EVAULT INC F K A I365 INC
SEAGATE TECHNOLOGY HDD HOLDINGS,1591,non_financial_2925,SEAGATE TECHNOLOGY LLC
"SEAGATE TECHNOLOGY US HOLDINGS, INC.",1591,non_financial_2925,SEAGATE TECHNOLOGY LLC
IBIQUITY DIGITAL CORPORATION,1574,non_financial_9878,IBIQUITY DIGITAL CORP
"ENTEGRIS, INC.",1569,non_financial_1196,ENTEGRIS
"WESTERN DIGITAL (FREMONT), LLC",1560,non_financial_19190,WESTERN DIGITAL FREMONT LLC
"RECREATIONAL WATER PRODUCTS, INC.",1537,non_financial_14546,RECREATIONAL WATER PRODUCTS INC
LUND BOAT COMPANY,1536,non_financial_2020,LUND BOAT CO
"BOSTON WHALER, INC.",1534,non_financial_5598,BOSTON WHALER INC
BRUNSWICK BOWLING & BILLIARDS CORPORATION,1534,non_financial_607,BRUNSWICK BOWLING & BILLIARDS CORP
"BRUNSWICK LEISURE BOAT COMPANY, LLC",1534,non_financial_5744,BRUNSWICK LEISURE BOAT CO LLC
GEMSTAR DEVELOPMENT CORPORATION,1529,non_financial_1392,GEMSTAR DEVELOPMENT CORP
INDEX SYSTEMS INC.,1529,non_financial_1704,INDEX SYSTEMS
"STARSIGHT TELECAST, INC.",1529,non_financial_3087,STARSIGHT TELECAST
"UNITED VIDEO PROPERTIES, INC.",1529,non_financial_3405,UNITED VIDEO PROPERTIES
"FEDERAL-MOGUL IGNITION, LLC, AS SUCCESSOR TO FEDERAL-MOGUL IGNITION COMPANY",1521,non_financial_1288,FEDERAL-MOGUL IGNITION LLC
"FEDERAL-MOGUL MOTORPARTS LLC, AS SUCCESSOR TO FEDERAL-MOGUL MOTORPARTS CORPORATION",1521,non_financial_1289,FEDERAL-MOGUL MOTORPARTS LLC
"FEDERAL-MOGUL PRODUCTS US, LLC, AS SUCCESSOR TO FEDERAL-MOGUL PRODUCTS, INC.",1521,non_financial_1291,FEDERAL-MOGUL PRODUCTS US LLC
"FEDERAL-MOGUL WORLD WIDE, INC., AS SUCCESSOR TO FEDERAL-MOGUL WORLD WIDE LLC",1521,non_financial_1292,FEDERAL-MOGUL WORLD WIDE LLC
"TENNECO INC., AS SUCCESSOR TO FEDERAL-MOGUL LLC",1521,non_financial_3231,TENNECO AUTOMOTIVE OPERATING CO
ASHLAND LICENSING AND INTELLECTUAL PROPERTY LLC,1514,non_financial_327,ASHLAND LICENSING & INTELLECTUAL PROPERTY LLC
"DTS, INC.",1502,non_financial_7680,DTS INC
FINISAR CORPORATION,1501,non_financial_8565,FINISAR CORP
"KAILIGHT PHOTONICS, INC.",1501,non_financial_10738,KAILIGHT PHOTONICS INC
OPTIUM CORPORATION,1501,non_financial_13257,OPTIUM CORP
WEBER CITY ROAD LLC,1497,non_financial_17781,WEBER CITY ROAD LLC
"II-VI DELAWARE, INC.",1484,non_financial_9961,II-VI DELAWARE INC
"HOLOGIC, INC.",1472,non_financial_9674,HOLOGIC INC
"BIOLUCENT, LLC",1470,non_financial_5401,BIOLUCENT LLC
CYTYC CORPORATION,1470,non_financial_7171,CYTYC CORP
"SUROS SURGICAL SYSTEMS, INC.",1470,non_financial_16152,SUROS SURGICAL SYSTEMS INC
"THIRD WAVE TECHNOLOGIES, INC.",1470,non_financial_16660,THIRD WAVE TECHNOLOGIES INC
"MICRO POWER ELECTRONICS, INC.",1467,non_financial_12117,MICRO POWER ELECTRONICS INC
"ELECTROCHEM SOLUTIONS, INC.",1466,non_financial_7918,ELECTROCHEM SOLUTIONS INC
"NEURONEXUS TECHNOLOGIES, INC.",1466,non_financial_12739,NEURONEXUS TECHNOLOGIES INC
"COADNA PHOTONICS, INC.",1464,non_financial_6556,COADNA PHOTONICS INC
"EPIWORKS, INC.",1464,non_financial_8175,EPIWORKS INC
II-VI INCORPORATED,1464,non_financial_9962,II-VI INC
"II-VI OPTICAL SYSTEMS, INC.",1464,non_financial_9963,II-VI OPTICAL SYSTEMS INC
"II-VI OPTOELECTRONIC DEVICES, INC.",1464,non_financial_9964,II-VI OPTOELECTRONIC DEVICES INC
"II-VI PHOTONICS (US), INC.",1464,non_financial_9965,II-VI PHOTONICS US INC
"LIGHTSMYTH TECHNOLOGIES, INC.",1464,non_financial_11332,LIGHTSMYTH TECHNOLOGIES INC
"M CUBED TECHNOLOGIES, INC.",1464,non_financial_2033,M CUBED TECHNOLOGIES
"MARLOW INDUSTRIES, INC.",1464,non_financial_11718,MARLOW INDUSTRIES INC
"PHOTOP TECHNOLOGIES, INC.",1464,non_financial_13774,PHOTOP TECHNOLOGIES INC
CHRYSLER LLC,1456,non_financial_6395,CHRYSLER LLC
"PHORUS, INC.",1456,non_financial_13756,PHORUS INC
"CONEXANT SYSTEMS, INC.",1445,non_financial_840,CONEXANT SYSTEMS
"MAXLINEAR, INC.",1413,non_financial_11800,MAXLINEAR INC
"AVAYA, INC.",1409,non_financial_18329,AVAYA
"VERITAS US IP HOLDINGS, LLC",1406,non_financial_3447,VERITAS US IP HOLDINGS LLC
"RIVERBED TECHNOLOGY, INC.",1400,non_financial_2829,RIVERBED TECHNOLOGY
SIERRA HOLDINGS CORP.,1400,non_financial_15414,SIERRA HOLDINGS CORP
DON BEST SPORTS CORPORATION,1367,non_financial_7580,DON BEST SPORTS CORP
WEATHERFORD CANADA LTD.,1362,non_financial_3558,WEATHERFORD CANADA
MICRO FOCUS LLC (F/K/A ENTIT SOFTWARE LLC),1358,non_financial_2175,MICRO FOCUS US
EXAR CORPORATION,1357,non_financial_8319,EXAR CORP
BECK ARNLEY HOLDINGS LLC,1356,non_financial_5243,BECK ARNLEY HOLDINGS LLC
CARTER AUTOMOTIVE COMPANY LLC,1356,non_financial_6048,CARTER AUTOMOTIVE CO LLC
F-M MOTORPARTS TSC LLC,1356,non_financial_8386,F-M MOTORPARTS TSC LLC
F-M TSC REAL ESTATE HOLDINGS LLC,1356,non_financial_8387,F-M TSC REAL ESTATE HOLDINGS LLC
FEDERAL-MOGUL FILTRATION LLC,1356,non_financial_8489,FEDERAL-MOGUL FILTRATION LLC
FEDERAL-MOGUL FINANCING CORPORATION,1356,non_financial_8490,FEDERAL-MOGUL FINANCING CORP
"FEDERAL-MOGUL PISTON RINGS, LLC",1356,non_financial_8491,FEDERAL-MOGUL PISTON RINGS LLC
FEDERAL-MOGUL POWERTRAIN IP LLC,1356,non_financial_1290,FEDERAL-MOGUL POWERTRAIN LLC
"FEDERAL-MOGUL SEVIERVILLE, LLC",1356,non_financial_8492,FEDERAL-MOGUL SEVIERVILLE LLC
FEDERAL-MOGUL VALVE TRAIN INTERNATIONAL LLC,1356,non_financial_8493,FEDERAL-MOGUL VALVE TRAIN INTERNATIONAL LLC
FELT PRODUCTS MFG. CO. LLC,1356,non_financial_8501,FELT PRODUCTS MFG CO LLC
MUZZY-LYON AUTO PARTS LLC,1356,non_financial_12476,MUZZY-LYONAUTO PARTS LLC
ATTWOOD CORPORATION,1342,non_financial_4955,ATTWOOD CORP
BRUNSWICK FAMILY BOAT CO. INC.,1342,non_financial_5743,BRUNSWICK FAMILY BOAT CO INC
"LAND 'N' SEA DISTRIBUTING, INC.",1342,non_financial_11118,LAND N SEA DISTRIBUTING INC
NALCO COMPANY,1329,non_financial_12517,NALCO CO
BAUSCH & LOMB INCORPORATED,1328,non_financial_18475,BAUSCH & LOMB INC
"BIOLAB FRANCHISE COMPANY, LLC",1321,non_financial_5390,BIOLAB FRANCHISE CO LLC
"CAAS TECHNOLOGIES, LLC",1321,non_financial_5853,CAAS TECHNOLOGIES LLC
"HYPERQUALITY II, LLC",1321,non_financial_9851,HYPERQUALITY II LLC
"HYPERQUALITY, INC.",1321,non_financial_9852,HYPERQUALITY INC
"ZANG, INC. (FORMER NAME OF AVAYA CLOUD INC.)",1321,non_financial_3640,ZANG
ALLIANT TECHSYSTEMS INC.,1319,non_financial_145,ALLIANT TECHSYSTEMS
AVAYA HOLDINGS CORP.,1316,non_financial_18329,AVAYA
FEDERAL-MOGUL IGNITION COMPANY,1316,non_financial_1288,FEDERAL-MOGUL IGNITION LLC
"AVAYA TECHNOLOGY, LLC",1306,non_financial_18329,AVAYA
"ADVANCED TECHNOLOGY MATERIALS, INC.",1300,non_financial_4025,ADVANCED TECHNOLOGY MATERIALS
"ATMI PACKAGING, INC.",1300,non_financial_4930,ATMI PACKAGING INC
"ATMI, INC.",1300,non_financial_4931,ATMI INC
"POCO GRAPHITE, INC.",1300,non_financial_2620,POCO GRAPHITE
MAXLINEAR COMMUNICATIONS LLC,1297,non_financial_2111,MAXLINEAR COMMUNICATIONS LLC
"FEDERAL-MOGUL PRODUCTS, INC.",1287,non_financial_1291,FEDERAL-MOGUL PRODUCTS US LLC
