or_name,freq,entity_id,standard_name
"JPMORGAN CHASE BANK, N.A. (F/K/A MORGAN GUARANTY TRUST COMPANY OF NEW YORK)",787,financial_605,JP MORGAN CHASE BANK NA
"JPMORGAN CHASE BANK, N.A., AS ADMINISTRATIVE AGENT AND COLLATERAL AGENT (F/K/A JPMORGAN CHASE BANK)",781,financial_605,JP MORGAN CHASE BANK NA
"CREDIT SUISSE AG, AS COLLATERAL AGENT",779,financial_309,CREDIT SUISSE
"MORGAN STANLEY SENIOR FUNDING, INC., AS AGENT",777,financial_731,MORGAN STANLEY SENIOR FUNDING
MACQUARIE CAF LLC,770,financial_4754,MACQUARIE CAF LLC
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",746,financial_605,JP MORGAN CHASE BANK NA
SUNTRUST BANK,739,financial_1008,SUNTRUST BANK
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS AGENT",722,financial_1103,WELLS FARGO BANK NA
"GLAS TRUST CORPORATION LIMITED, AS COLLATERAL AGENT",716,financial_491,GLAS RP
"ANTARES CAPITAL LP, AS ADMINISTRATIVE AND COLLATERAL AGENT",704,financial_55,ANTARES CAPITAL
MORGAN STANLEY & CO. LLC,703,financial_731,MORGAN STANLEY SENIOR FUNDING
"JP MORGAN CHASE BANK, N.A.",700,financial_605,JP MORGAN CHASE BANK NA
WELLS FARGO BANK,700,financial_1103,WELLS FARGO BANK NA
"BANK OF MONTREAL, AS ADMINISTRATIVE AGENT",693,financial_109,BANK OF MONTREAL
"THE BANK OF NEW YORK, AS COLLATERAL TRUSTEE",693,financial_102,BANK OF NEW YORK MELLON
GLAS AMERICAS LLC,692,financial_489,GLAS AMERICAS
MIDCAP FUNDING IV TRUST,687,financial_715,MIDCAP FINANCIAL
JPMORGAN CHASE BANK,682,financial_605,JP MORGAN CHASE BANK NA
"FIRST NATIONAL BANK OF CHICAGO, THE (AS COLLATERAL AGENT).",679,financial_431,FIRST NATIONAL BANK OF CHICAGO
"MORGAN STANLEY SENIOR FUNDING INC., AS ADMINISTRATIVE AGENT, SUCCESSOR TO MORGAN STANLEY & CO. INCORPORATED, AS FACILITY COLLATERAL AGENT",675,financial_731,MORGAN STANLEY SENIOR FUNDING
"HIGH RIVER LIMITED PARTNERSHIP, AS PIK/TERM COLLATERAL AGENT, A DELAWARE LIMITED PARTNERSHIP",672,financial_547,HIGH RIVER PARTNERSHIP PIK TERM
"WELLS FARGO FOOTHILL, INC. (FORMERLY KNOWN AS FOOTHILL CAPITAL CORPORATION), AS TRANCHE A COLLATERAL AGENT",672,financial_1103,WELLS FARGO BANK NA
"WELLS FARGO FOOTHILL, INC. (FORMERLY KNOWON AS FOOTHILL CAPITAL CORPORATION), AS TRANCHE B COLLATERAL AGENT",672,financial_1103,WELLS FARGO BANK NA
"SILICON VALLEY BANK, A DIVISION OF FIRST-CITIZENS BANK & TRUST COMPANY",668,financial_950,SILICON VALLEY BANK
LEHMAN COMMERICAL PAPER INC.,667,financial_644,LEHMAN COMMERCIAL PAPER
"WELLS FARGO BANK, N.A.",660,financial_1103,WELLS FARGO BANK NA
"CITIBANK, N.A., AS ADMINISTRATIVE AGENT",649,financial_251,CITIBANK NA
"LEHMAN COMMERCIAL PAPER, INC.",648,financial_644,LEHMAN COMMERCIAL PAPER
DEUTSCHE FINANCIAL SERVICES CORPORATION (FORMERLY KNOWN AS ITT COMMERCIAL FINANCE CORP.) AS COLLATERAL AGENT,642,financial_351,DEUTSCHE FINANCIAL SERVICES CORP
"MIDCAP FINANCIAL TRUST, AS AGENT",610,financial_715,MIDCAP FINANCIAL
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH (F/K/A CREDIT SUISSE)",606,financial_309,CREDIT SUISSE
"WELLS FARGO CAPITAL FINANCE, LLC, AS AGENT",603,financial_1103,WELLS FARGO BANK NA
"HEALTHCARE FINANCIAL SOLUTIONS, LLC, AS ADMINISTRATIVE AGENT",601,financial_537,HEALTHCARE FINANCIAL SOLUTIONS LLC
"BANK OF AMERICA, N.A. AS COLLATERIAL AGENT",600,financial_43,BANK OF AMERICA NA
"TERRIER SSC, LLC",598,financial_5213,TERRIER SSC LLC
"BANK OF AMERICA, N.A. AS ADMINISTRATIVE AGENT",596,financial_43,BANK OF AMERICA NA
DEUTSCHE BANK NATIONAL TRUST COMPANY,592,financial_350,DEUTSCHE BANK
"JPMORGAN CHASE BANK, AS ADMINISTRATIVE AGENT",592,financial_605,JP MORGAN CHASE BANK NA
THE BANK OF NEW YORK,588,financial_102,BANK OF NEW YORK MELLON
"WILMINGTON SAVINGS FUND SOCIETY, FSB",575,financial_1110,WILMINGTON SAVINGS FUND SOCIETY FSB COLLATERAL AGENT
"CERBERUS BUSINESS FINANCE, LLC",573,financial_226,CERBERUS BUSINESS FINANCE LLC
"CHASE MANHATTAN BANK, THE (NATIONAL ASSOCIATION)",568,financial_231,CHASE MANHATTAN BANK
RAYTHEON COMPANY,567,financial_876,RAYTHEON CO
ACQUIOM AGENCY SERVICES LLC,560,financial_11,ACQUIOM AGENCY SERVICES LLC
"TPG SPECIALTY LENDING, INC.",555,financial_1044,TPG SPECIALTY LENDING
"WADE, WILLIAM J. (TRUSTEES)",554,financial_1093,WADE WILLIAM J
"WILMINGTON TRUST COMPANY, A DE. BANKING CORPORATION",554,financial_1111,WILMINGTON NA
"CREIDT SUISSE FIRST BOSTON, ACTING THROUGH ITS CAYMAN ISLANDS BRANCH ONE MADISON AVENUE NEW YORK, NY 10010",546,financial_309,CREDIT SUISSE
CANADIAN IMPERIAL BANK OF COMMERCE,541,financial_198,CANADIAN IMPERIAL BANK OF COMMERCE
"SILVER POINT FINANCE, LLC",539,financial_951,SILVER POINT FINANCE LLC
"DEUTSCHE BANK AG, NEW YORK BRANCH",534,financial_350,DEUTSCHE BANK
"CORTLAND CAPITAL MARKET SERVICES LLC, SOLELY IN ITS CAPACITY AS COLLATERAL AGENT (AS SUCCESSOR TO JPMORGAN CHASE BANK, N.A.)",532,financial_298,CORTLAND CAPITAL MARKET SERVICES LLC
"U.S. BANK NATIONAL ASSOCIATION (AS SUCCESSOR IN INTEREST TO WACHOVIA BANK, NATIONAL ASSOCIATION)",518,financial_3,US BANK NA
"ARES CAPITAL CORPORATION, AS AGENT",514,financial_68,ARES CAPITAL CORP
JPMORGAN CHASE BANK (F/K/A THE CHASE MANHATTAN BANK),514,financial_605,JP MORGAN CHASE BANK NA
US DEPARTMENT OF THE TREASURY,498,financial_348,US DEPARTMENT OF THE TREASURY
"WELLS FARGO CAPITAL FINANCE, L.L.C.",498,financial_1103,WELLS FARGO BANK NA
"BANK OF AMERICA, N.A., AS LENDER",483,financial_43,BANK OF AMERICA NA
"CITICORP NORTH AMERICA, INC., AS COLLATERAL AGENT",483,financial_5518,CITICORP NORTH AMERICA
"CONEXANT SYSTEMS, INC.",478,financial_283,CONEXANT SYSTEMS
"HSBC BANK USA, NATIONAL ASSOCIATION",478,financial_560,HSBC BANK USA NA
"WELLS FARGO CAPITAL FINANCE, LLC (AS SUCCESSOR BY MERGER TO WELLS FARGO CAPITAL FINANCE, INC. (F/K/A WELLS FARGO FOOTHILL, INC.)), AS COLLATERAL AGENT",472,financial_1103,WELLS FARGO BANK NA
"CITIZENS BANK, N.A.",467,financial_254,CITIZENS BANK NA
"WELLS FARGO BANK, N.A., AS COLLATERAL AGENT",458,financial_1103,WELLS FARGO BANK NA
"CREDIT SUISSE, CAYMAN ISLANDS BRANCH",457,financial_309,CREDIT SUISSE
"JPMORGANCHASE BANK, N.A.",451,financial_605,JP MORGAN CHASE BANK NA
"BANK OF NOVA SCOTIA, THE",449,financial_110,BANK OF NOVA SCOTIA
CAPITALSOURCE FINANCE LLC,443,financial_208,CAPITALSOURCE FINANCE LLC
FOOTHILL CAPITAL CORPORATION,441,financial_453,FOOTHILL CAPITAL CORP
"TENNENBAUM CAPITAL PARTNERS, LLC",438,financial_5205,TENNENBAUM CAPITAL PARTNERS LLC
"JPMORGAN CHASE BANK N.A., AS COLLATERAL AGENT",431,financial_605,JP MORGAN CHASE BANK NA
NATIONAL CITY BANK,431,financial_256,NATIONAL BANK
"ROYAL BANK OF CANADA, AS LENDER",429,financial_900,ROYAL BANK OF CANADA
"TC LENDING, LLC, AS COLLATERAL AGENT",423,financial_1016,TC LENDING LLC
"JP MORGAN CHASE BANK, NA",411,financial_605,JP MORGAN CHASE BANK NA
"DEERFIELD PRIVATE DESIGN FUND II, L.P.",410,financial_339,DEERFIELD DESIGN FUND II
"DEERFIELD PRIVATE DESIGN INTERNATIONAL II, L.P.",410,financial_339,DEERFIELD DESIGN FUND II
"JPMORGAN CHASE BANK, N.A. (F/K/A THE CHASE MANHATTAN BANK), AS ADMINISTRATIVE AGENT",408,financial_605,JP MORGAN CHASE BANK NA
JPMORGAN CHASE BANK (FORMERLY KNOWN AS THE CHASE MANHATTAN BANK),404,financial_605,JP MORGAN CHASE BANK NA
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT FOR THE SECURED PARTIES AND SUCCESSOR TO WACHOVIA BANK, N.A.",403,financial_1103,WELLS FARGO BANK NA
FLEET NATIONAL BANK,402,financial_442,FLEET CAPITAL CORP
"KEY BANK, NATIONAL ASSOCIATION",402,financial_4525,KEY BANK NA
US BANK NATIONAL ASSOCIATION,400,financial_3,US BANK NA
"OAKTREE FUND ADMINISTRATION, LLC",399,financial_789,OAKTREE FUND ADMINISTRATION LLC
"GEMINO HEALTHCARE FINANCE, LLC D/B/A SLR HEALTHCARE ABL",396,financial_3945,GEMINO HEALTHCARE FINANCE LLC D B A SLR HEALTHCARE ABL
"CORTLAND CAPITAL MARKET SERVICES, LLC",395,financial_298,CORTLAND CAPITAL MARKET SERVICES LLC
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS U.S. COLLATERAL AGENT",394,financial_1111,WILMINGTON NA
J.P. MORGAN EUROPE LIMITED,387,financial_605,JP MORGAN CHASE BANK NA
"ROYAL BANK OF CANADA, AS COLLATERAL AGENT",386,financial_900,ROYAL BANK OF CANADA
"GOLDMAN SACHS BANK USA, AS THE COLLATERAL AGENT",382,financial_501,GOLDMAN SACHS BANK USA
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS SUCCESSOR BY MERGER TO WILMINGTON TRUST FSB",377,financial_1111,WILMINGTON NA
EAST WEST BANK,375,financial_374,EAST WEST BANK
"JPMORGAN CHASE BANK, N.A., A NATIONAL BANKING ASSOCIATION",375,financial_605,JP MORGAN CHASE BANK NA
"THE BANK OF NEW YORK MELLON, AS AGENT",370,financial_102,BANK OF NEW YORK MELLON
GOLDMAN SACHS LENDING PARTNERS LLC,369,financial_502,GOLDMAN SACHS LENDING PARTNERS LLC
STIFEL FINANCIAL CORP.,368,financial_2039,STIFEL FINANCIAL CORP
"ACF FINCO I LP, A DELAWARE LIMITED PARTNERSHIP",367,financial_9,ACF FINCO I
BANK OF MONTREAL,367,financial_109,BANK OF MONTREAL
"CHASE MANHATTAN BANK, THE (F/K/A CHEMICAL BANK), AS ADMINISTRATIVE AGENT",364,financial_231,CHASE MANHATTAN BANK
"TCW ASSET MANAGEMENT COMPANY LLC, AS AGENT",363,financial_1018,TCW ASSET MANAGEMENT CO LLC
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A. (FORMERLY, THE BANK OF NEW YORK TRUST COMPANY, N.A.)",363,financial_102,BANK OF NEW YORK MELLON
"U.S. BANK NATIONAL ASSOCIATION, AS TRUSTEE AND COLLATERAL AGENT",357,financial_3,US BANK NA
"JPMORGAN CHASE BANK N.A., AS ADMINISTRATIVE AGENT",355,financial_605,JP MORGAN CHASE BANK NA
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",355,financial_1111,WILMINGTON NA
"DEUTSCHE BANK TRUST COMPANY AMERICAS, AS COLLATERAL AGENT (F/K/A BANKERS TRUST COMPANY, AS COLLATERAL AGENT)",350,financial_350,DEUTSCHE BANK
"GUGGENHEIM CORPORATE FUNDING, LLC",346,financial_515,GUGGENHEIM CORPORATE FUNDING LLC
